0001-0109-0118,0001-0097-0091,0001-0073-0114,0001-0045-0079,0001-0117-0047,0001-0125-0028,0001-0125-0009,0001-0048-0145,0001-0096-0205,Average,Err
921.022,1225.908,1144.966,869.497,818.446,904.372,738.266,1475.382,1627.940,1080.644,97.354
941.390,1279.397,1164.072,882.860,853.283,918.904,773.607,1474.535,1639.321,1103.041,95.572
947.197,1268.310,1176.261,900.265,867.342,933.186,773.921,1543.431,1654.478,1118.266,98.554
924.496,1234.094,1161.144,903.031,905.326,883.904,719.164,1557.667,1625.537,1101.596,99.788
947.011,1263.256,1123.094,890.568,920.848,943.297,756.364,1495.750,1617.179,1106.374,92.491
944.128,1252.414,1137.310,868.931,950.288,945.763,756.424,1465.104,1589.075,1101.049,88.822
925.177,1220.471,1131.200,884.783,876.712,936.213,755.463,1541.090,1565.978,1093.010,92.897
945.221,1251.563,1136.440,881.981,899.832,967.904,770.356,1532.139,1580.045,1107.276,91.536
927.978,1210.608,1121.070,869.554,875.109,932.553,756.853,1501.028,1537.299,1081.339,88.935
922.233,1242.434,1149.811,902.580,875.853,928.330,770.514,1538.271,1635.269,1107.255,96.848
931.042,1255.323,1153.548,882.316,910.908,940.589,796.051,1521.868,1582.791,1108.271,90.739
943.670,1235.283,1137.400,882.633,899.804,913.282,759.664,1498.417,1569.627,1093.309,90.338
922.451,1253.146,1097.272,865.941,897.478,899.456,770.076,1438.021,1576.112,1079.995,88.694
911.813,1222.020,1111.418,851.285,855.114,897.075,749.528,1426.903,1465.403,1054.507,83.001
936.133,1252.677,1096.216,860.222,841.005,930.640,747.653,1407.896,1564.500,1070.771,88.223
914.368,1185.077,1098.663,857.912,804.049,905.141,745.556,1383.312,1488.090,1042.463,82.595
911.528,1248.742,1113.881,858.457,848.696,930.961,745.333,1349.451,1481.612,1054.296,80.335
907.706,1220.648,1095.782,868.149,853.413,897.943,753.042,1315.778,1494.194,1045.184,78.742
903.724,1181.174,1059.784,848.531,831.136,888.979,738.918,1277.562,1441.567,1019.042,74.235
934.438,1229.958,1091.508,870.612,838.114,921.090,753.867,1283.021,1395.172,1035.309,70.304
927.749,1198.871,1067.333,834.219,833.989,895.823,728.056,1231.736,1363.485,1009.029,67.973
902.269,1188.586,1071.742,838.656,808.951,895.697,721.407,1159.472,1318.634,989.490,63.562
913.044,1207.194,1062.998,865.672,803.391,920.477,745.520,1209.639,1268.604,999.616,60.689
917.596,1189.052,1059.276,843.233,741.701,907.459,747.983,1135.049,1321.388,984.749,63.717
907.570,1136.553,1050.315,854.499,769.380,890.024,714.644,1086.604,1333.851,971.493,61.789
908.705,1178.099,1050.510,854.916,755.245,870.150,752.881,1068.229,1309.963,972.078,60.370
884.270,1136.263,1026.198,851.849,730.924,890.712,718.689,1038.458,1297.687,952.783,59.640
898.704,1095.072,1020.351,844.373,739.098,870.048,740.051,1058.139,1341.037,956.319,60.754
885.825,1099.916,998.569,827.300,736.620,886.928,712.229,1071.632,1342.179,951.244,62.720
887.139,1099.685,1008.652,839.495,702.554,856.994,727.299,1105.160,1446.403,963.709,72.884
869.523,1032.072,986.020,817.319,694.973,852.583,709.161,1104.528,1449.112,946.143,73.493
874.635,1060.151,1006.587,844.685,722.418,848.345,706.935,1147.021,1437.351,960.903,72.739
867.349,1017.253,985.748,833.400,707.891,837.973,704.195,1196.931,1499.022,961.085,80.055
874.893,967.519,980.735,834.929,705.413,883.075,700.223,1220.924,1592.351,973.340,88.047
875.535,955.702,994.589,823.947,671.554,846.970,706.898,1279.861,1630.119,976.131,95.318
868.656,949.099,965.618,816.377,684.440,820.012,693.932,1242.542,1662.948,967.069,97.434
862.262,897.355,1015.771,830.119,700.141,848.568,715.703,1368.306,1709.604,994.203,104.891
844.074,922.985,975.989,814.941,680.750,843.727,712.096,1420.229,1632.037,982.981,102.304
861.958,925.159,1010.663,851.224,695.924,888.120,714.161,1623.132,1595.821,1018.462,109.647
851.859,939.576,999.512,824.849,720.391,862.381,718.441,1632.903,1607.657,1017.508,111.096
841.024,971.558,1019.371,804.219,686.500,865.970,698.579,1699.646,1465.940,1005.868,109.892
852.220,999.486,1046.148,830.323,773.473,868.928,721.593,1802.396,1498.552,1043.680,115.148
854.964,1006.050,1064.589,812.401,800.408,854.195,716.647,1724.111,1352.373,1020.637,102.228
836.916,1039.030,1084.315,832.901,802.473,873.928,694.850,1698.660,1308.015,1019.010,98.815
848.141,1089.196,1064.647,822.290,905.076,896.120,731.983,1477.493,1224.948,1006.655,73.419
881.086,1151.432,1079.726,835.597,940.549,836.327,708.034,1406.556,1254.328,1010.404,71.580
861.296,1213.221,1049.910,822.036,967.478,891.826,724.480,1294.264,1130.381,994.988,59.928
877.642,1264.347,1053.627,826.451,1034.413,884.477,709.169,1199.958,1102.597,994.743,57.437
862.440,1276.308,1049.011,832.502,1053.348,854.279,710.907,1056.597,1097.955,977.039,54.596
865.121,1296.903,1031.209,822.368,938.777,836.511,693.090,973.431,1094.739,950.239,55.660
873.825,1293.494,1019.737,836.817,907.658,862.964,718.000,993.840,1161.649,963.109,55.536
844.269,1223.005,971.369,800.054,840.587,833.279,694.621,890.806,1105.881,911.541,51.395
854.061,1186.370,949.094,809.983,761.853,860.835,708.271,911.618,1178.343,913.381,53.056
818.433,1102.012,912.539,807.460,673.549,873.258,701.294,955.556,1111.396,883.944,48.828
845.164,1037.891,902.735,810.881,611.092,847.276,695.415,956.556,1233.940,882.328,57.733
814.056,966.017,870.874,817.838,602.467,868.375,712.314,968.347,1338.104,884.266,64.643
829.746,926.586,869.267,806.731,530.418,855.303,679.376,1015.139,1402.948,879.502,75.766
848.270,869.851,872.420,801.774,559.136,855.369,725.774,1110.208,1587.433,914.471,91.449
839.101,819.588,857.663,835.114,533.429,851.586,699.966,1039.979,1805.418,920.205,112.689
864.729,828.591,872.101,821.021,533.940,873.541,722.636,1101.861,1812.687,936.790,113.370
828.722,816.846,871.279,810.677,541.293,824.018,657.816,1111.833,1876.075,926.507,121.978
840.917,839.335,884.310,813.224,538.842,873.823,697.791,1178.903,1840.373,945.280,118.144
840.891,854.434,920.366,808.368,569.821,838.739,692.424,1183.729,1812.104,946.764,114.557
845.266,832.682,953.809,814.479,578.266,834.189,678.023,1246.479,1638.619,935.757,101.163
829.244,902.903,981.292,815.271,554.739,840.153,665.260,1251.896,1632.418,941.464,101.925
818.944,893.734,1023.333,797.196,585.168,842.030,663.921,1311.500,1442.418,930.916,89.273
809.027,954.876,1118.079,804.442,573.739,813.207,656.760,1302.819,1223.321,917.363,78.976
798.338,986.166,1162.117,781.836,565.424,800.976,665.427,1345.944,1152.925,917.684,81.439
811.871,1088.052,1243.396,815.716,601.440,849.315,705.215,1424.333,1027.358,951.855,83.500
826.104,1193.365,1219.449,806.497,598.679,827.559,697.167,1478.944,899.075,949.649,89.752
804.808,1255.429,1149.843,800.797,578.875,842.535,683.136,1510.639,915.575,949.071,93.792
790.977,1283.556,1054.234,817.135,618.842,832.811,696.116,1677.757,865.388,959.646,104.756
812.006,1432.382,980.960,826.242,627.168,859.802,704.698,1742.938,880.903,985.233,114.552
776.580,1351.801,891.121,805.307,577.935,799.486,646.472,1672.771,891.948,934.825,110.712
787.441,1346.395,854.663,825.635,583.353,844.450,673.859,1741.458,874.388,947.960,114.505
771.675,1261.189,812.209,796.971,561.082,828.432,644.220,1693.417,945.418,923.846,109.832
775.297,1129.412,783.580,805.578,571.967,830.562,684.011,1515.236,925.552,891.244,88.066
793.430,1052.918,782.975,802.355,584.723,854.336,665.918,1332.625,1034.522,878.200,71.598
797.622,883.196,733.488,803.380,588.022,835.577,666.929,1204.000,1016.716,836.548,58.101
807.256,789.491,751.391,806.497,598.207,836.141,662.675,1060.785,1044.590,817.448,48.247
776.904,744.672,717.396,805.318,578.783,824.898,659.424,914.639,1066.030,787.562,44.761
805.779,750.804,748.279,820.044,552.402,813.408,667.319,894.076,1131.358,798.163,50.091
812.444,716.715,779.121,801.742,581.554,806.979,680.986,810.208,1205.545,799.477,53.752
833.554,756.789,771.465,807.110,575.071,825.336,693.709,814.118,1425.254,833.601,74.318
829.290,762.593,786.816,797.452,566.418,812.270,671.172,784.062,1471.284,831.262,79.801
864.430,793.774,855.481,824.362,554.446,800.775,681.958,882.236,1709.239,885.189,102.455
844.527,826.531,903.789,816.432,552.413,810.162,675.463,881.583,1708.590,891.054,102.332
842.599,856.990,944.106,803.465,560.929,816.688,666.356,885.750,1805.366,909.139,111.778
802.729,869.176,1013.564,808.055,574.761,841.219,654.243,947.000,1745.500,917.361,106.328
786.455,892.241,1168.115,808.957,513.538,817.517,675.073,953.160,1695.940,923.444,107.225
776.651,945.663,1231.025,799.071,547.924,843.931,698.624,956.972,1633.000,936.985,101.406
749.329,1014.030,1304.308,817.680,509.065,847.342,671.799,969.903,1441.500,924.995,93.367
747.995,1159.395,1266.885,801.192,533.484,874.030,673.387,1048.181,1337.082,937.959,87.570
721.219,1275.278,1158.622,797.829,556.505,866.288,688.008,1017.826,1179.328,917.878,78.820
689.962,1403.452,1056.229,826.211,538.783,869.141,683.777,1072.181,1073.321,912.562,83.436
685.426,1483.074,971.142,801.929,555.978,882.420,694.169,1049.528,907.194,892.318,84.882
662.583,1462.223,907.604,805.498,532.473,826.874,679.540,1050.396,806.358,859.283,85.125
663.230,1330.586,834.542,781.020,504.652,822.679,662.989,1066.806,798.112,829.402,76.312
687.612,1262.290,791.193,804.812,558.283,858.429,703.720,1102.951,812.343,842.404,67.887
684.133,1088.568,750.991,784.560,550.603,814.336,654.350,1081.903,872.336,809.087,57.404
688.985,953.228,698.303,783.324,526.728,779.862,655.314,1126.056,804.642,779.605,55.001
706.140,837.799,724.506,785.133,517.185,762.826,660.847,1130.222,893.052,779.746,53.391
707.381,754.347,689.512,775.900,523.261,724.420,690.232,1119.181,873.619,761.984,51.170
758.239,752.687,700.751,782.130,518.826,728.459,665.720,1084.090,888.642,764.394,48.878
797.882,733.928,752.052,794.462,514.880,717.114,667.141,1133.042,907.500,779.778,53.438
894.059,752.903,784.425,788.813,523.674,703.315,674.331,1235.361,973.963,814.538,63.909
977.988,789.561,817.009,797.970,522.418,677.249,692.311,1180.424,996.060,827.888,62.059
1020.379,790.318,807.708,799.231,490.647,686.285,656.466,1148.583,982.299,820.213,63.734
1003.951,768.481,824.834,815.050,489.337,666.318,658.689,1127.639,983.672,815.330,62.534
977.348,803.310,880.137,806.428,501.538,731.387,680.201,1158.208,1062.537,844.566,63.385
909.556,835.576,941.953,801.105,507.543,744.820,666.249,1100.833,1001.507,834.349,56.696
820.579,831.323,1040.326,804.639,499.087,773.489,652.975,1140.000,1076.731,848.794,65.055
748.709,862.881,1182.000,798.812,495.179,856.423,679.181,1114.146,1077.433,868.307,69.997
691.026,955.759,1308.175,806.531,501.799,966.369,663.189,1128.694,1213.381,914.992,85.321
647.278,1072.605,1307.566,811.935,521.826,1078.063,685.596,1137.174,1448.746,967.866,99.638
600.761,1179.273,1137.764,800.690,506.957,1082.700,652.596,1092.944,1599.731,961.491,109.760
595.807,1386.462,1076.279,802.311,490.587,1063.610,654.904,1122.562,1729.299,991.313,126.026
581.249,1452.690,999.115,814.358,505.435,942.360,669.452,1104.118,1739.507,978.698,127.925
596.278,1544.893,912.834,804.192,509.027,909.634,683.698,1071.326,1798.313,981.133,135.824
603.050,1417.464,845.497,795.932,497.136,846.991,696.342,1074.826,1749.313,947.395,127.076
611.053,1297.610,801.598,796.943,504.837,794.249,672.302,1014.021,1706.881,911.055,118.844
641.828,1149.268,751.899,799.079,480.179,704.751,674.141,1074.806,1532.709,867.629,102.303
656.880,952.645,703.535,797.509,499.098,653.447,675.554,1072.576,1335.157,816.267,81.567
666.960,865.814,693.996,803.961,472.391,617.366,643.706,1006.292,1187.194,773.076,68.884
720.708,772.124,708.306,804.993,485.120,616.817,664.034,993.285,997.284,751.408,52.319
756.668,703.978,682.944,798.168,452.630,605.315,668.299,951.674,900.321,724.444,47.455
843.090,720.045,721.301,790.941,496.299,584.345,683.229,990.576,809.216,737.671,45.588
935.547,718.809,738.710,808.796,468.071,587.721,690.407,1002.188,749.448,744.411,51.120
1009.349,739.613,776.874,807.543,487.478,603.462,650.551,991.333,779.784,760.665,53.263
1026.177,713.365,797.679,802.656,482.761,620.159,663.805,981.549,747.343,759.499,53.423
999.613,786.501,824.562,800.852,486.228,659.934,682.960,1029.382,783.194,783.692,52.459
930.892,769.404,835.506,790.862,464.190,662.165,676.203,986.972,799.858,768.450,48.751
869.764,834.320,889.337,803.861,492.375,695.000,669.203,990.160,789.784,781.534,45.813
805.481,848.496,969.822,810.967,483.087,741.165,652.297,974.715,825.216,790.139,48.092
746.339,883.226,1084.566,806.814,454.440,766.790,677.938,1013.167,824.754,806.448,57.940
673.755,974.667,1248.431,820.671,494.940,891.336,654.898,1000.340,819.015,842.006,69.836
623.892,1055.251,1303.872,804.361,498.582,1104.961,681.599,968.535,836.179,875.248,80.638
583.328,1194.998,1268.402,786.359,457.152,1132.703,638.395,927.736,825.313,868.265,89.713
557.471,1334.730,1153.429,777.805,473.478,1126.468,652.548,954.243,864.955,877.236,91.586
590.286,1517.548,1074.382,793.027,501.913,1110.489,664.110,955.833,882.858,898.939,98.191
597.684,1468.459,978.139,791.329,468.207,976.976,668.113,955.667,876.119,864.521,91.012
605.983,1466.330,925.173,806.807,474.087,890.000,689.102,993.785,895.388,860.739,88.709
616.702,1301.345,856.321,811.424,471.989,819.138,683.045,922.368,942.963,825.033,73.674
617.295,1109.871,746.382,789.271,449.755,722.979,686.161,948.875,901.500,774.677,60.924
652.939,1005.295,744.688,815.319,471.011,670.757,672.153,937.208,948.410,768.642,54.473
683.607,889.576,704.207,822.712,446.875,604.075,678.667,932.979,942.828,745.058,52.114
703.509,786.682,701.058,813.746,460.543,588.465,695.661,890.882,1001.254,737.978,50.243
752.996,751.474,701.953,817.350,455.136,569.285,686.503,913.868,985.963,737.170,51.104
