0383-0244-0015,0383-0239-0038,0383-0187-0150,0383-0224-0175,0383-0193-0180,0383-0186-0197,0383-0021-0204,0383-0241-0187,Average,Err
560.422,612.093,636.725,532.900,534.342,648.163,359.311,401.535,535.686,35.005
557.484,632.685,642.176,536.473,540.204,618.000,358.943,407.961,536.741,34.361
525.201,619.907,638.486,524.350,527.800,632.587,356.250,395.947,527.566,35.033
561.844,620.437,651.086,539.236,544.396,630.500,360.679,396.711,538.111,35.390
561.102,638.172,657.679,530.709,523.840,617.881,367.023,393.694,536.262,35.698
566.003,626.679,646.437,542.800,531.556,659.094,354.372,380.077,538.377,38.282
547.208,615.166,638.142,520.318,535.436,644.531,360.970,384.092,530.733,35.869
557.589,610.132,647.471,555.077,548.564,650.200,356.654,404.229,541.240,35.633
574.531,610.288,657.099,549.723,535.578,658.469,358.404,403.655,543.468,36.543
542.521,609.689,664.763,548.177,548.720,630.500,368.955,397.408,538.842,34.987
560.211,652.877,670.994,527.414,522.351,627.394,365.412,401.676,541.041,37.086
537.904,635.805,661.148,533.764,535.316,652.150,367.309,402.458,540.731,36.494
541.086,611.589,658.824,523.200,532.387,618.750,368.152,399.306,531.662,34.132
543.120,625.315,671.409,522.645,575.320,642.606,362.322,402.401,543.142,36.882
560.995,644.672,664.940,515.995,533.387,641.500,377.030,398.271,542.099,36.345
538.409,618.470,663.675,524.368,517.596,639.638,365.180,409.669,534.626,35.233
550.297,627.397,669.802,548.023,538.564,639.650,370.606,393.426,542.221,36.385
543.904,630.089,671.606,529.832,547.938,622.031,367.619,394.623,538.455,36.051
548.513,619.993,665.572,530.477,546.093,618.806,356.127,387.222,534.100,36.540
543.102,637.606,672.664,524.409,532.102,632.150,365.823,393.528,537.673,37.014
570.151,622.344,656.892,531.955,547.409,636.275,379.022,388.986,541.629,35.231
563.099,623.334,662.409,536.386,539.191,655.069,371.751,389.961,542.650,36.759
544.776,619.454,671.374,551.405,536.520,615.981,372.506,391.092,537.888,35.290
519.987,636.086,655.202,537.132,563.662,640.256,367.756,395.423,539.438,36.248
557.508,610.036,662.393,536.495,551.031,644.356,370.825,386.067,539.839,36.127
545.279,624.017,682.011,521.955,558.533,617.981,378.771,394.335,540.360,35.623
561.008,629.318,673.383,536.141,535.351,622.306,362.409,384.261,538.022,37.246
536.427,620.182,672.576,532.432,529.920,608.844,372.696,395.905,533.623,34.764
553.763,632.990,684.430,526.250,542.471,676.206,370.965,380.606,545.960,39.949
554.076,608.242,678.006,545.232,557.813,647.881,367.207,411.296,546.219,35.794
551.070,616.940,686.606,526.605,538.071,646.675,372.439,400.239,542.331,36.799
567.596,649.093,670.344,543.791,548.924,633.425,369.339,399.813,547.791,36.820
554.945,646.026,680.013,547.273,544.884,657.112,371.694,388.299,548.781,38.646
585.510,622.172,663.815,545.755,538.569,648.319,369.649,397.820,546.451,36.406
551.021,654.503,669.880,546.977,536.436,655.700,371.095,405.257,548.859,37.418
550.201,632.030,662.142,540.114,555.618,631.263,376.267,397.482,543.139,35.157
551.612,626.477,683.037,536.482,580.920,659.962,375.977,391.162,550.704,37.974
536.617,657.086,668.978,561.314,559.236,639.369,375.432,408.630,550.833,36.327
