0001-0072-0197,0001-0135-0221,0001-0053-0078,0001-0069-0141,0001-0031-0146,0075-0005-0120,0075-0012-0134,0075-0018-0124,0075-0037-0127,0075-0055-0177,0001-0051-0194,0001-0094-0126,0001-0106-0097,0001-0136-0090,0001-0184-0111,0001-0217-0119,0133-0146-0150,0133-0139-0138,0133-0125-0164,0133-0176-0164,0133-0189-0158,0073-0183-0212,0073-0177-0183,0073-0159-0166,0073-0187-0053,0047-0177-0061,0047-0162-0053,0047-0176-0031,0040-0152-0093,0330-0248-0118,0350-0238-0158,0375-0211-0040,0336-0240-0021,Average,Err
333.166,286.666,460.325,307.524,241.349,290.578,283.626,282.071,310.990,348.270,261.810,403.227,295.137,264.717,265.434,267.335,239.052,276.950,424.377,242.915,273.393,370.665,238.921,276.256,242.065,240.794,269.692,247.997,256.645,354.589,321.400,242.271,253.512,293.143,9.676
319.663,320.892,484.152,313.553,237.448,270.007,279.267,284.556,291.519,325.039,256.211,364.565,298.311,263.445,284.049,257.920,245.701,275.460,429.884,241.158,283.400,400.020,235.721,289.732,236.221,247.373,255.571,238.346,274.565,323.877,382.746,246.135,245.995,294.015,10.243
334.899,328.226,474.870,295.869,246.061,272.551,286.318,277.136,297.886,335.348,256.231,305.696,320.826,271.927,284.934,266.422,268.309,273.441,399.884,251.068,283.579,408.065,227.747,291.402,243.981,243.349,258.143,247.346,272.325,315.988,464.792,257.947,243.207,297.145,10.403
316.538,331.287,441.072,295.160,247.829,279.333,277.703,284.237,297.471,321.140,274.075,274.254,279.495,251.613,287.877,264.011,266.515,287.012,389.609,251.350,283.693,395.780,238.511,299.012,240.883,252.325,260.639,243.717,267.760,301.217,428.700,261.496,237.720,291.789,8.948
313.196,334.545,407.602,312.277,248.976,297.347,283.123,285.101,304.633,341.730,249.218,258.241,308.063,269.037,284.738,267.796,250.938,241.168,380.920,234.373,293.707,384.540,245.237,352.988,245.253,246.722,267.789,244.190,273.745,291.348,408.985,278.075,240.989,292.321,8.515
338.809,299.481,382.843,285.015,251.891,316.912,273.764,289.929,288.395,343.966,271.374,241.863,306.432,252.827,277.746,264.996,231.072,274.366,386.174,232.384,283.814,378.270,239.642,366.787,242.630,243.159,260.323,265.756,281.450,273.431,435.731,253.594,237.493,290.070,8.870
327.497,296.889,322.095,296.228,247.771,273.544,285.415,297.066,295.890,333.612,261.497,238.686,311.442,271.817,284.115,257.418,230.546,294.553,386.486,254.576,287.486,379.300,241.511,348.549,234.396,233.524,264.398,268.015,307.410,283.814,416.662,246.534,240.870,288.473,7.892
322.462,288.232,299.570,281.097,245.712,289.122,283.569,289.409,311.100,360.815,331.565,254.492,297.347,276.550,285.844,274.120,257.722,294.938,459.935,261.486,344.607,392.170,242.795,322.866,241.909,247.056,254.932,264.979,341.885,278.277,400.115,271.376,241.259,297.252,8.658
323.427,290.194,295.129,301.762,238.251,268.224,285.010,293.798,291.552,495.236,339.667,255.120,300.921,272.309,287.852,261.240,237.134,310.528,436.297,259.605,370.521,399.560,231.647,298.841,247.753,254.627,277.098,256.648,367.565,280.202,392.062,255.872,240.604,300.493,10.492
338.492,298.283,283.657,296.772,249.269,276.830,286.272,299.051,299.986,551.685,342.993,257.134,301.389,261.754,273.410,274.582,253.495,290.491,491.906,243.475,358.679,399.255,247.584,305.982,238.740,264.857,276.045,250.069,455.755,277.158,389.962,276.361,240.570,307.635,12.726
366.698,292.866,280.324,300.058,252.504,294.170,290.826,273.293,283.490,589.511,334.048,244.873,300.837,260.529,267.172,270.629,253.680,300.882,558.986,248.254,351.000,390.045,246.042,289.537,250.000,250.825,303.647,245.985,471.930,270.115,362.615,266.000,244.839,309.279,14.500
422.256,307.105,271.296,311.029,243.861,282.898,285.579,300.955,293.076,586.500,355.333,241.572,312.774,264.775,273.410,267.571,255.598,271.081,639.638,298.492,363.143,407.700,236.579,294.677,233.545,246.238,279.759,255.518,464.960,289.126,376.862,271.436,240.921,316.523,16.245
548.839,327.981,276.858,298.068,245.037,282.891,285.831,284.177,296.552,552.208,352.544,237.866,304.189,262.681,270.410,289.945,255.567,288.807,656.696,295.542,359.193,375.735,233.658,297.811,254.805,269.421,297.293,243.009,451.610,300.771,337.038,285.323,237.111,319.863,16.718
634.668,356.290,271.392,309.180,241.765,310.401,273.385,282.768,302.619,575.539,335.946,237.642,332.837,248.995,292.246,270.407,261.835,273.143,674.355,305.808,344.614,385.370,242.253,282.207,251.175,267.778,315.880,242.518,449.265,284.802,317.262,270.233,242.921,323.864,18.599
741.281,335.541,270.688,309.612,238.547,278.456,275.995,273.066,321.690,536.129,317.646,244.796,311.479,259.372,416.918,285.429,260.577,262.497,634.406,304.734,333.829,365.870,247.689,284.543,262.091,256.873,328.820,254.482,409.750,276.806,290.162,288.812,241.520,324.852,19.238
681.719,320.318,278.780,303.529,239.800,287.204,278.456,284.273,309.514,503.719,301.109,258.184,304.995,268.241,385.984,281.200,238.031,277.907,624.101,299.944,313.907,360.110,230.974,272.616,253.357,250.222,336.023,252.202,393.325,281.289,301.631,270.346,240.494,317.682,17.495
