0001-0049-0053,0001-0079-0227,0001-0132-0215,0001-0146-0232,0001-0156-0159,0001-0224-0241,0001-0209-0103,0001-0171-0060,0001-0158-0056,0001-0120-0053,0059-0127-0028,0059-0113-0028,0059-0180-0036,0059-0191-0025,0059-0176-0016,0059-0214-0012,0090-0159-0019,Average,Err
462.880,379.645,505.672,370.843,391.567,570.069,506.363,449.743,361.650,433.215,690.640,530.036,471.253,403.495,379.276,274.008,352.941,443.135,23.166
455.106,385.721,501.944,362.714,424.261,563.704,498.327,479.245,363.238,406.171,697.035,504.152,462.395,391.558,412.249,258.025,360.245,442.711,23.059
450.458,381.542,514.183,378.617,388.866,565.874,476.218,483.426,374.437,410.620,676.465,543.929,437.573,369.596,370.514,263.157,335.641,436.536,23.388
448.635,390.404,484.500,373.798,381.838,579.709,482.125,428.661,354.700,436.804,669.118,511.839,420.875,349.803,379.119,258.136,359.216,429.958,22.686
435.535,376.803,464.778,341.843,391.777,524.077,468.548,413.451,374.322,425.582,600.075,526.830,410.648,375.957,364.946,240.631,337.330,416.067,19.862
442.588,386.219,462.867,351.460,415.000,523.073,466.416,468.144,346.238,395.209,626.018,488.839,420.655,364.385,339.811,248.316,356.458,417.747,20.334
447.561,376.132,461.844,343.250,393.849,549.798,466.911,422.401,348.146,396.222,666.303,543.598,399.801,364.269,334.632,246.169,337.700,417.564,23.487
434.701,378.438,491.650,357.657,423.203,549.972,462.330,410.740,330.667,412.259,620.259,496.607,418.754,325.668,302.405,240.053,349.425,412.046,22.227
439.130,370.934,480.906,370.391,386.732,516.028,476.406,416.702,326.275,400.095,633.096,433.848,403.890,312.308,311.168,236.495,334.919,402.901,21.764
428.095,385.989,459.650,349.859,382.124,504.077,490.772,398.900,315.754,405.259,630.934,546.875,381.687,313.293,293.557,246.972,335.656,404.085,23.154
417.971,371.507,541.706,354.835,395.759,503.093,464.680,365.831,316.557,397.924,622.947,474.366,386.135,321.077,285.584,241.303,316.696,398.704,23.014
421.043,370.036,478.772,356.976,368.687,496.838,446.122,354.868,290.535,401.608,612.987,475.179,386.548,291.764,271.968,240.861,311.729,386.854,22.429
434.570,382.624,456.828,357.754,391.278,518.320,449.644,337.765,306.199,374.165,616.535,498.402,348.890,285.524,297.119,246.144,338.773,390.620,22.414
428.904,385.061,518.689,358.984,400.003,498.810,475.845,377.451,293.852,405.766,613.022,481.304,374.221,296.899,264.968,247.270,347.033,398.122,22.914
402.373,369.145,435.600,356.169,377.625,462.377,435.578,341.972,318.132,343.791,592.285,491.018,378.014,297.971,288.054,237.735,330.128,379.880,20.039
396.692,366.836,461.517,344.480,380.959,419.024,445.805,334.614,296.695,310.411,620.917,463.223,338.014,285.798,288.708,235.449,305.626,370.281,21.758
394.234,365.633,440.500,348.371,356.278,382.283,446.700,334.185,305.042,315.342,595.553,436.330,364.843,292.538,296.384,237.884,318.861,366.527,19.272
396.123,364.574,438.339,336.363,380.416,378.947,437.531,338.633,289.678,275.437,567.662,497.491,357.363,301.106,290.130,244.992,316.527,365.371,19.719
388.752,374.268,467.467,346.899,379.526,388.385,415.743,340.524,292.569,274.494,570.175,476.295,357.808,301.409,284.454,243.939,320.758,366.086,19.554
399.209,372.751,451.944,348.085,372.478,399.348,441.182,363.514,306.398,285.975,613.364,463.848,356.815,294.688,293.568,237.096,316.905,371.598,20.822
385.678,373.973,432.178,353.423,341.076,455.636,438.620,373.533,313.840,267.209,590.570,466.455,351.786,299.769,278.265,235.679,314.429,368.948,20.694
390.281,381.456,428.439,338.036,361.189,612.117,421.023,392.893,302.594,242.259,586.303,461.214,325.246,291.812,256.800,242.725,340.055,374.967,24.983
372.560,373.020,445.244,350.944,353.986,661.943,409.868,371.138,330.165,273.076,583.535,457.929,352.779,300.740,277.562,247.780,330.231,381.912,25.313
362.606,371.117,441.767,326.560,340.838,631.514,424.429,367.266,353.549,261.563,566.526,469.920,326.986,286.913,247.903,242.869,316.165,372.852,25.131
367.674,381.070,400.150,328.774,342.100,638.559,439.653,414.787,370.017,277.316,565.066,446.402,319.285,283.163,262.016,237.997,308.443,375.440,24.780
361.436,371.584,417.550,330.544,338.773,649.263,417.198,479.994,397.541,466.975,562.228,448.679,327.886,294.543,280.870,232.611,304.557,393.072,24.957
365.185,360.874,429.711,340.718,318.780,591.660,422.822,551.586,416.062,492.582,573.939,431.018,337.651,296.736,280.703,231.518,300.703,396.603,25.015
361.737,377.280,403.856,319.423,308.203,568.279,377.571,594.188,416.207,495.899,551.228,413.554,309.117,293.678,254.005,239.121,302.092,387.379,25.613
358.868,374.461,406.894,311.790,292.924,509.166,402.234,535.069,380.840,520.937,570.294,429.500,305.886,296.538,269.411,238.399,293.293,382.147,23.921
