0383-0244-0015,0383-0239-0038,0383-0187-0150,0383-0224-0175,0383-0193-0180,0383-0186-0197,0383-0021-0204,0383-0241-0187,Average,Err
647.680,731.010,1045.452,1529.705,815.973,1168.419,1054.028,656.592,956.107,100.530
644.719,756.536,1069.712,1598.627,864.164,1170.944,1319.234,628.718,1006.582,114.278
683.698,756.447,1048.893,1533.632,895.764,1188.575,1348.925,634.898,1011.354,108.034
688.047,769.391,1007.366,1499.800,971.373,1183.469,1390.212,618.958,1016.077,106.816
663.724,782.924,923.129,1375.159,963.191,1170.700,1370.105,554.609,975.443,102.155
644.516,756.308,890.314,1345.914,961.707,1155.456,1350.725,557.320,957.782,100.607
650.906,739.589,845.058,1310.332,977.231,1247.819,1268.155,552.246,948.917,98.698
640.758,760.272,813.499,1274.536,949.022,1241.975,1263.042,562.546,938.206,95.838
632.320,774.781,766.237,1340.655,921.258,1341.556,1193.873,563.162,941.730,103.132
621.154,761.735,764.480,1430.273,843.009,1407.575,1209.576,639.451,959.657,111.282
622.357,768.546,750.454,1541.545,835.831,1277.306,1135.376,716.398,955.977,107.444
615.914,739.864,708.314,1571.491,818.871,1214.506,1108.100,751.489,941.069,108.351
600.810,762.523,706.275,1617.409,773.764,1149.294,1109.835,729.313,931.153,112.090
596.755,723.391,692.742,1500.782,707.196,1101.444,1001.162,704.236,878.463,100.751
583.419,702.020,706.596,1479.309,753.622,1044.213,977.965,659.535,863.335,97.451
577.805,687.172,681.531,1321.441,749.404,972.362,980.165,604.099,821.747,83.606
552.763,659.407,665.946,1208.682,691.800,941.100,974.813,550.363,780.609,77.799
524.745,628.152,664.120,1189.018,707.516,854.506,881.115,508.574,744.718,74.339
501.135,636.970,666.744,1045.995,720.493,848.856,890.467,457.264,720.991,65.977
496.703,616.940,684.938,1025.023,693.173,813.056,849.297,459.060,704.774,62.134
457.333,621.990,652.793,1060.186,653.676,784.269,813.304,429.912,684.183,67.311
456.781,612.848,692.542,1051.064,657.076,806.987,777.088,438.982,686.671,65.669
464.987,602.493,683.411,1185.277,653.391,780.906,762.424,496.644,703.692,74.411
463.112,609.930,670.615,1308.891,649.680,730.394,770.963,580.437,723.003,84.261
442.430,591.566,663.000,1381.032,621.124,694.806,784.755,632.518,726.404,93.180
442.378,564.854,665.570,1519.527,641.253,686.206,784.269,647.208,743.908,108.653
437.211,596.258,671.355,1411.795,606.204,664.644,872.684,667.556,740.964,98.011
435.060,562.209,665.473,1340.059,579.498,611.094,962.160,599.919,719.434,96.679
443.628,595.937,674.088,1342.273,590.338,583.225,1039.381,605.863,734.341,99.216
451.896,581.530,685.421,1247.232,555.929,546.106,1034.426,567.444,708.748,92.576
445.859,540.209,661.421,1155.668,538.178,521.844,969.543,497.042,666.220,84.953
475.958,545.546,661.351,1111.014,533.711,517.775,947.504,455.331,656.024,80.135
510.930,560.970,676.368,995.477,514.053,531.181,914.728,407.190,638.862,69.368
535.255,570.666,666.159,943.832,494.524,645.312,794.930,400.975,631.457,57.353
573.102,582.215,676.204,903.468,476.991,759.906,705.154,396.173,634.152,53.460
551.315,576.205,674.379,951.845,453.671,921.925,616.012,396.275,642.703,66.671
561.354,602.825,664.359,1064.932,466.084,1087.544,585.720,485.444,689.783,81.612
573.336,566.497,644.764,1168.882,475.058,1099.763,551.598,600.405,710.038,88.239
544.635,583.096,642.807,1306.805,468.351,1121.062,533.935,615.349,727.005,102.252
544.854,590.977,657.314,1398.532,513.613,1086.963,563.442,680.831,754.566,104.985
517.844,564.142,637.168,1417.786,573.307,999.250,751.447,621.923,760.358,101.243
484.844,550.043,649.946,1352.155,595.200,929.931,950.848,567.852,760.102,97.783
456.331,561.222,649.004,1269.877,592.276,875.494,967.429,525.292,737.116,91.806
429.078,544.854,624.796,1200.914,588.258,762.138,936.574,516.951,700.445,84.766
384.409,525.209,633.720,1096.436,586.889,593.013,923.462,462.035,650.647,79.355
346.039,505.129,639.507,992.377,532.031,441.294,911.301,410.609,597.286,78.217
324.266,494.642,639.964,940.568,480.280,406.856,838.511,393.444,564.816,73.527
314.049,489.132,639.763,881.327,439.293,395.406,794.077,383.433,542.060,68.486
314.159,456.172,632.120,825.568,398.867,373.875,712.132,363.356,509.531,62.373
312.122,441.205,623.836,863.059,360.209,384.950,630.504,372.887,498.597,62.731
311.505,406.788,627.011,880.609,382.582,379.312,557.068,403.708,493.573,61.968
324.378,378.623,610.314,943.414,405.404,367.363,517.157,439.658,498.289,66.710
327.159,415.132,637.118,1125.786,499.120,398.919,509.748,497.718,551.338,82.606
335.247,433.139,610.228,1195.705,512.271,424.562,530.740,562.211,575.513,87.750
360.276,481.384,620.292,1315.332,542.182,506.488,515.494,548.218,611.208,97.191
358.263,522.672,595.271,1319.600,512.498,585.256,524.093,576.637,624.286,96.155
386.974,553.815,588.204,1287.036,447.431,723.225,670.119,551.018,650.978,92.251
418.276,618.894,584.127,1193.632,396.738,725.119,897.110,490.271,665.521,89.178
433.992,636.762,572.978,1108.295,353.062,766.569,894.100,480.088,655.731,84.109
487.312,673.228,578.249,1036.414,369.698,662.981,874.093,411.377,636.669,75.617
541.036,631.583,549.779,912.173,368.911,537.312,862.427,365.113,596.042,66.813
599.969,606.762,538.886,813.245,438.600,451.075,758.549,346.500,569.198,52.929
631.109,569.682,557.705,848.377,500.009,406.462,721.401,338.370,571.639,54.425
637.198,557.748,560.088,771.436,597.058,389.231,652.998,325.831,561.449,47.545
673.115,493.331,563.901,770.800,579.836,386.488,557.796,330.158,544.428,47.283
630.198,448.520,533.062,740.645,514.467,358.475,511.337,336.401,509.138,44.206
605.826,386.606,559.594,818.132,420.982,379.150,507.760,340.912,502.370,52.290
533.068,331.020,550.254,801.295,366.520,376.312,491.609,390.349,480.053,50.772
519.924,331.593,521.497,882.991,352.618,386.356,489.115,450.289,491.798,57.634
450.229,312.225,523.443,982.086,347.582,403.594,482.492,502.613,500.533,68.867
378.703,314.030,487.817,1041.632,339.022,436.312,482.816,556.053,504.548,76.654
354.560,330.613,492.970,1140.950,344.738,543.712,501.043,537.606,530.774,86.654
311.443,321.990,453.664,1165.732,333.391,755.737,513.564,530.261,548.223,95.871
314.674,312.520,434.460,1083.173,349.076,872.581,631.327,469.616,558.428,94.069
296.898,330.166,427.301,1070.977,490.889,892.394,844.342,445.035,599.750,96.618
301.227,337.974,416.036,931.914,595.813,951.987,884.316,391.401,601.333,92.718
288.034,410.987,426.151,866.836,612.591,961.669,829.928,351.986,593.523,86.556
295.578,468.576,435.501,749.764,581.711,951.975,818.427,343.799,580.666,78.463
289.938,578.275,470.721,703.218,530.236,880.263,737.035,334.574,565.532,66.979
292.812,596.152,503.247,635.150,436.929,732.625,646.855,307.806,518.947,53.644
295.299,635.033,581.430,668.559,369.418,564.337,563.107,318.507,499.461,48.940
294.729,667.646,628.385,637.382,343.116,441.587,522.768,308.225,480.480,51.215
298.352,678.894,679.770,665.559,336.498,392.163,499.342,310.162,482.592,56.509
286.956,689.142,671.075,631.455,328.640,364.875,490.676,322.370,473.149,56.070
307.484,666.199,658.953,634.473,319.556,359.119,484.491,321.905,469.022,53.724
295.013,602.924,621.267,606.859,325.658,352.413,480.731,326.785,451.456,47.176
303.758,556.894,590.065,609.564,331.404,360.819,487.095,338.489,447.261,42.142
304.839,500.768,535.103,669.641,336.996,367.962,487.150,390.426,449.111,40.225
307.607,434.371,443.006,740.973,329.373,348.262,476.239,444.007,440.480,45.093
308.151,383.215,405.439,815.018,345.458,361.150,491.244,480.574,448.781,53.217
308.320,338.570,359.581,882.632,429.693,364.175,475.733,473.046,453.969,60.812
313.469,339.712,335.413,887.668,528.844,353.006,492.160,423.215,459.186,62.865
311.047,317.394,322.052,838.295,538.449,357.231,469.943,399.451,444.233,59.049
305.594,305.397,327.664,807.150,540.800,362.950,480.411,359.173,436.142,56.974
321.807,322.103,321.318,746.514,441.853,350.450,484.726,341.817,416.323,48.587
311.664,311.291,316.077,670.500,379.049,344.038,575.402,310.493,402.314,46.468
313.831,307.901,339.486,600.159,339.551,371.325,708.422,322.585,412.907,50.605
318.615,310.467,328.725,590.677,316.684,351.894,818.070,314.183,418.664,61.833
309.409,306.377,338.611,580.891,316.493,377.144,866.494,304.148,424.946,66.472
309.849,308.305,349.636,576.255,313.813,386.056,835.002,322.025,425.117,62.252
308.372,295.603,342.987,564.468,307.960,387.175,802.432,300.430,413.678,59.765
311.182,294.033,336.703,566.932,325.218,368.744,731.778,309.930,405.565,52.366
280.956,302.430,378.247,559.391,316.840,373.219,602.132,301.373,389.323,40.865
302.620,304.861,384.662,560.027,307.080,355.006,523.518,302.739,380.064,34.590
313.609,325.864,435.062,548.036,324.387,362.356,485.771,299.901,386.873,30.423
310.982,316.596,564.075,533.900,310.338,336.900,462.432,321.384,394.576,35.706
294.870,302.980,743.387,503.077,316.533,365.712,480.846,299.782,413.399,51.885
303.034,295.315,872.215,508.414,307.213,356.244,473.516,293.898,426.231,65.763
297.510,292.169,879.738,480.855,330.151,391.300,455.135,301.479,428.542,64.952
288.841,305.219,865.979,493.673,328.609,373.694,446.993,298.225,425.154,63.804
286.536,290.407,810.043,510.155,322.151,379.738,441.275,300.651,417.620,58.725
304.234,304.980,732.593,510.182,299.431,370.238,470.010,290.320,410.248,51.242
300.664,304.387,700.331,509.682,323.853,380.750,467.531,290.313,409.689,47.310
292.047,306.440,613.163,507.723,328.782,374.306,461.324,291.680,396.933,39.251
300.221,302.109,539.929,471.409,293.067,371.850,471.040,287.891,379.690,33.251
308.029,303.957,442.875,469.700,302.653,358.575,472.397,282.060,367.531,26.894
298.211,307.199,379.099,491.541,292.280,368.769,461.863,285.620,360.573,26.470
288.951,295.818,349.527,484.305,300.387,406.837,455.451,284.951,358.278,26.574
280.029,295.877,340.243,471.800,302.458,366.644,466.023,288.144,351.402,25.789
290.961,300.513,321.895,467.055,288.600,358.844,465.750,275.085,346.088,25.969
286.620,300.225,329.252,486.836,321.956,374.663,473.336,282.539,356.928,26.932
284.151,294.368,311.888,463.136,310.929,376.900,459.159,279.070,347.450,25.257
289.427,296.613,302.022,481.550,309.271,377.006,452.182,286.690,349.345,25.909
286.326,288.391,319.404,478.505,321.347,367.238,465.062,283.176,351.181,26.253
290.677,300.272,314.447,476.950,312.164,383.738,447.763,295.933,352.743,24.483
288.422,299.834,324.329,495.277,306.151,351.750,461.265,295.391,352.802,26.604
300.513,313.609,313.587,465.832,311.836,374.462,448.102,279.088,350.879,23.458
290.404,286.556,313.641,478.555,316.431,357.594,459.713,290.099,349.124,25.687
288.964,305.185,309.348,487.291,318.351,362.094,463.032,294.437,353.588,25.964
280.773,286.881,309.680,464.032,310.662,383.656,454.032,278.225,345.993,25.596
288.479,302.344,313.778,475.445,307.476,377.800,450.032,286.525,350.235,24.913
284.758,306.795,315.890,478.282,320.160,391.181,449.768,289.211,354.506,24.942
283.839,293.642,318.262,477.873,319.796,409.369,455.893,287.415,355.761,26.284
277.393,306.225,325.815,474.995,321.662,380.819,470.013,307.989,358.114,25.246
269.638,307.490,321.755,463.736,306.996,404.950,462.988,315.173,356.591,25.156
284.797,313.222,321.746,499.045,327.271,387.113,443.948,308.180,360.665,25.055
279.685,293.606,313.725,500.841,307.818,358.950,452.865,330.799,354.786,26.463
280.021,304.715,313.921,498.895,312.884,374.812,455.955,308.658,356.233,26.527
285.130,289.086,316.630,489.968,312.609,373.694,441.119,304.303,351.567,25.296
276.531,294.510,313.114,507.918,330.569,392.381,439.993,297.947,356.621,27.216
278.826,300.970,322.226,520.186,302.862,382.181,447.189,310.532,358.122,28.212
273.573,299.917,322.568,521.373,313.618,364.200,435.499,303.144,354.237,27.771
271.154,309.156,312.951,503.905,298.329,370.425,457.055,306.137,353.639,27.757
265.320,295.629,314.254,501.136,318.031,373.531,463.846,299.134,353.860,28.299
268.138,306.950,316.628,504.114,309.653,369.594,439.633,296.648,351.420,26.895
272.039,298.990,313.344,504.082,298.284,374.363,453.197,290.979,350.660,28.274
276.464,299.699,314.503,496.195,312.738,388.712,444.509,282.042,351.858,27.094
276.833,296.778,317.112,488.482,312.200,391.781,445.551,284.680,351.677,26.515
