0001-0119-0076,0001-0101-0071,0001-0118-0022,0001-0104-0200,0001-0086-0168,0001-0200-0024,0001-0172-0181,0001-0250-0193,0001-0184-0241,0001-0145-0212,Average,Err
1119.285,561.316,278.050,671.975,333.724,283.719,343.577,275.381,393.736,286.877,454.764,80.728
1158.768,557.848,273.466,743.153,338.788,280.205,354.641,272.623,402.362,271.117,465.297,86.300
1210.031,583.250,284.490,776.141,354.916,299.413,363.996,283.051,406.584,263.047,482.492,90.688
1256.548,619.870,282.809,806.513,365.186,305.396,361.370,278.953,406.279,263.992,494.692,95.717
1310.652,643.923,278.560,857.369,384.026,318.219,373.658,280.517,422.039,262.777,513.174,101.285
1387.449,715.606,277.228,915.438,394.506,311.715,376.106,291.487,418.748,269.368,535.765,109.940
1425.519,755.513,284.876,935.810,424.116,335.236,376.711,305.674,443.303,275.387,556.215,112.517
1434.399,819.045,283.232,943.654,422.163,336.819,389.806,315.339,422.897,281.769,564.912,114.415
1467.894,865.609,291.607,950.299,424.863,351.365,394.958,326.720,428.709,291.022,579.305,117.104
1478.773,890.497,290.285,971.791,432.919,365.097,402.148,326.941,431.222,289.284,587.896,118.792
1543.959,903.130,284.131,933.977,467.270,370.576,379.782,338.559,432.120,299.769,595.327,122.453
1528.493,938.588,288.104,873.778,457.576,374.247,390.176,340.716,423.526,306.560,592.176,120.338
1515.862,968.617,286.661,771.558,461.852,375.545,399.229,332.843,424.301,312.967,584.943,118.086
1511.512,990.391,294.470,653.302,477.654,380.479,407.687,339.318,420.873,299.596,577.528,116.826
1588.829,1023.904,290.403,568.535,461.651,379.271,400.732,316.343,418.364,309.708,575.774,124.649
1618.135,1013.505,292.977,559.438,481.898,403.000,395.306,284.038,422.359,312.671,578.333,126.783
1571.275,1082.152,303.685,592.564,487.201,403.219,410.553,271.831,405.575,307.916,583.597,125.665
1631.800,1056.947,299.013,656.797,489.738,412.736,404.648,258.589,404.910,313.245,592.842,129.960
1658.370,1095.899,292.510,742.157,462.215,409.337,394.349,262.886,394.020,320.287,603.203,134.635
1619.614,1088.503,309.567,813.938,492.892,430.837,411.521,264.538,377.176,313.903,612.249,131.397
1640.213,1069.463,323.752,832.971,484.131,419.274,402.352,266.242,367.264,317.468,612.313,132.742
1668.408,1101.721,331.916,883.788,452.901,428.049,414.757,265.114,371.839,306.616,622.511,136.980
1678.688,1112.263,329.940,920.174,400.233,441.635,409.986,268.386,362.756,321.390,624.545,139.297
1648.638,1107.271,356.678,966.539,353.172,428.118,405.000,273.538,363.240,311.443,621.364,138.577
1655.882,1120.098,354.386,989.820,311.084,451.740,418.187,270.284,362.807,300.529,623.482,140.902
1701.812,1175.082,376.930,1033.640,307.323,446.142,409.151,267.919,361.804,284.560,636.436,147.699
1696.734,1146.423,386.302,1050.513,296.983,452.358,406.542,268.572,363.193,270.513,633.813,147.110
1681.720,1186.481,378.134,1065.730,293.808,470.111,410.042,281.585,385.293,263.596,641.650,147.317
1702.481,1157.154,387.446,1091.465,296.657,464.632,432.704,297.356,392.134,262.273,648.430,147.524
1698.879,1167.404,400.899,1079.343,293.855,467.670,412.144,306.059,404.391,263.911,649.456,146.921
1755.273,1153.545,397.094,1096.722,305.000,464.587,398.292,310.013,409.435,266.978,655.694,150.841
1688.913,1195.715,396.537,1087.404,312.663,464.993,407.581,322.805,431.482,270.557,657.865,146.208
1725.464,1161.170,401.960,1101.055,342.305,460.649,420.627,316.479,431.958,280.407,664.207,146.949
1688.512,1188.255,423.527,1108.789,369.012,473.469,425.866,336.648,438.594,285.515,673.819,143.541
1650.577,1148.766,419.611,1097.808,365.090,456.479,425.437,344.267,448.665,284.905,664.161,139.208
1715.280,1228.402,439.547,1123.661,401.924,479.618,414.514,364.746,452.112,299.908,691.971,145.242
1749.220,1194.069,459.772,1124.890,424.131,473.587,418.282,365.581,455.663,297.682,696.288,145.712
1721.889,1189.059,438.587,1148.400,419.657,487.733,417.951,360.309,448.467,305.847,693.790,144.557
1671.717,1192.524,434.221,1141.145,429.930,474.799,413.158,381.530,468.616,297.730,690.537,140.495
1758.848,1187.564,458.990,1147.487,422.038,502.316,417.366,382.131,479.149,314.638,707.053,145.302
1748.290,1222.527,460.178,1135.035,436.142,471.538,430.134,392.763,474.244,306.418,707.727,145.363
