0001-0119-0076,0001-0101-0071,0001-0118-0022,0001-0104-0200,0001-0086-0168,0001-0200-0024,0001-0172-0181,0001-0250-0193,0001-0184-0241,0001-0145-0212,Average,Err
413.048,380.261,349.181,417.952,397.852,399.507,697.229,280.258,858.998,577.565,477.185,53.739
427.686,379.763,356.117,406.993,375.453,414.979,709.500,268.263,859.352,592.836,479.094,55.023
420.060,384.176,356.141,402.113,380.451,405.913,745.926,289.941,884.049,586.738,485.551,57.512
412.722,384.798,348.138,417.427,394.073,392.753,809.947,270.072,840.579,567.897,483.841,58.345
420.111,391.295,357.685,426.453,403.078,402.295,884.518,284.377,853.098,588.691,501.160,62.424
437.097,377.301,354.416,419.266,395.125,394.747,859.208,283.254,848.161,599.312,496.789,61.301
416.633,372.037,358.641,421.231,395.706,413.889,744.092,294.267,849.584,582.418,484.850,54.444
421.674,372.346,354.289,413.020,382.035,398.517,677.627,295.441,871.650,566.159,475.276,53.407
423.787,362.176,364.812,419.324,392.942,400.948,601.680,300.847,855.271,602.050,472.384,49.987
432.812,355.346,342.272,411.282,400.561,394.878,579.542,292.140,835.978,580.992,462.580,48.384
411.575,358.410,378.456,423.094,400.404,425.170,598.327,303.648,825.269,583.359,470.771,46.530
429.133,361.883,357.164,412.302,389.631,414.389,562.264,288.949,817.778,588.265,462.176,46.324
427.036,362.718,373.403,411.625,395.116,409.365,617.511,289.856,825.672,596.752,470.905,48.182
415.452,359.923,357.936,425.017,388.468,401.010,561.525,281.907,810.318,586.958,458.851,46.162
413.792,346.356,385.013,433.696,410.265,411.160,597.169,283.568,835.203,606.078,472.230,48.661
425.290,347.322,362.322,427.484,391.177,415.924,589.972,295.648,789.347,586.641,463.113,44.665
428.082,352.008,368.413,423.269,396.456,429.795,577.944,265.394,812.472,577.153,463.099,46.585
425.152,352.753,355.876,406.334,400.087,418.521,584.352,274.381,799.998,591.128,460.858,46.309
411.036,333.678,350.802,400.555,399.081,419.267,615.173,269.949,764.905,574.365,453.881,45.283
417.290,345.351,373.255,411.173,383.517,402.222,644.708,279.479,825.746,614.251,469.699,50.734
430.804,336.750,380.513,428.244,398.817,393.007,599.616,263.182,793.362,600.577,462.487,46.975
418.763,335.710,374.708,413.160,384.491,409.049,567.630,286.508,780.105,567.733,453.786,43.622
410.531,354.410,377.936,418.945,384.212,420.601,571.359,269.487,772.589,582.660,456.273,43.661
421.297,357.670,370.658,408.711,388.651,487.660,597.060,265.000,780.455,600.373,467.753,45.502
424.287,363.141,351.030,417.552,395.195,510.115,575.370,272.229,800.966,582.206,469.209,45.821
422.256,371.934,361.034,425.773,395.116,473.552,589.373,271.233,786.117,565.741,466.213,44.052
420.167,365.750,363.453,407.968,376.782,426.760,572.137,288.530,806.225,563.889,459.166,45.074
417.814,364.340,358.446,411.663,377.544,417.604,560.342,269.835,845.704,571.298,459.459,48.945
404.843,362.529,361.856,416.368,391.358,406.267,593.595,281.377,947.756,561.596,472.754,57.274
409.341,366.577,351.003,416.077,401.212,420.497,566.680,277.242,1047.034,588.875,484.454,65.585
429.097,386.316,362.916,412.032,400.529,411.719,567.011,266.475,1090.589,584.660,491.134,69.020
