0001-0072-0197,0001-0135-0221,0001-0053-0078,0001-0069-0141,0001-0031-0146,0075-0005-0120,0075-0012-0134,0075-0018-0124,0075-0037-0127,0075-0055-0177,0001-0051-0194,0001-0094-0126,0001-0106-0097,0001-0136-0090,0001-0184-0111,0001-0217-0119,0133-0146-0150,0133-0139-0138,0133-0125-0164,0133-0176-0164,0133-0189-0158,0073-0183-0212,0073-0177-0183,0073-0159-0166,0073-0187-0053,0047-0177-0061,0047-0162-0053,0047-0176-0031,0040-0152-0093,0330-0248-0118,0350-0238-0158,0375-0211-0040,0336-0240-0021,Average,Err
1363.261,941.904,587.262,716.888,1380.592,1530.061,1369.749,1514.854,1907.286,670.410,502.939,908.472,591.526,816.031,655.090,803.938,733.278,775.373,410.297,436.780,629.071,614.575,377.632,513.256,497.636,420.611,402.015,489.078,578.840,414.300,350.946,472.391,1072.983,771.192,68.836
1188.523,890.787,633.551,681.961,1345.904,1443.320,1412.282,1547.894,1902.876,715.337,540.728,957.227,590.737,858.702,623.705,827.473,800.433,808.248,456.725,409.130,615.807,619.020,383.258,524.268,473.513,384.810,407.586,483.404,542.045,428.747,348.000,475.489,1040.494,768.545,67.085
963.930,837.503,700.139,747.917,1362.323,1463.306,1428.938,1538.308,1974.000,784.815,566.150,953.308,569.205,840.723,644.475,824.484,743.763,829.317,507.558,396.864,627.971,626.570,384.800,540.360,491.260,359.841,395.496,480.560,470.230,432.372,373.431,465.624,1067.227,769.478,67.480
873.055,870.596,790.649,745.801,1398.920,1617.238,1485.256,1624.652,1995.086,834.646,597.735,990.020,571.800,861.168,687.016,847.596,757.629,822.845,542.514,401.056,658.436,603.165,376.668,527.299,495.682,343.627,428.962,477.877,381.780,423.842,378.869,457.624,1067.114,785.946,71.229
869.653,842.041,872.669,778.859,1388.232,1582.483,1494.990,1648.465,2015.505,899.399,580.143,979.645,558.342,877.586,631.852,848.451,760.763,810.497,616.312,415.209,617.307,601.195,364.384,536.707,472.078,332.302,422.158,475.970,354.630,448.850,359.885,461.511,1066.729,787.418,71.850
794.809,909.102,930.848,765.854,1370.536,1557.122,1481.303,1633.601,2000.829,876.376,605.517,996.415,540.374,873.482,686.664,812.487,776.412,810.106,710.696,441.282,620.607,591.525,351.905,543.287,451.903,328.222,400.015,481.373,338.220,429.676,380.808,457.857,1050.220,787.862,70.963
826.377,872.994,989.054,759.675,1398.701,1609.585,1482.046,1648.904,1908.943,947.590,597.884,1001.167,534.574,845.220,671.828,801.367,750.629,809.733,699.891,420.056,607.814,579.465,332.911,559.207,438.409,333.722,436.857,479.352,330.340,433.415,405.669,456.098,1062.315,788.842,70.807
918.281,904.666,1043.958,753.267,1372.483,1602.388,1557.779,1658.965,1954.348,895.831,623.946,1031.391,477.121,863.665,661.754,807.098,718.144,825.491,785.667,472.554,641.521,572.540,306.137,514.037,390.234,342.929,446.098,465.268,319.445,448.885,402.262,468.353,1056.702,797.067,72.622
949.940,925.675,1070.504,816.350,1369.363,1511.857,1540.923,1654.465,1933.262,960.815,625.156,1005.993,461.984,882.440,634.615,839.760,772.990,815.528,841.072,462.390,632.443,584.105,291.032,440.037,344.299,376.286,457.353,476.988,324.590,446.957,403.946,415.068,1051.783,797.575,72.110
1026.538,898.048,1115.322,792.272,1376.941,1395.973,1538.154,1631.646,1909.267,900.494,581.782,1009.482,399.621,851.649,663.410,805.571,790.866,792.758,837.413,480.237,670.100,564.685,286.689,364.756,313.273,389.365,416.714,482.497,328.865,397.494,390.500,399.496,1058.423,783.646,72.035
1101.769,914.424,1173.193,753.869,1356.819,1128.925,1444.969,1572.677,1890.895,729.225,493.435,1050.579,394.895,820.482,693.779,797.382,760.649,809.118,861.333,479.593,659.486,559.700,282.121,356.030,304.701,405.754,448.045,468.277,354.955,355.146,403.146,372.338,1077.344,765.911,69.531
1148.910,923.131,1207.445,750.694,1382.307,945.000,1159.103,1487.732,1921.867,669.410,431.197,1030.278,380.342,854.581,730.426,829.044,755.000,852.186,844.493,495.565,692.950,599.175,286.026,375.963,301.338,409.484,453.451,474.795,353.645,350.968,441.692,324.925,1058.617,755.204,67.042
1164.216,868.541,1234.051,658.189,1365.973,782.646,843.385,1138.601,1915.848,558.966,410.748,1034.448,380.142,867.461,666.418,849.095,776.330,817.963,716.775,473.141,656.314,619.225,285.779,364.329,292.734,412.540,442.887,471.675,362.225,351.115,450.554,302.647,1055.364,714.858,63.183
1264.548,896.608,1249.695,636.078,1330.064,751.395,701.882,849.051,1876.290,519.511,413.075,1078.853,366.184,890.911,682.369,855.996,757.299,805.391,559.732,502.972,704.129,603.040,279.816,355.488,294.552,414.651,462.090,470.259,383.205,348.589,434.954,302.256,1053.711,699.838,62.178
1364.357,875.204,1310.969,565.306,1357.400,765.150,661.856,767.944,1940.557,548.798,426.177,1097.659,394.874,901.220,637.443,807.007,735.010,825.019,446.703,523.147,668.964,597.365,306.805,401.848,304.065,455.429,466.767,487.563,421.160,328.008,441.800,294.263,1071.180,702.940,64.412
1385.864,898.847,1313.158,523.524,1366.243,766.939,643.446,714.641,1914.419,514.539,426.204,1080.274,411.816,923.764,678.516,826.055,709.948,855.770,414.087,510.373,642.643,560.290,300.926,420.500,309.325,469.468,435.316,458.964,447.260,322.988,429.069,292.226,1066.715,698.004,64.733
1329.623,915.510,1342.102,482.131,1379.584,840.456,706.656,757.434,1885.005,573.135,442.490,1037.191,427.274,871.361,677.246,833.836,725.165,801.043,405.333,507.367,725.693,601.260,320.500,467.707,320.084,439.944,467.173,476.003,481.340,307.273,460.246,308.466,1047.580,707.976,62.846
1354.241,896.790,1330.419,497.350,1341.981,927.966,781.928,837.843,1924.467,575.393,478.823,1052.288,481.753,874.508,654.369,821.862,767.464,818.261,378.130,522.288,698.107,603.485,335.142,459.140,338.117,458.079,436.820,475.238,498.170,306.751,473.315,304.308,1045.040,719.692,63.209
1445.613,928.134,1309.936,516.631,1294.829,1025.272,867.590,914.419,1841.143,637.298,493.728,862.234,481.063,871.429,668.811,830.051,792.268,852.783,404.312,534.785,715.257,570.565,331.479,482.530,349.844,468.286,458.053,494.949,528.435,295.443,429.700,343.714,1019.839,729.104,61.423
1425.698,933.672,1329.133,553.699,1345.499,1079.014,923.744,1015.328,1920.505,688.056,522.558,844.662,486.979,905.670,741.475,839.291,715.969,805.522,417.007,513.356,732.021,584.735,333.947,505.329,371.058,447.024,467.880,487.934,511.070,301.352,466.423,343.195,1027.194,745.030,63.271
1462.910,949.799,1251.899,595.985,1388.933,1127.054,1031.882,1080.369,1920.690,781.376,563.660,792.274,540.932,939.895,671.098,821.058,751.237,826.528,468.029,544.915,712.286,593.235,325.305,536.963,391.565,467.865,461.654,481.518,530.500,295.826,455.177,373.053,1047.582,763.123,63.352
1473.211,970.764,1035.530,608.602,1376.440,1225.197,1012.144,1156.333,1897.248,790.899,595.939,791.033,514.358,921.534,682.836,840.880,767.536,843.845,507.993,553.475,715.443,613.800,333.758,537.628,363.390,501.627,449.211,492.443,525.785,307.304,445.085,367.323,1034.433,765.243,62.380
1503.814,918.389,831.303,629.442,1368.379,1221.714,1100.579,1224.551,2007.867,835.517,597.755,798.803,531.389,881.555,663.230,801.280,738.196,822.230,611.399,558.763,687.500,594.865,326.342,560.055,386.396,486.317,482.955,483.102,554.820,309.696,423.738,380.038,1037.060,768.456,63.971
1532.221,882.876,666.712,644.087,1395.141,1302.497,1159.682,1262.444,1955.386,877.011,607.388,829.950,552.068,895.707,714.697,811.029,754.979,826.925,644.442,547.254,691.521,577.100,342.195,543.195,397.195,494.627,460.511,494.075,556.455,336.202,359.700,386.429,1025.275,773.545,64.646
1570.060,918.487,622.666,682.670,1338.253,1284.163,1190.610,1245.732,1979.943,921.034,658.048,894.097,554.411,913.869,701.492,836.993,765.577,835.422,714.572,573.040,735.679,625.125,350.689,524.244,409.669,487.397,442.579,500.717,574.245,345.625,341.292,397.586,1040.478,787.166,64.790
1530.397,908.127,593.877,709.583,1421.160,1337.197,1292.256,1347.414,1928.238,963.393,616.857,880.455,567.821,913.063,682.107,853.669,720.732,837.012,771.399,551.311,760.214,588.025,360.458,495.957,415.916,466.468,478.774,476.021,609.820,335.767,366.415,413.083,1074.987,795.999,66.177
1595.332,924.822,639.020,715.539,1378.152,1370.578,1257.405,1432.409,1993.986,990.202,636.116,915.669,555.479,898.209,663.139,824.476,727.412,855.640,841.717,559.910,727.507,574.555,353.184,382.707,426.175,496.635,433.068,470.169,596.325,361.443,342.169,410.872,1057.275,800.221,68.934
1651.658,919.252,710.572,729.019,1378.907,1428.701,1317.800,1406.823,1960.514,1048.781,644.476,911.916,575.711,895.366,688.410,830.105,744.330,843.217,856.862,570.147,720.286,569.870,352.137,369.988,425.286,495.198,441.489,473.006,592.970,367.992,357.554,402.158,1062.082,810.381,69.504
1626.070,961.745,804.102,759.840,1418.928,1430.755,1405.462,1486.010,1989.367,1020.011,591.639,942.274,588.247,885.754,687.025,864.745,756.134,794.919,895.123,573.876,712.971,569.400,355.047,364.073,390.273,477.444,495.271,492.160,622.700,382.265,347.977,444.662,1055.286,823.987,70.920
