0001-0109-0118,0001-0097-0091,0001-0073-0114,0001-0045-0079,0001-0117-0047,0001-0125-0028,0001-0125-0009,0001-0048-0145,0001-0096-0205,Average,Err
355.310,462.382,399.856,301.688,800.429,385.201,282.404,654.889,593.545,470.634,55.274
374.839,469.504,399.622,305.489,806.212,394.039,287.429,742.042,641.910,491.232,60.115
406.694,482.203,376.789,306.083,767.967,394.625,281.723,719.792,646.507,486.932,56.721
435.880,489.864,352.674,310.500,791.158,402.688,288.107,731.153,675.672,497.522,59.339
466.851,449.596,333.780,310.031,785.712,361.994,285.356,676.007,633.284,478.068,56.494
512.122,449.854,310.375,312.233,781.533,311.883,281.966,718.472,667.381,482.869,61.781
535.778,424.596,305.782,309.743,760.543,286.736,284.209,688.917,637.955,470.473,59.596
553.613,398.538,311.991,311.456,789.527,283.096,281.638,729.653,636.672,477.354,63.773
572.066,347.447,319.171,312.250,736.310,276.396,286.514,753.903,615.978,468.893,62.563
590.873,324.680,322.721,310.827,819.755,282.456,277.037,799.354,671.627,488.815,72.302
593.361,337.196,327.420,307.468,785.120,292.318,279.362,706.743,659.022,476.446,64.618
604.187,339.784,330.551,307.349,765.277,290.721,285.698,685.465,631.746,471.198,61.537
607.819,340.630,352.964,305.867,814.609,316.255,285.715,735.194,662.269,491.258,66.291
614.793,357.935,369.004,306.653,762.364,325.508,279.234,679.979,699.985,488.384,61.573
611.393,371.042,387.171,303.003,794.533,343.868,277.011,740.042,675.515,500.397,63.814
619.058,397.347,395.387,310.337,759.364,358.426,286.500,710.979,653.403,498.978,58.008
602.621,406.891,403.638,305.238,796.196,376.468,283.989,697.819,633.746,500.734,58.064
566.626,428.988,412.346,307.996,786.576,374.667,285.288,674.264,678.134,501.654,56.660
545.935,449.246,396.222,306.230,826.038,372.874,286.155,739.875,644.134,507.412,60.758
485.122,448.784,396.245,306.843,798.940,378.072,290.282,715.972,622.754,493.668,56.708
419.748,466.643,393.593,315.167,772.973,383.231,291.740,688.396,638.060,485.506,54.117
379.434,460.588,416.306,315.167,763.473,412.300,289.802,721.972,636.776,488.424,55.033
368.542,472.447,399.658,314.988,770.668,411.057,302.418,720.861,611.328,485.774,54.648
374.604,467.819,387.515,324.344,748.826,392.012,311.073,697.993,542.187,471.819,50.107
402.883,475.506,382.870,316.712,793.929,412.468,309.941,693.049,566.381,483.749,52.918
415.310,463.529,367.503,310.963,788.402,410.030,308.379,721.972,538.067,480.462,54.099
466.979,464.439,339.398,315.634,747.799,402.024,317.746,740.361,566.030,484.490,52.860
493.600,454.191,307.065,313.329,773.815,404.790,309.780,743.396,577.045,486.334,56.430
527.511,452.851,301.744,309.735,800.772,412.354,297.718,709.889,552.433,485.001,56.909
544.043,423.926,307.804,317.221,802.000,400.724,293.353,707.264,632.582,492.102,58.984
578.187,384.968,321.888,310.207,804.147,357.844,292.859,723.708,603.903,486.412,61.050
589.569,358.156,314.173,312.194,797.859,310.784,275.466,755.194,619.358,481.417,65.654
601.756,322.821,327.308,312.371,806.636,287.742,271.534,716.507,640.530,476.356,66.634
615.989,333.154,336.231,308.403,803.772,291.523,269.240,699.208,653.037,478.951,66.009
613.789,335.871,354.418,310.230,804.473,285.589,267.121,739.632,654.806,485.103,67.531
