0190-0041,0179-0010,0059-0145,0001-0200-0106,0109-0122,0137-0169,0205-0007,0245-0190,0237-0213,0243-0240,0219-0241,0186-0239,0052-0008,0023-0120,Average,Err
797.307,379.061,495.396,410.168,402.818,448.335,363.172,333.779,487.399,401.317,416.210,342.929,360.667,343.278,427.274,30.396
856.855,386.332,505.049,447.939,413.944,461.694,318.619,345.353,506.107,404.774,414.011,348.467,372.634,346.838,437.758,34.523
968.801,373.641,495.330,440.758,389.104,440.608,352.754,330.376,458.152,387.483,413.220,344.062,361.957,335.477,435.123,41.589
1115.645,367.118,497.288,453.869,397.177,454.751,338.410,334.897,438.871,396.451,429.032,351.121,369.403,345.221,449.232,51.080
1210.034,359.947,490.026,427.172,390.468,451.196,359.075,322.388,449.854,397.693,401.070,348.367,397.210,337.280,452.984,57.446
1194.628,381.279,480.828,423.832,394.251,457.287,350.948,334.721,448.337,404.035,427.118,338.043,375.710,346.180,454.085,56.167
1123.446,374.031,472.240,441.119,412.000,447.254,325.933,337.842,446.680,406.818,414.570,341.907,369.027,344.456,446.952,51.591
1074.270,379.500,469.648,436.930,400.970,439.354,355.590,332.207,455.376,402.099,419.430,338.406,388.640,352.137,446.040,47.883
986.886,369.557,448.975,424.189,384.983,444.258,350.201,322.339,442.112,404.029,399.376,346.155,382.468,339.068,431.757,42.476
923.026,380.160,441.945,428.922,400.827,457.163,329.821,333.330,430.888,405.765,420.210,341.249,377.522,343.774,429.614,38.160
918.358,375.721,449.881,418.311,393.714,453.990,340.336,332.336,472.191,403.885,409.392,334.949,388.704,337.746,430.680,38.037
834.770,357.653,441.077,406.701,387.329,435.330,334.396,321.971,412.140,405.778,405.941,338.073,376.828,341.365,414.239,32.697
793.511,380.443,446.257,413.385,399.558,451.646,322.716,327.842,466.545,403.461,430.586,337.963,407.860,343.950,423.266,29.987
725.153,389.107,447.905,422.824,395.242,433.048,360.306,335.523,442.039,404.922,383.613,347.822,404.237,342.806,416.753,24.707
670.599,377.939,443.374,411.607,383.961,403.727,326.396,327.537,416.629,396.441,412.677,344.365,388.634,347.488,403.670,21.772
661.608,368.912,444.131,446.143,380.381,450.129,338.575,331.080,465.045,412.540,438.038,354.907,417.548,351.553,418.614,21.497
644.608,368.031,443.541,425.119,374.879,456.100,349.515,340.379,442.618,408.903,431.866,347.735,403.156,341.978,412.745,20.204
590.543,384.679,453.057,416.189,379.238,454.268,337.791,316.793,439.225,409.256,405.919,344.916,403.699,351.028,406.186,17.548
595.741,376.550,440.792,429.701,385.874,463.684,337.888,337.175,452.803,392.497,413.419,342.279,397.565,350.103,408.291,17.694
619.707,376.195,441.852,422.484,405.476,464.459,342.463,324.198,458.596,398.553,445.457,345.721,390.860,340.618,412.617,19.452
633.594,376.523,448.570,411.033,391.987,431.612,356.261,325.770,474.517,405.380,418.038,349.983,383.543,346.628,410.960,19.683
652.537,376.229,442.493,398.713,412.485,442.301,341.903,326.664,437.388,399.467,389.516,351.921,408.484,348.951,409.218,20.473
675.207,361.210,438.351,437.197,386.978,455.129,347.433,330.897,471.404,398.585,400.070,337.297,412.785,338.702,413.660,22.721
