0234-0127,0127-0162,0168-0167,0157-0158,0144-0148,0141-0228,0129-0220,0117-0222,0142-0188,0226-0056,0202-0085,0214-0074,0191-0097,0186-0111,0211-0119,0243-0095,0185-0069,0202-0062,0209-0035,0176-0038,0166-0030,0184-0005,0116-0071,0170-0075,0162-0060,0231-0251,0237-0196,0208-0190,0211-0150,0111-0097,0101-0107,0063-0052,0086-0095,0078-0077,0100-0022,0117-0026,0095-0198,0059-0192,0058-0160,0019-0175,0033-0156,0033-0118,0011-0082,0187-0141,0161-0120,Average,Err
361.649,853.368,312.480,338.213,330.442,355.328,391.680,288.319,346.560,351.838,304.467,306.100,336.772,362.205,462.618,881.270,447.096,313.628,280.662,311.195,286.887,261.703,342.896,347.870,322.575,255.958,306.429,323.320,348.619,362.885,520.913,279.332,363.549,304.176,283.571,271.477,332.409,338.917,324.316,293.004,263.079,401.798,288.910,332.453,350.241,356.515,18.126
351.953,861.281,311.784,335.787,320.912,336.814,392.840,284.587,341.711,337.842,344.412,322.146,325.222,398.113,473.946,785.237,362.787,317.740,274.085,340.950,298.174,240.642,345.641,336.122,317.862,260.620,475.367,338.180,356.811,330.328,658.574,285.686,329.990,304.108,304.048,295.093,329.786,336.592,313.884,302.468,268.654,335.080,286.353,357.816,357.791,359.685,17.835
342.223,880.044,311.612,332.817,334.769,340.900,373.310,277.174,341.686,331.821,309.528,356.054,314.333,380.397,406.780,748.839,324.890,283.158,274.979,328.809,295.303,259.855,341.398,328.919,312.144,262.134,560.621,379.213,357.318,326.131,755.930,286.165,343.784,310.062,300.000,278.134,334.269,326.729,296.452,315.919,260.539,320.110,304.092,336.080,343.395,358.418,18.913
345.381,844.509,307.260,329.677,326.000,340.334,394.090,290.935,348.415,334.036,323.588,334.738,327.064,387.318,424.403,715.758,345.566,311.796,279.951,327.091,285.492,254.303,329.922,339.951,307.988,265.176,519.763,382.980,349.003,364.508,784.122,291.932,340.941,382.994,298.611,278.349,334.561,343.617,331.755,295.191,252.906,285.638,292.389,345.719,376.945,361.615,18.205
348.354,823.798,319.533,308.287,341.585,343.879,397.000,314.058,353.358,323.964,328.246,320.323,320.041,381.656,411.634,697.701,344.551,289.980,271.775,317.795,300.928,256.352,330.633,356.618,313.437,265.148,498.142,719.120,362.321,318.074,702.017,281.621,350.490,524.392,296.563,314.593,335.293,343.140,307.206,305.824,253.702,287.699,314.717,337.046,369.576,368.937,18.799
371.806,808.342,306.304,355.902,328.190,341.876,369.830,289.138,331.572,344.510,349.080,312.723,318.567,348.053,596.699,611.806,334.338,315.816,298.134,315.391,319.810,255.442,343.665,346.179,318.461,278.127,418.671,730.807,339.086,349.074,667.791,281.851,365.892,545.767,301.913,284.669,324.069,344.681,306.800,299.367,266.895,278.031,360.023,340.513,493.765,373.543,18.385
362.850,853.763,341.590,332.732,331.810,341.303,384.480,279.022,335.931,352.302,325.372,327.069,319.673,338.225,934.032,616.009,318.669,307.219,317.958,322.109,278.810,249.655,332.831,326.667,338.958,264.570,357.817,583.893,344.505,315.533,667.296,286.411,359.549,463.483,328.278,302.977,331.944,344.633,289.813,295.245,258.304,274.117,386.940,318.354,575.465,375.959,21.356
362.201,730.465,344.035,331.006,287.272,334.934,382.010,301.304,359.805,337.852,321.362,322.177,313.953,376.523,917.414,558.455,320.934,301.908,281.754,333.832,277.379,265.370,321.402,374.146,315.814,248.070,334.092,468.633,354.896,334.934,609.861,275.126,319.667,322.159,283.762,608.895,324.002,335.429,322.735,298.874,272.110,306.589,337.482,345.085,581.331,370.156,19.424
354.253,799.175,320.352,325.122,332.741,362.479,391.450,298.377,339.516,329.736,297.648,323.900,340.661,351.675,805.699,525.791,320.860,299.954,265.239,343.168,299.903,254.194,336.241,324.650,318.665,257.063,289.567,358.653,337.285,330.426,614.296,279.348,332.529,308.750,309.452,685.744,329.016,336.010,313.800,301.390,265.288,281.080,330.730,326.835,542.279,364.244,18.907
350.224,732.175,316.436,344.841,317.204,343.734,386.610,294.290,351.132,325.856,350.658,343.938,333.187,364.815,868.597,516.607,344.213,300.459,289.746,316.973,319.344,259.558,324.262,341.512,334.317,260.282,284.988,347.067,346.482,373.385,543.061,283.385,348.843,304.443,292.619,685.000,334.551,329.965,278.245,302.250,257.770,299.902,321.154,333.320,471.599,363.756,18.142
