0204-0044,0252-0006,0133-0061,0115-0072,0184-0024,0238-0072,0225-0077,0230-0067,0208-0072,0200-0063,0195-0102,0189-0091,0153-0095,0164-0072,0122-0057,0173-0115,0222-0208,0238-0208,0223-0182,0214-0176,0207-0166,0200-0179,0193-0154,0239-0137,0194-0119,0204-0126,0212-0129,0249-0107,0245-0182,0228-0114,0229-0105,0218-0095,0118-0157,0172-0180,0238-0250,0077-0105,0077-0063,0081-0053,0086-0028,0053-0050,0129-0145,0120-0132,0108-0117,0090-0123,0075-0144,0048-0153,0050-0132,0027-0123,0015-0101,0018-0076,0013-0133,0048-0211,0007-0249,0017-0243,0048-0199,0078-0177,0073-0193,0109-0225,0126-0223,0148-0237,0161-0238,0141-0193,0162-0169,0170-0163,0192-0201,0187-0207,0196-0216,Average,Err
472.072,1258.450,311.561,1322.103,460.415,753.842,316.716,380.676,543.354,530.205,484.284,730.062,896.000,856.041,1101.367,2619.253,1344.803,931.238,895.529,728.488,530.239,793.760,608.602,625.387,480.463,431.060,564.914,449.387,729.094,486.302,565.238,532.914,1117.501,733.827,939.944,1066.510,607.075,370.478,333.295,1913.700,1190.622,1012.267,574.380,675.845,979.312,1889.000,845.850,1136.849,1092.087,640.134,2088.582,923.507,720.762,677.718,855.333,450.184,441.470,1492.715,894.321,612.853,664.078,706.446,1361.620,833.974,1070.580,981.855,658.372,840.102,52.869
478.585,1392.700,316.915,1339.819,475.390,789.754,314.932,360.972,523.906,541.636,496.689,730.250,914.417,921.836,1169.883,2662.831,1364.848,940.130,915.294,691.598,535.423,874.306,612.431,615.901,488.417,405.923,549.290,447.647,707.985,479.190,640.123,513.802,1126.254,756.011,985.653,1094.315,613.005,391.116,322.300,2018.788,1219.530,1083.209,619.761,690.198,1039.130,1955.158,841.971,1126.922,1124.643,625.852,2097.083,1040.986,724.262,718.496,858.576,452.043,444.995,1527.715,819.366,611.126,652.265,716.826,1401.667,877.526,1109.928,1027.327,684.058,859.864,54.886
498.316,1300.600,313.968,1328.043,492.065,777.766,315.419,354.873,522.717,546.625,533.122,695.208,915.573,835.096,1144.017,2666.988,1373.348,948.505,957.319,675.439,562.042,798.339,610.415,684.288,445.815,411.667,589.065,456.753,676.714,476.341,597.915,540.074,1176.924,722.251,978.532,1059.675,599.560,398.522,328.505,1971.256,1196.011,1014.105,604.163,702.233,1032.208,1948.447,814.578,1123.860,1181.159,628.979,2176.330,912.812,733.988,725.733,824.621,455.292,467.628,1532.856,900.964,623.147,649.069,688.935,1385.784,819.250,1131.167,1091.582,697.423,855.851,54.711
479.146,1251.675,299.261,1303.224,466.447,760.743,361.365,340.789,510.819,532.114,526.568,693.688,947.853,841.753,1089.700,2648.834,1309.142,957.076,966.941,739.756,566.845,838.372,634.585,690.153,479.361,414.744,534.774,455.733,728.688,486.913,560.985,490.160,1117.291,747.380,946.000,1031.752,601.290,386.942,327.595,1943.892,1146.049,1045.395,615.065,658.388,995.026,1944.809,798.393,1112.709,1165.135,651.691,2174.429,963.000,708.714,744.290,777.061,425.395,439.601,1522.969,840.518,584.274,614.088,699.342,1371.754,847.147,1073.181,989.418,724.920,845.420,53.975
478.509,1228.862,298.579,1283.155,434.244,762.380,343.730,353.310,512.740,554.182,481.676,688.250,882.327,838.370,1157.883,2639.846,1290.842,939.599,952.042,700.085,530.380,819.793,644.634,708.793,480.722,414.641,523.839,445.987,676.195,502.119,554.508,491.827,1128.295,714.017,864.540,1037.389,589.185,388.942,315.285,1914.394,1165.551,1047.128,602.609,681.397,1051.558,1919.428,745.320,1116.682,1149.524,629.124,2121.813,951.087,723.583,709.328,836.985,454.232,449.907,1494.727,833.366,602.674,658.941,715.245,1362.480,895.705,1037.768,1021.055,677.000,839.109,53.418
512.188,1215.713,300.745,1295.793,474.854,733.199,343.270,357.831,562.882,559.955,535.095,708.562,916.810,834.959,1130.233,2647.858,1343.985,992.173,912.580,689.622,555.535,818.355,617.154,736.162,485.537,388.162,567.290,471.960,718.711,481.897,590.038,520.309,1144.297,695.279,593.194,1033.111,594.705,384.710,317.645,1925.163,1198.086,1051.035,640.380,665.328,1028.545,1898.395,749.427,1171.352,1111.238,685.997,2170.127,933.652,758.298,723.771,838.333,455.389,442.120,1470.414,850.688,622.000,619.647,702.109,1380.678,826.455,1020.362,957.673,638.985,840.567,53.460
524.128,1303.200,295.914,1290.776,464.333,733.263,342.162,369.310,548.197,557.614,505.878,734.906,898.749,781.219,1091.167,2601.267,1332.045,972.329,937.538,683.134,531.324,815.504,639.837,726.784,476.306,422.966,590.871,472.360,736.226,481.984,620.477,500.864,1164.346,707.598,458.056,1082.446,587.155,352.101,330.495,1910.005,1150.865,1043.953,598.902,678.500,964.286,1968.283,725.160,1110.531,1154.889,638.821,2184.353,1029.261,757.905,700.229,891.712,440.081,464.678,1529.059,871.652,605.821,621.167,687.658,1355.140,881.494,1106.087,1030.818,672.350,842.366,54.001
499.316,1317.650,305.745,1321.733,483.130,754.883,344.973,394.521,549.008,576.511,509.432,739.917,935.801,829.493,1144.683,2686.465,1358.691,950.729,998.101,685.902,553.042,822.182,605.065,712.946,468.343,432.291,562.699,467.400,708.425,484.754,590.192,501.148,1156.224,766.039,426.242,1112.328,602.585,359.565,319.985,1971.547,1181.995,1108.012,611.511,692.397,992.039,1977.533,720.432,1124.883,1178.397,641.498,2182.327,1015.551,801.476,725.076,830.485,440.530,482.426,1506.499,823.277,611.442,665.549,685.201,1377.936,866.455,1105.580,1027.273,684.759,851.794,55.172
519.067,1301.188,306.914,1390.319,462.650,761.199,359.689,394.366,524.118,537.852,523.743,707.052,902.076,813.726,1096.967,2682.590,1383.185,987.354,948.597,666.683,598.028,861.174,634.675,791.955,481.093,411.812,549.860,454.980,671.929,459.595,600.669,537.074,1179.849,743.603,418.089,1083.580,594.515,379.319,333.460,1935.611,1190.703,1097.035,568.859,710.034,963.727,2012.145,764.675,1157.089,1108.262,647.546,2220.862,1029.391,747.405,767.924,913.636,460.054,486.967,1554.603,820.116,643.621,652.716,712.755,1396.906,848.506,1147.022,977.273,684.117,854.838,55.493
513.025,1267.675,307.108,1287.741,466.244,732.064,373.203,413.577,531.228,512.977,473.365,698.396,897.972,902.589,1119.050,2627.666,1319.564,951.051,919.723,707.963,549.352,774.479,624.171,802.450,480.500,423.564,545.022,466.180,716.398,429.952,585.492,505.852,1139.709,732.704,436.782,1080.433,578.445,387.812,334.865,1940.606,1152.135,1069.930,600.283,619.784,989.078,1852.388,788.383,1100.849,1139.167,649.746,2174.745,991.217,735.167,704.115,916.182,448.627,463.224,1524.110,796.804,637.274,647.804,723.924,1375.602,853.462,1102.949,995.327,671.708,840.014,53.650
