0190-0041,0179-0010,0059-0145,0001-0200-0106,0109-0122,0137-0169,0205-0007,0245-0190,0237-0213,0243-0240,0219-0241,0186-0239,0052-0008,0023-0120,Average,Err
362.537,884.156,669.316,399.385,660.944,656.526,467.918,662.506,1068.725,781.726,890.618,686.607,543.505,866.854,685.809,51.826
352.452,838.595,675.119,385.082,671.433,662.627,468.851,664.813,1133.674,764.418,909.430,689.492,544.532,897.334,689.847,55.076
356.227,851.225,663.439,398.656,657.680,661.603,492.918,651.888,1113.685,774.130,902.817,694.079,504.140,875.741,685.588,53.728
351.599,890.599,665.404,386.549,646.948,635.144,478.679,659.172,1118.461,786.089,872.952,675.878,541.312,899.325,686.294,54.871
349.048,884.580,667.396,393.725,649.463,659.809,483.754,665.569,1118.225,790.558,870.608,686.997,534.226,900.157,689.580,54.522
364.767,868.687,673.521,390.787,653.186,653.880,468.097,649.595,1090.112,769.356,859.452,667.938,551.763,885.616,681.911,52.152
385.705,872.924,675.924,403.893,654.944,658.900,459.552,652.299,1100.466,774.494,894.839,660.721,547.339,873.552,686.825,52.352
395.173,876.653,664.113,406.176,634.788,660.531,478.306,669.466,1092.281,778.275,876.113,676.296,551.645,893.196,689.501,51.360
436.739,879.378,661.262,387.082,650.242,652.163,470.575,629.489,1094.820,776.367,885.677,682.046,546.027,870.165,687.288,51.020
441.960,890.122,671.692,393.164,663.225,660.986,463.037,668.902,1131.096,764.810,903.683,683.913,537.075,883.985,696.975,52.960
478.321,873.416,666.308,373.566,635.476,646.962,459.254,647.842,1084.860,770.800,895.543,674.693,532.968,883.055,687.362,50.797
510.443,867.821,660.306,377.324,685.784,658.239,476.873,667.092,1103.376,768.352,846.892,676.627,544.570,884.986,694.906,48.976
544.006,872.286,658.266,393.307,665.165,615.014,465.306,661.943,1085.343,762.787,873.000,676.615,537.269,899.575,693.563,48.625
560.727,881.855,661.972,387.967,635.658,634.081,462.739,668.106,1059.270,757.957,838.070,668.994,557.667,885.837,690.064,46.453
593.440,838.363,652.523,399.320,667.874,646.115,469.045,670.382,1090.955,772.986,830.317,669.656,518.710,863.411,691.650,46.069
620.045,883.424,659.334,409.381,648.619,649.837,481.776,673.825,1122.146,779.275,858.871,674.375,561.543,879.206,707.261,47.410
646.080,882.553,660.431,391.488,637.238,646.349,476.701,671.445,1091.011,784.844,904.005,677.166,539.027,885.945,706.735,48.052
629.267,872.969,680.492,396.115,658.771,645.177,465.216,645.509,1111.798,779.952,940.876,680.241,543.672,872.560,708.758,49.382
652.020,878.156,663.510,397.939,630.502,646.340,465.896,668.149,1117.466,778.865,903.290,668.875,540.247,860.756,705.144,48.652
655.145,871.893,660.040,393.148,665.346,654.010,487.455,623.638,1085.062,772.586,873.758,672.559,535.349,868.896,701.349,46.386
655.832,909.798,671.566,399.922,649.939,644.301,475.157,654.356,1064.326,787.938,861.586,675.392,532.806,867.275,703.585,46.181
675.020,868.206,662.744,400.295,653.485,636.986,466.888,650.273,1091.157,769.558,889.624,670.280,562.280,881.298,705.578,46.793
647.739,872.206,663.480,403.410,620.416,620.330,493.381,651.017,1107.601,769.039,909.478,661.241,540.242,869.035,702.044,47.904
630.031,892.111,661.291,404.348,602.892,653.670,465.358,643.282,1107.399,774.738,882.586,672.916,538.995,870.580,700.014,48.509
551.761,890.145,659.136,397.557,669.771,642.378,492.418,641.121,1108.764,775.630,888.780,676.932,533.339,860.108,699.131,48.678
473.986,880.431,660.845,391.500,643.312,662.593,480.455,643.276,1106.697,760.631,871.210,677.755,534.038,886.467,690.943,50.327
404.082,846.103,671.309,399.848,636.368,655.861,489.948,639.158,1074.713,790.137,909.151,703.348,535.387,889.843,688.947,50.878
362.134,849.775,666.379,394.000,642.424,661.258,447.731,640.063,1089.365,788.416,908.242,687.073,540.892,900.386,684.153,53.847
360.259,843.244,673.494,393.762,677.658,656.947,498.216,648.253,1118.180,785.344,909.694,695.437,562.866,894.101,694.104,53.372
342.369,869.004,671.854,384.697,643.823,633.861,475.291,645.408,1098.938,767.664,877.591,672.805,529.683,886.586,678.541,53.977
340.733,881.504,658.311,397.094,646.563,622.675,473.000,640.126,1078.258,785.575,870.301,687.834,546.876,888.035,679.778,53.073
360.423,876.034,661.004,380.758,651.325,629.225,480.075,628.198,1066.191,762.174,897.591,684.881,539.247,876.796,678.137,52.405
