0001-0037-0052,0001-0050-0100,0001-0103-0237,0001-0121-0090,0001-0157-0199,0001-0161-0179,0001-0192-0189,0001-0239-0174,0001-0188-0095,0001-0198-0156,Average,Err
1036.926,402.008,363.987,1289.275,361.733,302.033,999.154,445.251,866.639,591.699,665.870,105.712
986.331,418.724,375.672,1299.823,364.080,305.977,993.306,452.662,857.000,602.199,665.577,103.138
1010.082,441.842,367.305,1278.751,374.466,308.530,1042.442,457.044,866.928,615.736,676.313,103.600
1023.289,471.051,375.967,1253.000,365.622,307.997,1017.119,447.094,889.569,614.597,676.530,101.758
1009.195,482.337,378.125,1293.759,359.435,299.176,985.144,442.807,858.660,629.707,673.834,102.299
1037.448,495.781,376.065,1321.234,359.540,301.284,848.816,448.022,868.991,628.605,668.578,101.526
1036.110,518.668,371.347,1303.125,347.045,313.530,646.263,455.433,893.196,597.159,648.188,98.758
1048.303,525.291,373.104,1310.763,317.097,310.631,531.268,445.739,853.199,538.773,625.417,100.842
1008.833,527.618,370.476,1314.961,292.420,301.932,482.641,426.696,863.982,467.042,605.660,102.496
1010.363,539.475,377.967,1316.425,275.455,305.226,470.384,433.391,864.178,411.636,600.450,103.763
1005.635,545.567,368.990,1289.509,272.562,296.776,456.689,413.642,861.184,386.682,589.724,103.120
1012.544,553.404,376.025,1311.672,272.778,300.839,460.419,409.645,872.211,362.145,593.168,105.428
988.275,572.895,383.570,1304.654,265.051,301.628,441.273,399.800,888.578,353.527,589.925,105.089
1018.181,567.255,361.829,1280.183,282.341,296.374,426.530,408.481,858.404,343.626,584.320,104.174
1016.779,572.258,374.142,1269.155,281.398,299.696,430.268,390.439,840.370,339.301,581.381,102.954
1012.459,584.435,369.572,1288.913,290.631,298.741,422.240,392.681,844.256,347.438,585.137,103.940
1018.161,580.129,367.438,1263.483,292.051,302.799,434.836,395.340,848.864,338.591,584.169,102.452
973.864,587.732,354.395,1247.406,305.102,299.432,441.679,407.394,859.687,343.545,582.024,99.440
970.062,605.025,363.902,1280.454,301.815,294.543,446.396,411.495,878.364,355.316,590.737,101.665
1031.006,633.257,374.273,1307.621,307.480,303.477,461.265,413.493,859.518,362.718,605.411,104.376
1038.884,627.007,379.543,1301.519,313.665,297.568,480.144,416.650,868.012,375.605,609.860,103.765
1012.629,618.703,375.029,1286.517,318.773,307.910,515.141,408.561,858.717,392.564,609.454,100.492
1015.601,626.170,370.564,1259.353,313.827,293.219,541.417,408.002,851.105,403.932,608.319,98.889
974.833,643.462,372.088,1263.360,327.994,298.915,585.939,417.457,848.467,430.549,616.306,95.934
990.756,655.752,376.221,1291.411,328.906,298.668,655.689,420.420,868.133,444.641,633.060,98.421
986.082,639.500,385.825,1342.055,333.810,300.108,668.449,419.253,855.301,459.556,638.994,100.746
1020.116,643.503,384.528,1329.432,346.460,291.593,690.346,419.128,865.735,474.147,646.499,101.094
975.198,659.551,379.858,1278.590,338.855,294.759,712.215,423.418,886.587,479.693,642.872,96.780
999.289,623.603,376.451,1305.305,327.628,296.030,762.682,421.044,870.045,501.395,648.347,99.587
1003.269,592.109,363.843,1322.295,341.432,304.565,805.740,422.817,866.006,513.868,653.595,100.870
1037.938,580.235,378.933,1341.265,348.747,304.173,812.134,424.270,874.789,525.378,662.786,102.893
1043.054,520.144,379.685,1342.633,354.261,306.264,833.515,427.242,879.816,547.581,663.420,103.662
1019.108,467.542,376.470,1293.246,342.983,299.734,854.912,418.824,846.801,535.832,645.545,101.097
996.482,420.606,374.635,1295.623,346.335,297.771,882.364,432.737,863.759,565.494,647.581,101.763
1023.025,399.838,367.848,1311.263,350.082,298.608,889.614,418.336,874.407,564.126,649.715,104.921
1029.227,391.208,372.599,1305.051,355.821,304.274,904.174,418.375,839.901,571.820,649.245,104.083
1013.161,390.395,375.382,1326.283,361.082,304.327,960.977,428.961,873.614,599.677,663.386,106.364
1034.238,409.108,382.150,1331.328,365.145,304.347,996.169,427.766,884.181,606.700,674.113,107.813
1061.096,442.694,377.330,1331.898,353.889,302.482,984.619,441.386,881.057,601.914,677.837,107.852
1042.054,463.315,381.729,1348.099,353.946,304.822,1012.593,436.631,891.226,608.320,684.273,108.621
1041.762,473.230,375.390,1310.698,361.250,307.369,1026.263,436.927,842.837,632.025,680.775,105.472
1061.785,495.163,375.119,1323.002,360.088,304.678,988.442,426.874,859.943,623.791,681.888,106.031
1056.051,510.830,374.683,1359.154,361.719,306.450,1013.601,430.019,857.292,624.382,689.418,108.294
1044.643,514.592,379.413,1306.613,359.179,302.739,1034.606,438.614,892.117,634.625,690.714,105.759
1057.272,537.729,372.933,1306.886,359.614,302.090,1056.828,426.474,870.961,622.608,691.340,106.774
1038.190,534.085,383.787,1319.667,365.787,296.405,1068.760,447.352,863.542,592.970,691.054,106.662
1039.176,547.382,372.436,1352.778,360.983,298.392,1067.111,431.532,857.620,532.041,685.945,109.813
1038.040,563.949,380.459,1356.676,364.060,293.867,1067.551,431.696,869.554,473.315,683.917,110.839
1030.626,580.129,384.050,1351.708,367.091,305.309,1064.083,431.488,870.735,414.529,679.975,110.731
974.462,572.152,380.975,1330.300,368.159,301.683,1046.879,442.968,843.651,383.640,664.487,107.424
902.431,583.335,385.054,1334.939,375.344,301.967,1003.485,430.503,870.937,363.153,655.115,105.263
805.496,589.394,377.000,1319.942,360.509,302.319,870.025,437.084,838.705,359.561,626.003,98.175
748.666,588.822,377.409,1326.128,351.312,299.457,682.694,439.346,846.190,349.042,600.907,95.259
725.711,546.554,375.317,1307.565,323.892,292.229,574.687,434.768,821.512,348.369,575.060,93.534
734.433,522.353,367.299,1291.503,288.293,291.088,530.028,441.531,778.271,345.308,559.011,92.675
717.198,466.026,378.921,1277.527,278.565,296.379,510.854,435.804,811.675,351.679,552.463,92.406
780.159,440.987,379.441,1247.259,280.139,296.156,486.210,428.660,799.840,357.649,549.650,91.411
807.615,411.508,379.102,1211.976,281.989,291.538,473.409,422.609,782.846,357.243,541.984,89.690
794.547,398.609,376.495,1179.029,273.699,290.902,473.439,420.389,799.732,381.551,538.839,87.415
832.229,403.129,365.449,1156.208,284.048,287.178,444.083,400.123,795.145,386.433,535.403,87.234
831.731,408.784,375.040,1120.543,283.452,282.834,454.725,387.857,814.500,397.472,535.694,85.113
829.127,429.227,376.171,1082.956,290.389,281.349,448.500,374.370,813.500,412.225,533.781,82.052
846.966,441.268,374.647,1056.213,294.384,280.176,460.907,373.857,857.732,444.814,543.096,81.817
872.841,476.953,372.013,1008.333,301.162,288.982,467.222,367.358,830.139,454.077,543.908,78.031
861.351,479.922,377.942,1026.034,302.991,278.467,487.657,371.427,833.392,475.551,549.473,78.386
866.266,492.430,375.029,1009.515,312.702,291.500,513.439,373.782,853.160,480.058,556.788,77.264
908.161,512.389,375.334,1006.662,325.188,286.173,538.346,386.901,822.651,498.675,566.048,76.813
912.051,516.003,376.000,971.701,315.580,293.857,581.081,392.125,837.997,514.971,571.137,75.266
902.314,518.098,372.017,942.227,326.938,291.324,625.129,393.478,837.726,512.910,572.216,73.260
910.756,516.742,369.165,927.193,331.401,290.872,663.851,394.584,867.157,532.524,580.424,74.156
889.368,524.474,365.046,910.833,331.548,288.078,692.919,397.403,809.596,539.626,574.889,70.822
883.419,541.118,369.307,915.657,338.457,296.666,737.843,394.753,835.358,552.168,586.475,71.697
879.433,540.165,354.532,923.596,349.031,296.623,806.071,411.432,863.605,562.620,598.711,74.199
842.496,550.000,329.562,911.140,348.332,294.312,809.790,399.980,856.581,558.970,590.116,73.389
800.870,541.291,313.109,892.838,346.497,293.663,823.919,416.995,838.090,556.626,582.390,71.348
