0204-0044,0252-0006,0133-0061,0115-0072,0184-0024,0238-0072,0225-0077,0230-0067,0208-0072,0200-0063,0195-0102,0189-0091,0153-0095,0164-0072,0122-0057,0173-0115,0222-0208,0238-0208,0223-0182,0214-0176,0207-0166,0200-0179,0193-0154,0239-0137,0194-0119,0204-0126,0212-0129,0249-0107,0245-0182,0228-0114,0229-0105,0218-0095,0118-0157,0172-0180,0238-0250,0077-0105,0077-0063,0081-0053,0086-0028,0053-0050,0129-0145,0120-0132,0108-0117,0090-0123,0075-0144,0048-0153,0050-0132,0027-0123,0015-0101,0018-0076,0013-0133,0048-0211,0007-0249,0017-0243,0048-0199,0078-0177,0073-0193,0109-0225,0126-0223,0148-0237,0161-0238,0141-0193,0162-0169,0170-0163,0192-0201,0187-0207,0196-0216,Average,Err
323.074,453.300,762.246,422.888,353.057,300.234,561.149,677.085,352.370,397.898,338.270,401.052,1035.678,328.740,480.217,448.035,357.664,336.823,457.319,418.268,375.761,356.107,374.488,907.243,323.000,307.376,390.903,309.033,521.940,361.921,288.754,367.617,387.783,503.899,627.202,302.768,348.200,327.710,360.925,443.877,344.032,445.651,365.804,380.095,404.545,354.118,374.898,303.240,471.349,388.533,409.504,395.797,401.988,349.336,441.985,457.741,395.989,446.485,410.955,330.895,343.608,464.571,419.673,350.949,397.565,411.745,325.620,417.590,15.791
308.741,499.325,743.180,456.750,344.577,310.462,544.054,583.972,372.205,375.909,332.635,374.156,900.393,313.699,478.150,475.235,362.518,306.935,442.345,468.134,374.437,369.289,381.626,885.225,302.102,311.197,375.258,329.827,497.549,335.524,310.708,355.432,393.444,470.061,626.137,310.255,363.200,330.478,383.915,461.424,347.930,477.977,374.511,350.207,484.532,377.276,392.956,328.933,415.508,393.289,405.421,377.812,469.095,388.313,425.030,459.822,398.464,445.617,397.911,327.263,338.873,485.592,397.696,355.141,383.848,440.636,328.949,416.852,14.151
314.714,461.462,744.660,402.155,311.911,329.567,460.743,584.577,343.646,391.227,323.027,400.740,811.512,339.644,490.833,455.038,345.694,335.661,415.966,419.585,421.507,359.496,380.748,789.928,313.815,311.444,406.258,323.580,516.808,321.111,307.385,372.790,385.435,443.939,652.742,325.188,349.965,337.000,349.735,429.232,355.303,414.233,353.565,381.198,483.675,401.217,417.738,329.134,427.722,402.282,435.753,428.565,473.643,388.817,440.015,461.514,401.738,451.392,402.250,353.053,368.422,470.859,415.573,369.628,381.464,402.109,310.599,413.462,12.549
303.380,473.850,719.915,368.940,322.642,314.725,416.054,469.915,354.913,362.011,302.378,372.927,686.389,319.836,495.167,447.000,349.861,354.148,442.059,422.549,382.282,351.603,380.667,710.982,296.880,326.444,510.183,313.560,490.594,309.849,343.100,349.321,405.664,432.536,633.968,323.156,335.285,349.217,348.595,455.320,379.735,460.209,344.185,334.190,423.208,375.191,344.437,298.659,408.563,393.931,401.699,410.145,435.893,366.710,373.182,438.503,406.071,445.166,386.062,333.084,352.510,455.788,419.105,352.699,397.739,417.618,331.650,400.504,10.959
307.857,509.113,687.669,360.931,305.000,301.322,346.919,472.986,352.866,368.943,342.703,370.542,479.825,337.726,480.017,452.834,348.109,342.812,404.723,397.598,429.535,377.992,387.650,700.946,290.852,336.248,421.828,330.880,486.714,317.952,313.231,349.963,398.934,481.905,643.427,305.430,341.800,315.913,331.725,406.611,357.957,467.709,338.891,354.750,410.545,313.757,376.850,309.581,441.897,385.278,431.842,425.522,395.429,364.305,383.015,434.292,380.290,464.679,416.161,367.011,328.549,452.049,419.181,373.064,399.442,418.855,314.234,395.002,9.986
326.738,503.725,643.574,366.750,292.927,325.561,363.946,387.127,317.795,386.920,367.122,407.292,407.090,359.192,439.550,472.692,358.600,351.816,454.235,392.890,448.873,350.769,394.732,648.550,321.380,298.419,404.473,324.327,495.966,325.254,313.208,352.469,406.002,423.620,622.266,302.299,363.655,343.449,332.960,401.823,367.784,521.372,346.826,338.905,444.701,355.770,407.092,320.838,417.206,406.148,427.951,429.870,402.798,358.802,390.500,430.249,404.219,500.256,440.259,323.789,332.510,431.402,388.918,365.577,410.674,418.182,344.109,395.922,9.015
313.780,462.400,600.646,368.922,298.455,297.257,372.865,359.704,323.843,436.830,342.270,399.292,363.498,288.466,413.867,449.128,336.767,339.755,442.672,447.695,449.451,371.033,378.537,559.559,302.130,310.573,408.806,316.553,474.523,311.143,301.292,318.716,414.796,464.737,644.782,303.159,348.445,335.362,359.480,388.808,381.238,481.837,335.261,361.776,456.584,377.099,398.282,352.553,449.849,389.904,427.442,386.507,372.167,375.374,461.924,439.432,389.973,473.369,426.241,353.032,339.049,418.130,446.789,353.474,435.703,472.545,321.766,392.497,8.638
309.635,463.750,618.576,372.405,336.268,309.719,329.365,388.380,341.717,349.091,318.473,341.979,323.370,310.616,435.650,451.953,354.727,338.650,436.286,490.585,365.282,336.273,347.821,459.883,303.852,302.299,375.161,328.727,493.955,316.325,308.731,332.642,409.027,454.291,641.073,301.844,381.415,341.449,328.625,433.271,369.281,491.140,347.543,363.138,410.351,380.072,394.214,371.547,425.452,423.842,416.070,423.768,337.988,353.573,411.561,444.865,410.536,454.085,436.759,332.411,358.490,427.538,425.088,367.442,486.101,383.855,330.796,387.472,8.347
304.494,453.488,603.025,408.879,313.480,320.018,341.338,387.732,358.024,354.068,322.257,389.448,336.085,328.932,434.667,448.378,340.012,341.412,433.403,463.390,403.662,346.595,390.089,476.973,307.778,329.581,398.452,289.287,470.485,337.175,291.185,347.593,434.101,464.732,633.911,317.204,377.020,341.797,360.970,408.906,358.692,461.430,392.130,344.802,411.805,369.191,408.073,432.682,446.563,390.584,415.434,437.710,374.857,402.740,404.561,407.973,392.858,487.070,417.732,344.326,358.873,436.859,467.596,355.353,460.754,431.964,342.562,393.510,7.862
314.452,437.163,604.072,392.371,305.195,315.959,315.757,398.535,389.575,378.568,327.459,338.323,361.758,344.521,402.133,441.698,346.624,329.188,417.697,492.256,373.690,362.198,380.772,430.441,292.944,301.538,349.333,311.360,462.538,300.540,286.277,380.654,429.508,480.358,709.290,316.815,364.905,390.899,331.220,401.818,389.324,456.907,355.000,353.716,432.805,369.303,407.990,430.732,418.119,415.364,436.538,411.304,399.810,407.382,423.136,434.314,396.000,480.400,376.821,355.126,334.500,417.690,420.614,368.923,437.558,411.273,348.314,391.035,8.342
