0001-0150-0218,0001-0081-0091,0001-0173-0157,0001-0145-0133,0001-0153-0130,0002-0119-0167,0002-0192-0036,Average,Err
367.594,406.268,445.600,442.538,323.416,559.913,430.782,425.159,25.925
365.634,402.043,446.344,446.350,308.831,546.431,347.030,408.952,27.657
368.291,399.826,456.875,446.938,326.831,544.950,320.683,409.199,28.033
363.470,397.123,475.812,461.375,296.213,548.138,315.545,408.240,32.018
369.421,401.326,443.719,481.688,317.933,558.644,307.208,411.420,31.662
356.147,408.645,478.137,449.363,295.270,530.775,333.040,407.339,29.526
357.989,393.181,450.150,481.337,337.022,546.925,314.713,411.617,29.563
362.844,400.254,442.194,454.337,312.562,501.462,489.802,423.351,24.033
366.743,415.652,468.825,475.825,306.618,550.188,617.030,457.269,37.049
367.880,436.428,451.669,473.525,323.303,523.087,482.881,436.968,24.231
361.289,408.370,462.031,484.600,321.000,531.756,372.158,420.172,26.381
375.363,417.304,459.506,453.325,335.236,523.775,352.208,416.674,23.536
364.638,380.435,472.119,450.188,310.584,550.725,291.099,402.827,32.536
361.734,405.855,470.012,447.163,330.539,523.062,288.911,403.897,28.866
372.525,438.188,461.669,454.163,298.438,533.500,316.842,410.761,29.689
355.613,404.355,422.825,450.825,316.292,524.694,322.960,399.652,26.180
360.976,397.978,452.156,425.587,329.854,525.550,317.653,401.394,25.695
363.238,423.862,457.456,433.663,309.011,538.763,384.782,415.825,25.701
357.844,405.783,482.944,477.062,304.258,530.325,597.851,450.867,35.517
362.640,386.964,449.494,407.700,317.270,536.487,507.020,423.939,27.475
364.612,412.754,461.231,464.325,319.056,553.650,400.584,425.173,26.736
353.933,421.196,455.087,450.038,274.820,517.675,343.881,402.376,28.833
363.060,394.565,473.144,434.363,335.494,529.756,338.307,409.813,25.577
369.606,406.442,443.550,438.562,309.506,542.406,345.614,407.955,26.853
362.109,388.797,457.387,458.350,305.607,494.631,288.970,393.693,27.912
350.831,394.949,429.550,449.512,315.719,517.169,353.931,401.666,24.203
362.236,385.775,422.244,435.275,298.742,490.637,393.733,398.377,21.120
356.948,378.862,431.544,447.500,302.011,506.438,482.653,415.137,25.439
355.320,381.051,423.650,435.575,335.674,528.931,438.723,414.132,22.607
356.442,379.558,445.356,427.887,338.169,521.375,409.921,411.244,21.627
369.062,387.848,445.650,466.050,310.809,528.075,362.465,409.994,25.801
358.764,408.268,444.281,425.212,302.888,493.781,406.426,405.660,21.385
360.068,400.572,447.969,438.188,293.337,506.913,455.990,414.719,24.653
361.095,418.609,432.631,439.300,292.809,498.194,461.792,414.919,23.845
367.293,427.130,441.894,464.212,302.225,509.650,363.416,410.831,24.655
356.611,401.529,417.906,411.375,291.989,469.225,353.891,386.075,19.981
358.801,396.500,423.087,447.350,317.978,532.388,321.168,399.610,26.708
355.490,402.667,418.725,450.975,316.652,522.562,338.545,400.802,25.022
365.618,372.775,418.094,444.400,301.629,542.244,353.911,399.810,27.201
362.608,402.420,446.231,454.600,313.416,546.263,429.822,422.194,25.894
356.431,403.188,460.750,456.363,331.989,509.975,557.980,439.525,28.399
354.446,393.174,442.419,444.225,304.775,545.994,464.644,421.382,27.567
366.701,399.196,450.812,439.988,310.607,517.913,341.208,403.775,24.966
358.870,400.043,427.894,442.087,319.449,497.750,325.109,395.886,22.935
357.589,397.478,424.125,431.387,297.146,516.275,313.030,391.004,26.522
360.777,405.210,436.581,449.062,299.315,526.775,299.871,396.799,29.093
355.553,395.290,416.038,479.325,312.640,516.231,349.307,403.483,25.624
364.220,437.674,435.288,457.212,300.562,512.381,491.436,428.396,25.735
360.047,400.029,431.900,456.413,305.607,519.188,594.822,438.286,33.989
361.309,382.370,436.619,411.050,300.596,492.519,430.624,402.155,21.484
362.370,412.014,425.212,432.675,280.607,506.269,361.624,397.253,24.839
353.771,398.239,423.025,454.312,313.854,545.306,328.584,402.442,28.289
373.770,425.283,420.419,452.212,308.494,520.481,313.376,402.005,26.663
357.156,390.043,433.462,490.950,313.989,531.106,306.208,403.274,30.181
361.086,408.428,440.194,426.225,309.966,522.244,313.069,397.316,26.513
351.231,411.920,423.038,443.325,281.056,505.312,330.208,392.299,26.582
363.804,389.790,419.206,437.212,298.596,513.744,493.743,416.585,26.050
358.405,395.841,434.044,458.150,343.169,524.806,551.762,438.025,27.850
354.435,391.283,444.538,413.600,320.876,500.650,449.941,410.760,21.379
362.247,382.949,402.262,426.837,303.955,504.438,354.465,391.022,22.169
358.292,388.362,431.550,428.788,317.663,518.250,311.941,393.549,25.525
359.111,411.558,441.413,444.962,305.236,512.519,315.554,398.622,26.458
348.038,364.667,401.231,438.600,300.056,498.363,317.069,381.146,24.534
357.231,388.138,409.981,439.863,306.607,514.737,299.119,387.954,26.614
356.850,385.420,418.719,456.913,286.652,519.006,347.792,395.907,26.834
356.888,401.971,439.719,412.850,303.899,536.956,375.792,404.011,25.583
359.147,411.681,420.038,446.750,303.292,515.263,563.277,431.350,30.908
357.243,386.181,430.981,410.438,304.708,502.131,526.614,416.899,27.342
340.435,386.630,407.981,433.775,303.978,492.494,406.327,395.946,21.491
353.881,413.203,417.212,439.750,319.787,531.087,356.376,404.471,24.561
355.857,379.623,425.181,442.262,291.573,511.144,322.307,389.707,26.414
351.023,391.797,425.294,420.913,292.000,525.125,315.980,388.876,27.500
361.277,362.696,408.550,404.462,297.079,491.019,332.901,379.712,21.891
359.284,394.428,413.425,461.137,322.360,509.631,332.446,398.959,23.994
357.735,415.928,415.300,457.613,307.382,549.062,315.198,402.602,29.807
351.400,382.036,412.219,462.575,302.966,514.600,343.762,395.651,25.686
359.278,393.514,436.950,387.863,281.393,516.731,567.911,420.520,33.852
364.267,394.036,422.606,457.250,310.236,481.775,482.356,416.075,22.506
351.643,378.493,407.569,431.438,286.483,484.125,391.386,390.162,21.762
351.826,381.942,421.444,446.525,272.831,521.375,330.673,389.517,28.647
347.462,390.645,438.163,437.738,294.865,498.113,323.139,390.018,25.402
353.566,391.652,436.406,453.700,292.775,507.212,327.129,394.634,26.548
355.471,396.638,435.256,456.988,292.079,511.625,337.832,397.984,26.507
355.868,389.196,410.087,443.038,292.124,528.475,437.832,408.088,26.004
348.410,379.507,423.281,427.050,311.404,551.175,539.485,425.759,31.902
359.534,382.580,409.856,454.312,315.315,519.663,428.257,409.931,23.294
366.130,386.094,426.750,476.988,292.393,532.862,333.673,402.127,29.131
353.388,399.543,416.856,407.900,299.607,505.238,331.990,387.789,23.584
363.606,379.290,402.212,444.200,308.236,480.250,292.683,381.497,23.773
357.750,392.290,418.438,463.913,307.888,503.675,312.743,393.814,25.892
359.398,374.268,446.994,444.438,293.910,534.575,279.149,390.390,31.886
355.818,394.775,426.950,456.988,304.933,480.006,306.386,389.408,24.483
351.387,373.188,417.681,447.562,286.764,507.706,364.564,392.693,25.137
349.823,390.065,408.644,431.212,311.798,492.569,487.624,410.248,23.455
359.799,420.942,408.938,411.712,308.708,519.375,461.812,413.041,23.684
360.537,387.239,421.387,452.575,284.034,501.556,361.356,395.526,24.767
347.627,400.833,430.137,413.125,292.011,508.863,300.812,384.773,26.936
357.013,365.841,396.369,472.325,287.820,493.281,281.950,379.228,28.735
363.145,384.601,420.056,456.775,322.371,512.506,325.248,397.815,24.520
358.917,416.043,428.738,437.238,274.899,504.856,292.228,387.560,29.044
362.747,399.819,411.200,435.163,307.404,517.625,307.149,391.587,26.063
362.134,380.855,408.212,408.550,326.888,514.688,296.594,385.417,24.596
353.243,382.493,407.900,432.775,322.820,507.850,310.535,388.231,24.012
346.503,399.152,409.038,457.113,336.528,509.137,525.069,426.077,25.962
356.449,409.196,398.488,460.413,311.539,524.038,574.030,433.450,32.356
357.921,378.841,427.413,456.900,305.157,492.431,412.228,404.413,22.020
357.387,370.210,425.006,421.275,321.371,506.381,336.683,391.188,22.473
364.082,398.884,440.113,469.350,312.831,517.513,310.050,401.832,27.548
353.634,372.884,440.950,427.363,323.955,523.481,314.851,393.874,26.080
352.847,390.543,430.688,452.188,317.787,524.319,313.990,397.480,26.934
357.406,392.536,426.062,412.762,313.258,478.331,332.624,387.569,20.117
367.158,392.572,430.569,426.163,321.427,504.631,499.475,420.285,23.426
354.888,397.254,399.506,450.337,281.539,486.269,582.564,421.765,33.826
355.824,418.558,386.969,433.688,276.831,503.344,403.822,397.005,24.496
357.594,404.413,425.344,431.775,295.213,495.156,325.950,390.778,24.072
366.705,398.080,410.506,472.425,301.607,523.469,339.950,401.820,26.717
356.586,410.464,437.262,409.488,299.191,537.538,304.950,393.640,29.033
340.196,387.696,409.775,431.663,287.528,493.969,306.337,379.595,25.621
346.973,405.659,435.488,433.350,280.157,502.356,293.802,385.398,28.514
356.935,372.870,410.431,390.475,285.820,516.056,323.950,379.505,25.611
358.271,411.413,414.156,442.675,314.697,498.044,431.000,410.037,20.721
353.063,383.355,433.837,420.850,328.045,499.163,548.644,423.851,27.547
350.488,391.739,429.025,454.688,281.393,516.913,438.218,408.923,26.723
349.528,399.355,437.200,443.525,311.944,503.212,321.842,395.229,24.819
358.720,392.297,424.219,437.250,314.933,508.900,310.762,392.440,24.907
356.648,402.768,415.069,444.188,323.798,516.788,337.109,399.481,23.676
357.223,391.312,423.744,455.600,330.315,520.069,318.970,399.605,25.313
351.912,374.087,407.244,464.375,334.067,490.731,337.347,394.252,21.878
363.141,428.841,420.575,457.387,326.472,501.775,329.752,403.992,23.253
366.368,404.326,417.012,437.062,309.360,513.962,417.109,409.314,21.993
355.423,372.217,422.831,447.900,322.831,513.319,533.426,423.993,27.901
363.289,384.833,413.156,439.962,337.034,514.706,426.822,411.400,20.344
363.794,407.732,404.050,477.387,318.820,515.450,360.851,406.869,24.116
353.650,381.014,397.250,456.712,312.742,517.319,309.149,389.691,26.581
356.412,374.826,416.194,465.650,338.539,540.925,319.198,401.678,27.573
354.814,396.196,389.781,459.400,318.697,514.719,315.970,392.797,25.618
360.125,387.022,430.163,440.538,323.236,494.438,388.782,403.472,19.776
358.415,410.696,441.119,527.000,320.506,528.837,473.446,437.145,27.964
362.622,392.746,448.831,458.300,320.494,499.394,433.970,416.623,21.501
367.920,388.399,442.562,452.988,358.360,507.300,347.109,409.234,20.815
353.222,365.435,414.163,439.012,328.921,509.031,315.792,389.368,24.051
419.693,393.457,410.462,484.500,324.348,530.894,314.653,411.144,27.461
