0001-0150-0218,0001-0081-0091,0001-0173-0157,0001-0145-0133,0001-0153-0130,0002-0119-0167,0002-0192-0036,Average,Err
640.137,707.841,333.000,279.812,266.416,299.000,495.673,431.697,64.132
632.796,684.812,317.319,276.125,261.427,293.519,530.703,428.100,63.822
635.510,625.217,285.913,291.500,266.438,281.137,522.960,415.525,59.996
632.913,589.290,280.944,289.938,269.337,290.281,548.129,414.404,58.199
627.747,541.036,264.581,314.312,277.472,281.594,533.752,405.785,54.235
639.647,561.746,268.587,340.725,284.326,277.031,530.535,414.657,55.035
638.079,556.239,276.531,318.163,287.843,286.363,521.050,412.038,53.864
635.531,557.623,283.387,309.700,300.764,293.469,535.228,416.529,53.384
645.671,518.986,281.131,319.075,298.124,293.012,514.891,410.127,51.408
639.256,520.703,282.625,308.913,302.000,293.231,463.693,401.489,49.266
630.195,526.123,283.944,323.625,293.247,293.081,470.762,402.997,48.649
619.243,570.645,300.594,331.525,290.629,312.850,488.624,416.301,48.929
608.825,603.819,303.938,324.738,283.213,302.506,489.545,416.655,51.362
607.997,609.638,314.562,302.800,275.674,316.337,534.366,423.054,53.595
617.818,617.645,320.944,300.488,262.135,318.825,516.436,422.041,54.720
611.653,627.884,316.219,275.337,253.640,312.419,527.881,417.862,57.588
624.054,619.457,323.106,280.000,258.169,324.694,532.178,423.094,56.820
634.053,682.609,342.125,267.163,266.876,337.062,556.950,440.977,62.304
612.627,668.797,340.881,288.363,255.551,343.550,501.752,430.217,57.398
605.782,685.746,321.856,272.137,257.854,353.075,480.624,425.296,59.054
571.484,679.297,347.319,276.512,256.685,335.431,465.109,418.834,55.678
579.551,713.638,359.806,286.012,271.079,346.944,486.762,434.828,57.798
586.552,735.094,342.369,275.938,259.528,362.262,489.198,435.849,61.598
582.681,712.297,379.350,285.200,264.169,360.294,510.257,442.035,57.909
591.930,699.935,366.394,323.850,285.753,377.331,539.683,454.982,54.519
583.623,734.239,352.544,309.475,287.809,369.363,505.376,448.918,57.810
587.812,694.036,353.094,325.125,279.944,366.613,506.812,444.776,53.916
582.308,720.920,355.056,322.225,309.562,358.906,551.396,457.196,56.095
582.747,707.812,351.469,365.238,303.719,351.250,453.178,445.059,51.897
599.806,712.949,363.137,344.137,311.157,362.781,414.693,444.095,53.112
579.061,702.804,327.863,334.550,316.730,390.219,448.050,442.754,51.465
596.656,731.283,290.137,338.500,354.708,393.300,475.584,454.310,55.593
602.029,734.906,269.325,347.275,309.079,372.869,480.772,445.179,59.603
593.401,698.022,265.613,346.887,302.427,374.425,489.099,438.553,56.209
591.443,715.601,258.663,353.613,331.135,366.119,489.723,443.757,56.950
573.415,746.580,265.044,381.925,323.528,375.856,512.228,454.082,58.429
548.476,717.130,267.325,374.050,333.562,379.194,483.792,443.361,53.376
549.780,717.058,262.469,382.875,331.640,379.438,481.822,443.583,53.579
569.412,753.399,257.381,370.788,341.753,386.525,535.802,459.294,59.280
580.528,732.877,272.706,376.663,341.101,380.956,474.139,451.281,55.524
595.587,782.928,260.688,387.925,338.449,397.175,427.327,455.725,61.817
587.066,742.297,271.975,382.538,329.472,395.925,436.119,449.342,56.804
600.931,698.507,266.613,382.900,328.843,364.681,475.980,445.494,54.429
591.908,755.623,263.256,374.525,335.562,368.844,492.079,454.543,59.833
614.916,734.717,270.881,367.438,320.427,392.450,500.347,457.311,58.802
593.989,739.580,283.719,373.675,339.607,381.587,494.733,458.127,56.509
599.786,743.377,283.825,370.913,323.393,390.244,525.119,462.379,58.300
602.656,759.797,291.438,377.650,345.416,379.337,487.000,463.328,58.154
610.192,729.116,323.519,383.863,341.337,395.000,510.059,470.441,53.348
609.709,730.196,322.500,373.875,345.326,385.012,528.238,470.694,54.280
622.447,785.167,323.181,390.462,344.831,366.069,541.436,481.942,60.782
622.659,762.145,328.887,385.738,335.236,375.456,520.723,475.835,58.047
624.233,716.819,338.425,389.300,337.427,380.456,437.743,460.629,52.402
633.113,765.000,327.100,392.875,337.809,382.594,443.673,468.881,58.169
623.818,736.645,335.356,400.212,339.494,371.312,463.139,467.140,54.308
636.541,746.877,347.887,375.600,344.438,384.387,490.851,475.226,55.615
640.149,717.152,356.375,386.762,331.067,383.331,511.218,475.151,53.108
643.912,770.710,343.875,368.500,342.607,400.637,499.535,481.397,58.534
628.716,771.435,354.025,373.825,314.888,374.062,493.000,472.850,59.331
634.407,705.188,347.669,399.387,338.697,378.475,485.782,469.944,51.142
633.182,731.007,337.125,376.625,340.652,386.644,515.297,474.362,54.721
653.378,762.514,362.281,388.050,340.146,393.163,443.376,477.558,57.247
651.164,729.413,357.631,386.712,346.966,392.812,469.723,476.346,53.546
645.470,724.688,362.969,407.062,341.169,388.300,469.307,476.995,52.295
630.979,748.333,364.806,388.712,325.921,382.156,497.267,476.882,55.318
652.265,775.978,351.581,388.038,336.281,355.863,486.871,478.125,60.325
646.508,737.616,351.181,371.512,350.596,393.106,505.337,479.408,54.845
651.436,740.703,376.444,387.312,363.854,379.950,488.416,484.016,53.477
657.002,733.116,354.425,369.350,326.843,385.169,501.663,475.367,56.456
657.784,731.609,354.400,390.688,336.067,378.556,438.307,469.630,55.450
651.541,745.957,379.406,388.312,322.067,397.038,445.119,475.634,55.621
661.214,728.326,377.587,380.825,336.393,398.981,481.812,480.734,53.835
653.525,737.138,347.681,394.000,327.517,391.944,494.436,478.034,55.755
663.731,717.870,374.106,372.625,329.056,375.881,489.495,474.681,54.697
645.326,733.326,361.587,388.975,352.517,383.288,485.426,478.635,53.344
666.737,725.696,368.525,387.587,355.191,383.850,508.485,485.153,53.767
649.503,753.645,361.100,385.738,326.135,373.087,485.317,476.361,57.441
665.214,706.094,354.644,388.163,350.708,406.306,456.525,475.379,51.926
668.428,734.174,371.006,376.175,342.528,394.325,430.267,473.843,55.552
663.569,753.652,368.656,393.225,339.326,382.456,421.228,474.587,57.332
658.500,744.399,382.756,408.387,363.562,386.944,455.158,485.672,53.254
655.646,755.855,361.906,393.087,347.090,405.781,475.693,485.008,55.598
668.237,714.196,370.250,392.625,333.663,391.800,494.356,480.732,53.329
657.374,772.116,359.688,367.788,327.225,412.706,515.079,487.425,59.346
666.198,750.043,372.869,383.863,324.483,367.337,510.950,482.249,58.224
668.020,761.457,362.006,386.075,348.607,373.575,475.287,482.147,58.186
668.316,725.391,345.875,387.038,337.371,376.919,500.347,477.322,55.996
664.687,731.891,357.694,381.225,350.685,390.819,478.772,479.396,54.763
674.009,738.268,372.206,415.762,333.899,386.863,513.911,490.703,55.412
674.042,739.080,369.512,381.637,355.337,401.375,502.406,489.056,55.015
661.807,786.138,391.519,395.350,351.404,386.219,482.752,493.598,58.172
668.435,722.471,363.156,384.538,333.584,378.250,486.059,476.642,55.109
668.786,716.072,380.819,414.075,344.618,381.181,445.119,478.667,52.460
685.698,740.529,364.194,391.375,332.753,383.569,493.743,484.551,57.583
673.762,769.051,382.450,372.200,348.202,383.575,512.861,491.729,58.731
668.353,734.442,390.137,379.225,336.034,382.294,519.436,487.132,55.314
673.287,749.370,362.031,388.800,331.472,406.188,512.208,489.051,57.165
672.676,714.681,373.331,365.200,353.258,390.738,433.604,471.927,53.924
676.079,763.254,372.556,388.125,325.371,379.619,405.990,472.999,60.235
673.483,762.007,369.906,420.762,337.640,394.181,434.861,484.692,57.518
681.365,730.572,370.825,389.788,343.270,379.325,466.287,480.205,55.771
676.012,743.167,366.444,400.262,345.809,384.669,480.960,485.332,56.030
672.483,737.275,374.606,386.875,340.730,371.769,463.168,478.130,56.132
681.356,738.145,370.762,379.288,332.483,379.775,477.980,479.970,57.333
669.456,778.978,380.369,398.725,344.236,384.844,465.911,488.931,58.718
697.820,729.261,358.194,376.700,342.124,375.369,474.634,479.157,58.040
672.171,738.246,374.669,400.775,345.697,379.844,412.020,474.774,55.968
691.001,745.471,367.512,378.812,340.101,385.250,412.059,474.315,59.045
675.029,777.862,380.875,394.288,347.348,385.863,408.911,481.454,59.834
674.767,765.225,382.181,386.887,346.562,383.087,458.604,485.331,58.026
697.031,765.638,376.981,366.012,329.742,383.312,475.347,484.866,61.292
677.613,722.790,378.488,379.462,325.584,380.688,455.277,474.272,55.787
674.906,728.688,375.869,380.375,343.921,389.087,470.970,480.545,54.859
673.154,792.884,372.275,424.650,332.247,379.231,507.881,497.475,60.693
683.668,731.717,371.613,402.575,338.427,390.119,511.109,489.890,55.511
669.412,718.833,386.762,410.050,325.629,378.762,438.842,475.470,53.858
678.200,733.428,375.944,377.300,355.876,390.863,421.802,476.202,55.608
682.858,701.949,362.944,393.363,331.258,382.988,410.307,466.524,54.724
699.901,782.145,386.681,385.875,347.607,385.781,487.347,496.477,60.907
695.965,756.217,379.631,391.700,336.360,396.856,481.436,491.166,58.464
