0234-0127,0127-0162,0168-0167,0157-0158,0144-0148,0141-0228,0129-0220,0117-0222,0142-0188,0226-0056,0202-0085,0214-0074,0191-0097,0186-0111,0211-0119,0243-0095,0185-0069,0202-0062,0209-0035,0176-0038,0166-0030,0184-0005,0116-0071,0170-0075,0162-0060,0231-0251,0237-0196,0208-0190,0211-0150,0111-0097,0101-0107,0063-0052,0086-0095,0078-0077,0100-0022,0117-0026,0095-0198,0059-0192,0058-0160,0019-0175,0033-0156,0033-0118,0011-0082,0187-0141,0161-0120,Average,Err
332.216,510.167,404.414,265.006,272.531,605.445,781.220,602.036,345.912,941.952,307.392,499.708,391.754,477.185,485.167,468.810,450.441,420.107,401.746,437.023,418.297,335.479,517.249,419.894,293.012,363.162,310.488,416.733,537.664,365.516,376.861,374.527,430.873,350.489,389.024,383.384,460.532,378.646,381.826,327.721,321.853,345.233,462.283,368.736,572.860,428.946,18.562
337.776,481.605,389.850,263.659,277.769,606.572,764.190,570.138,359.189,938.272,313.935,488.292,394.058,514.424,509.559,436.787,406.419,408.408,407.014,406.991,436.651,342.206,519.246,382.805,325.575,378.873,320.225,407.227,536.944,355.852,366.574,377.284,422.618,363.938,381.310,398.198,460.000,376.792,373.426,335.486,346.597,346.454,460.608,371.344,578.680,427.552,17.982
378.239,511.860,413.577,266.628,280.510,613.552,777.360,598.007,349.220,937.146,309.633,497.831,390.988,487.358,511.833,440.408,421.044,430.964,400.486,435.127,433.621,321.642,519.343,422.780,304.629,412.254,325.887,420.413,537.265,327.893,376.348,378.562,410.461,370.045,370.373,377.442,458.534,365.935,388.019,346.354,336.497,359.779,447.214,355.041,584.692,431.173,18.302
396.466,449.798,419.969,271.659,272.156,632.807,783.000,612.696,359.057,943.584,324.573,485.638,412.491,512.430,546.575,448.867,401.132,407.617,427.211,446.027,440.867,337.212,533.740,398.496,326.737,405.683,328.433,428.960,533.944,346.951,383.661,371.421,435.549,357.795,360.349,394.099,466.025,367.046,378.335,354.847,339.073,373.822,446.065,353.450,571.459,435.284,18.365
412.471,448.272,411.150,273.537,274.259,620.579,742.220,644.841,366.333,947.032,329.462,491.623,399.579,518.907,521.102,454.313,389.449,420.393,440.394,431.786,471.446,341.230,530.990,411.398,321.551,381.718,328.642,419.640,515.240,351.205,385.070,362.559,391.333,357.994,386.333,385.657,472.321,379.365,370.774,322.477,334.932,376.356,450.588,352.763,584.267,433.857,18.198
436.044,429.702,417.912,275.835,278.340,640.131,741.860,574.457,343.138,905.129,321.618,498.185,404.070,478.093,548.344,442.867,378.640,424.597,427.556,451.682,437.518,348.079,516.876,445.171,334.222,407.944,326.279,419.580,521.265,361.689,378.183,351.792,430.167,364.858,384.056,395.291,468.887,372.238,375.477,302.448,324.476,377.577,460.320,352.872,591.701,432.604,17.418
477.131,429.105,406.119,284.055,268.116,608.372,705.590,621.507,346.396,919.702,325.508,491.231,397.819,512.841,529.344,450.327,357.978,419.791,432.155,449.405,440.231,336.448,509.873,398.000,318.521,376.444,324.458,425.693,509.290,334.820,379.043,347.547,424.569,360.750,381.714,391.233,460.954,372.481,381.619,294.514,328.958,350.773,470.263,353.697,590.593,428.777,17.649
497.351,409.877,412.018,272.689,282.653,615.093,820.770,623.645,343.956,927.160,327.362,482.231,415.047,507.172,536.613,476.858,356.632,415.214,427.254,441.450,437.159,351.303,517.924,419.114,339.353,397.493,339.933,440.447,507.758,343.598,387.470,349.855,413.784,360.938,382.000,398.616,463.243,375.652,377.768,298.878,337.738,343.202,462.954,358.426,563.041,434.638,18.514
507.887,375.991,417.661,280.500,285.327,608.428,806.480,604.558,361.579,944.945,339.744,534.946,419.813,500.715,510.263,404.336,351.824,438.964,412.246,446.536,483.841,352.467,504.811,421.081,347.689,392.324,333.833,398.120,503.851,357.607,376.557,358.236,429.363,367.153,373.214,376.953,467.385,379.406,391.084,304.975,335.675,350.221,457.406,377.291,592.933,435.249,18.478
515.606,384.333,424.806,290.963,274.803,603.993,720.070,604.014,356.006,952.086,333.332,505.831,407.725,479.397,534.441,352.303,346.463,443.235,410.592,447.314,458.513,348.024,500.950,390.537,341.713,384.394,340.137,432.840,497.384,351.697,380.965,360.327,426.137,362.881,400.508,387.052,461.432,366.406,396.806,309.335,318.723,324.761,464.090,384.666,586.099,430.304,17.880
525.176,376.614,391.863,295.073,290.170,624.372,770.740,593.246,348.006,929.859,330.965,483.077,411.901,480.291,557.532,336.559,348.647,421.393,431.077,454.477,444.200,341.927,504.631,399.398,344.557,393.754,339.183,424.980,501.652,342.320,376.635,366.348,435.353,361.705,371.937,409.390,466.415,370.442,400.239,317.594,318.597,340.325,449.205,366.542,598.201,430.813,18.150
567.294,337.158,446.291,294.226,294.565,593.803,742.420,593.029,356.843,933.875,346.729,499.485,419.246,498.695,527.925,316.872,346.294,425.082,436.796,468.677,465.677,339.994,507.366,421.642,335.216,390.155,334.938,422.240,523.538,363.443,372.661,362.430,408.529,356.830,383.556,382.041,472.901,374.106,384.458,320.750,328.979,334.804,474.475,369.286,577.209,432.278,17.972
575.709,342.140,402.498,296.128,294.531,626.034,770.260,626.935,356.302,966.055,358.116,526.854,410.579,509.828,529.403,314.384,338.140,431.668,417.972,465.191,454.682,349.236,524.597,436.098,358.946,397.394,332.958,420.573,515.942,390.303,379.548,365.309,429.059,398.801,392.857,388.110,466.766,378.823,400.239,328.216,346.188,347.307,471.885,378.126,563.451,439.425,18.659
586.064,338.070,429.811,286.622,309.844,614.534,773.730,590.377,378.440,946.922,361.060,517.346,431.942,488.629,524.962,294.445,349.294,432.148,420.331,438.532,472.031,353.188,523.706,412.813,354.659,396.859,321.625,410.753,518.783,359.057,360.826,375.838,422.000,363.835,385.524,430.064,476.892,379.319,394.039,326.552,340.770,349.712,484.035,389.446,611.904,438.385,18.510
600.570,343.219,414.432,309.695,295.299,633.721,803.280,633.493,350.774,953.789,344.437,506.846,449.392,490.669,538.978,291.995,377.059,422.643,419.951,455.168,464.974,364.145,511.837,429.236,374.269,400.155,295.417,442.680,507.876,371.869,311.313,370.193,448.637,384.875,381.421,378.163,476.194,358.144,378.619,322.167,318.230,336.012,470.848,376.114,573.157,437.377,19.357
609.443,310.342,416.432,294.317,302.259,614.200,754.020,594.754,368.195,931.768,354.362,515.777,428.813,498.954,554.274,283.730,383.485,419.102,414.204,449.245,458.503,330.642,529.080,410.089,368.772,387.732,284.817,438.613,506.164,355.754,317.896,379.255,407.892,370.165,386.167,393.006,479.128,384.952,406.187,332.288,343.791,346.650,449.583,391.654,598.305,434.550,18.596
647.071,295.368,428.454,304.518,312.177,620.034,788.600,647.326,361.522,952.327,343.734,466.562,451.971,502.000,524.317,280.313,375.015,441.806,424.718,467.277,463.462,351.188,535.067,393.317,369.982,378.099,290.842,388.713,535.831,367.631,298.348,378.865,436.922,338.915,366.119,429.006,473.932,377.500,408.406,334.354,337.372,359.080,453.300,400.964,601.099,437.854,19.689
651.786,308.544,409.194,305.537,313.020,624.545,777.160,607.942,362.553,942.125,386.055,488.038,427.398,475.894,527.661,279.095,381.875,437.796,429.486,458.036,422.800,355.448,523.488,399.537,352.497,402.669,292.288,390.940,525.919,381.516,302.948,373.950,400.039,340.045,388.960,413.849,469.310,380.504,370.419,336.766,343.534,335.497,465.408,391.755,584.349,434.182,19.064
647.911,306.886,404.132,311.348,297.252,628.479,741.430,602.442,366.101,926.859,357.176,525.477,440.164,491.238,494.591,276.199,409.081,438.092,458.303,472.795,431.974,325.109,513.072,424.854,377.605,386.782,315.542,381.133,517.101,362.820,282.417,373.434,458.324,333.699,390.937,402.913,465.610,371.312,409.652,328.939,337.382,351.558,443.484,387.814,552.701,433.825,18.529
656.806,309.254,401.722,312.043,302.197,618.714,787.340,619.138,360.610,944.985,381.432,498.708,438.977,516.285,479.452,271.474,401.471,411.520,434.563,446.486,460.692,344.333,529.969,419.309,373.886,404.275,315.288,392.893,524.657,353.967,288.000,376.806,408.588,344.290,374.849,364.279,469.572,373.613,390.568,338.529,339.555,364.233,452.880,394.826,554.549,434.391,19.155
679.690,286.202,423.194,303.976,301.170,599.621,796.750,659.312,356.434,924.504,364.759,499.962,455.304,523.669,443.027,274.095,378.088,430.653,444.592,442.714,446.831,352.745,520.878,428.577,366.659,380.458,310.496,387.527,523.295,374.197,287.678,374.093,435.333,346.091,374.310,378.552,476.408,385.298,394.039,337.727,334.251,336.018,462.417,406.990,565.840,434.987,19.416
690.920,300.149,414.784,304.701,304.755,620.210,742.470,658.638,354.811,923.960,364.362,530.562,443.725,524.987,425.554,267.256,397.044,421.378,433.754,478.032,469.205,345.358,511.870,403.894,365.000,377.127,314.204,396.720,499.114,350.426,279.365,372.934,438.314,343.812,370.960,380.622,472.068,383.435,402.684,334.892,333.120,352.975,451.864,395.838,580.520,433.964,19.202
690.791,276.246,414.070,298.018,317.912,620.848,818.100,580.971,370.050,954.492,365.025,506.869,440.544,480.377,423.817,275.720,411.169,419.051,414.796,449.109,450.436,351.648,516.117,396.220,390.557,404.542,308.233,421.093,533.692,349.230,283.252,368.990,417.314,338.608,381.921,354.151,458.629,366.975,385.884,341.040,319.398,348.699,462.235,399.351,587.398,432.524,19.869
716.226,288.816,408.692,307.360,301.946,629.934,803.960,600.159,359.038,954.871,365.196,478.815,436.082,505.450,368.968,275.204,378.551,444.566,407.887,463.241,423.518,354.812,510.454,416.805,372.563,386.683,331.788,407.327,524.303,344.541,277.643,374.434,434.529,340.994,394.532,342.709,463.051,378.894,392.568,335.664,340.764,380.472,454.078,407.397,571.294,432.373,19.873
705.423,280.605,416.366,315.043,307.340,621.324,803.580,605.478,338.704,950.968,394.980,483.331,454.895,515.808,340.710,270.213,408.228,427.031,430.789,460.768,448.077,353.018,518.455,436.553,384.659,404.965,321.521,438.640,511.119,337.623,291.061,375.930,405.147,349.415,371.635,344.797,463.342,368.771,387.645,338.153,333.262,363.460,451.995,404.085,564.837,433.328,19.774
600.564,281.991,414.930,303.915,321.844,615.097,800.600,607.870,343.239,931.935,375.136,496.715,455.620,511.921,322.645,271.972,404.176,444.138,425.028,453.227,483.554,352.182,519.005,390.894,400.928,418.408,318.688,415.367,532.798,376.787,295.104,374.440,426.402,331.972,371.690,348.174,469.007,378.444,397.845,326.950,343.565,355.865,458.295,416.649,585.160,432.683,19.041
490.729,285.982,397.762,321.622,311.320,636.345,743.290,583.094,326.597,943.325,403.995,457.700,434.596,509.364,325.070,277.578,414.360,420.954,431.000,433.636,458.195,357.048,508.101,412.033,397.970,388.866,330.458,384.320,517.265,345.934,285.730,373.782,393.833,361.347,345.746,339.047,462.898,374.215,382.310,318.743,336.728,354.086,445.161,419.341,576.599,422.624,18.217
385.746,284.693,440.590,320.079,328.116,649.728,796.770,612.920,335.478,954.485,404.372,534.723,429.684,496.344,306.204,273.398,411.971,444.770,449.401,470.736,444.395,362.012,536.247,417.211,403.144,399.944,328.854,408.393,530.717,345.697,294.530,378.511,434.971,349.131,379.516,339.430,471.460,387.617,391.865,297.149,321.461,356.773,451.025,414.218,586.288,430.239,19.289
337.891,283.044,418.855,319.427,313.939,611.434,792.850,625.000,338.296,950.943,377.533,486.338,448.520,499.689,293.457,283.526,444.603,456.005,436.838,463.873,451.492,356.624,542.433,411.528,387.868,389.127,321.846,407.060,513.515,358.910,298.617,392.686,446.480,374.540,374.532,307.878,479.652,384.869,394.316,301.308,317.770,355.362,468.634,418.397,602.849,427.563,19.243
338.803,290.860,415.000,336.354,322.395,607.921,831.880,606.406,326.415,978.875,405.905,507.385,453.205,524.172,307.296,282.114,445.147,451.464,448.803,469.091,467.190,354.061,533.876,430.065,391.317,385.796,327.829,421.473,525.937,346.738,291.452,381.365,466.422,355.517,383.849,305.099,486.573,364.125,404.994,301.716,340.649,370.669,477.406,434.102,584.785,432.944,19.828
331.553,280.667,405.031,327.970,338.014,625.514,806.820,655.333,309.899,947.979,417.789,492.338,455.088,526.775,314.984,286.844,446.632,455.806,431.190,451.536,449.723,353.176,542.572,396.146,412.970,373.380,345.054,412.473,515.141,348.721,301.287,383.334,436.392,396.989,371.111,316.831,485.305,377.783,410.039,312.626,361.026,371.595,482.793,430.005,600.750,433.222,19.310
329.931,278.930,382.780,329.280,325.361,649.452,850.480,605.355,303.836,975.673,384.518,509.154,456.965,499.179,310.215,287.483,450.199,452.464,422.718,456.318,437.969,356.206,562.779,396.073,424.257,385.380,335.663,437.847,522.404,353.115,289.826,394.060,454.157,347.784,386.929,317.564,493.134,387.171,407.626,324.142,332.325,356.804,485.864,398.041,616.218,432.525,20.357
323.409,292.772,372.326,334.140,323.075,630.424,765.040,610.065,298.767,984.831,414.794,519.269,454.474,527.662,302.796,287.389,427.706,429.883,438.824,462.914,461.615,350.139,562.164,344.057,388.389,399.923,333.850,424.173,514.659,382.164,303.991,404.815,439.225,392.023,378.278,312.884,485.906,398.158,441.303,324.450,340.005,384.914,478.876,386.864,602.076,431.899,19.466
322.973,282.728,356.568,322.299,330.497,621.934,745.000,608.725,288.830,970.247,405.080,497.108,466.018,501.338,303.919,299.033,450.956,441.643,426.915,467.482,461.979,341.012,566.189,343.585,383.838,397.190,323.925,414.353,543.020,338.139,317.730,390.663,436.588,377.318,399.254,303.337,477.603,387.323,408.897,321.241,337.267,358.141,477.037,353.586,576.895,425.453,19.246
315.781,281.982,359.110,299.378,299.660,608.197,748.530,607.145,282.736,928.388,401.452,535.208,443.760,513.020,310.935,295.450,411.066,429.041,413.563,447.018,434.903,349.564,537.938,326.976,386.503,387.437,295.450,413.280,523.775,361.287,301.722,369.309,453.294,345.273,371.222,291.919,457.779,368.108,399.755,317.890,351.911,360.638,451.325,330.630,590.872,415.782,19.009
317.757,269.842,333.991,264.598,322.619,604.441,766.570,589.696,278.013,893.939,373.392,466.831,431.175,506.053,314.414,304.299,425.199,439.235,406.993,456.168,425.928,353.897,500.042,306.211,401.383,401.958,284.300,429.860,503.457,330.631,316.470,364.798,425.716,363.176,337.310,290.273,444.630,355.654,364.884,310.603,329.031,345.564,432.641,334.337,561.375,406.208,18.474
