0001-0034-0030,0045-0032,0079-0024,0074-0012,0123-0006,0118-0058,0115-0004,0106-0004,0110-0014,0094-0021,0085-0008,0064-0017,0025-0043,0020-0051,0013-0037,0010-0021,0102-0042,0110-0045,0104-0061,0092-0074,0096-0089,0122-0035,0090-0066,0090-0121,0080-0105,0070-0109,0079-0082,0071-0077,0061-0088,0054-0096,0044-0077,0062-0075,0054-0072,0043-0088,0026-0066,0046-0122,0038-0111,0026-0095,0023-0103,0019-0088,0006-0069,0010-0081,0010-0098,0026-0111,0017-0113,0005-0119,0003-0107,0009-0122,Average,Err
1307.862,1169.321,2247.579,1069.210,776.234,1075.237,569.000,528.208,872.357,989.452,652.225,427.613,540.034,498.462,474.734,494.238,456.305,516.640,527.350,972.162,748.125,490.593,467.545,434.610,544.633,459.750,481.972,486.870,594.913,572.250,451.536,541.500,720.810,473.104,626.913,627.602,396.517,453.246,482.710,663.052,477.912,510.846,485.177,570.500,578.028,2313.686,555.459,720.000,689.460,56.547
1167.724,1125.064,2106.851,1087.314,752.245,995.805,586.600,508.302,878.750,988.313,674.775,410.197,494.708,486.246,451.969,426.413,466.667,505.420,492.000,980.730,733.867,471.296,489.477,445.180,513.900,432.025,449.889,487.768,572.101,544.133,514.214,523.371,683.569,480.736,630.369,618.520,343.172,439.797,499.391,596.708,478.440,530.750,480.796,594.338,587.887,2325.300,570.757,763.356,674.733,54.633
1166.431,1158.508,2154.339,1069.886,743.362,1020.407,565.418,592.755,819.875,974.443,626.000,414.401,550.820,494.815,427.297,431.635,435.695,499.640,439.275,916.851,757.075,450.877,501.818,434.690,569.817,454.438,425.417,447.928,565.130,541.333,499.107,501.257,676.103,471.943,636.675,547.098,377.500,462.551,500.986,624.385,492.626,509.394,484.558,597.368,610.764,2379.857,489.162,721.978,671.535,55.896
1177.724,1195.813,2164.702,1100.219,754.500,1039.737,629.473,534.302,854.196,1031.043,647.700,424.620,497.404,510.646,409.516,446.159,442.226,507.740,457.800,897.797,745.750,447.074,470.318,433.810,529.967,479.750,438.944,448.609,561.768,506.983,519.946,535.000,670.586,498.689,631.825,573.211,368.776,421.522,512.681,638.073,458.604,546.010,497.232,564.368,592.651,2370.843,556.730,811.133,678.212,56.392
1214.259,1192.861,2173.058,1097.857,747.830,985.636,537.473,560.472,863.839,1007.809,583.438,440.570,551.955,509.169,477.719,460.698,468.311,513.000,466.750,903.959,751.717,433.877,478.205,453.140,505.517,438.225,476.153,451.043,600.913,528.683,478.500,514.900,640.379,494.236,618.369,560.122,386.000,423.899,485.058,634.260,451.769,518.625,470.155,578.412,609.953,2318.043,509.622,784.378,673.975,55.663
1181.776,1191.160,2135.430,1082.648,737.255,1045.695,597.364,598.453,878.464,1034.017,675.775,421.549,535.562,504.077,481.516,428.651,456.994,544.660,479.300,949.635,777.667,483.864,515.364,437.030,511.383,458.212,456.153,477.754,555.174,510.033,501.571,511.429,699.207,485.387,626.538,583.236,361.172,432.797,473.536,658.823,455.549,538.971,480.464,585.691,603.811,2375.014,524.757,691.067,681.909,55.889
1186.207,1100.476,2143.826,1046.410,686.840,1048.500,555.145,579.962,861.804,1053.435,643.600,423.394,530.494,487.908,462.016,461.492,464.994,504.960,499.525,908.865,769.700,480.593,457.545,440.750,564.483,451.850,537.417,452.725,585.464,562.050,475.821,584.543,631.966,495.755,642.731,584.512,371.862,430.391,459.304,647.802,457.319,524.288,488.276,615.309,577.594,2304.143,573.054,694.378,677.322,54.412
1214.328,1204.572,2157.950,1098.762,766.532,1017.153,562.000,559.057,892.500,1013.243,695.962,435.120,516.326,489.246,450.266,458.905,459.944,535.240,519.325,943.595,793.083,491.914,546.795,444.880,528.783,470.962,480.708,471.652,598.087,514.967,469.607,511.471,711.172,450.283,634.388,593.228,399.586,447.043,510.652,659.375,495.099,525.423,477.215,612.000,630.670,2367.529,509.162,737.378,689.024,55.907
1287.069,1205.021,2069.876,1128.943,770.415,1051.068,592.982,568.566,861.429,976.191,642.625,453.225,545.461,526.015,466.797,490.619,446.333,520.240,530.575,985.959,748.233,480.716,489.864,414.545,547.200,488.075,463.236,487.333,540.623,539.267,507.696,522.929,694.155,510.009,650.737,590.244,387.672,421.507,501.101,623.552,495.824,519.990,486.144,539.559,607.358,2342.957,520.216,721.711,686.706,54.951
1295.034,1231.139,2142.248,1150.381,774.096,1027.839,636.109,589.057,892.679,1065.887,672.112,432.831,527.483,535.615,462.047,474.476,468.232,542.480,513.350,955.486,801.242,439.852,526.705,422.365,523.600,461.312,445.764,471.783,543.493,580.583,506.429,553.014,715.293,492.160,638.831,574.415,376.293,495.101,495.333,669.594,492.088,546.865,477.707,625.397,597.104,2363.943,516.243,758.311,697.904,56.337
1243.672,1220.037,2187.008,1115.362,779.117,1031.856,561.345,566.491,834.625,982.600,615.650,446.134,555.404,487.446,446.781,461.397,459.893,556.340,558.075,943.459,809.475,448.630,532.932,436.360,507.333,460.275,447.528,497.696,573.232,500.033,442.893,532.957,696.241,482.358,626.106,543.870,375.345,426.493,490.406,610.510,459.440,520.048,476.829,588.456,613.415,2394.243,536.297,757.178,684.152,57.044
