0001-0061-0035,0001-0091-0099,0001-0049-0095,0001-0065-0081,0001-0067-0105,0001-0061-0107,Average,Err
387.145,1040.235,1293.961,1353.174,2370.051,2696.235,1523.467,320.525
383.448,1080.498,1298.945,1331.964,2388.091,2715.074,1533.003,322.744
385.531,1050.976,1359.157,1386.407,2394.727,2768.500,1557.550,327.709
379.739,1071.530,1353.583,1324.515,2396.808,2837.000,1560.529,335.851
383.120,1055.664,1350.567,1412.910,2412.424,2681.765,1549.408,320.122
382.934,1050.802,1364.622,1317.886,2413.818,2553.235,1513.883,309.315
383.973,1067.182,1354.598,1393.796,2432.899,2791.044,1570.582,332.184
385.520,1101.757,1306.220,1276.916,2397.919,2822.000,1548.389,334.493
391.713,1057.927,1327.323,1402.593,2373.828,2882.765,1572.691,337.760
381.646,1093.514,1306.921,1368.126,2530.475,2822.574,1583.876,343.167
386.850,1062.907,1301.291,1333.731,2429.747,2934.279,1574.801,349.019
378.010,1103.802,1294.961,1328.581,2457.606,2837.559,1566.753,340.204
379.529,1094.745,1320.425,1337.102,2404.778,2895.206,1571.964,342.078
388.935,1059.915,1306.898,1314.515,2416.051,2851.441,1556.292,339.377
392.149,1080.178,1299.268,1288.263,2395.475,2739.279,1532.435,325.751
386.846,1086.623,1344.850,1342.994,2351.101,2736.397,1541.469,320.652
384.589,1088.020,1275.031,1312.311,2410.495,2675.559,1524.334,320.897
394.335,1091.340,1291.228,1304.683,2438.202,2696.294,1536.014,323.814
385.442,1101.810,1343.535,1274.713,2354.768,2682.765,1523.839,316.324
390.211,1074.296,1332.346,1301.814,2330.737,2654.662,1514.011,311.913
389.685,1033.684,1311.189,1320.659,2393.990,2818.971,1544.696,335.202
381.758,1100.397,1278.693,1321.138,2373.616,2745.456,1533.510,324.840
387.469,1046.243,1350.669,1420.557,2441.394,2670.088,1552.737,321.060
390.403,1052.814,1314.354,1348.808,2444.596,2815.956,1561.155,337.065
382.130,1074.555,1300.638,1423.126,2397.626,2703.868,1546.990,321.372
384.606,1011.312,1333.512,1248.389,2381.576,2689.206,1508.100,323.391
371.343,799.008,1325.472,980.922,2054.778,2217.353,1291.479,270.116
328.354,702.385,1118.575,840.509,1980.444,1931.441,1150.285,251.248
316.979,637.300,934.512,774.677,1903.465,1842.515,1068.241,244.453
310.106,620.676,884.787,787.060,1775.566,1834.941,1035.523,233.899
