0050-0038,0075-0050,0075-0065,0038-0040,0036-0084,Average,Err
1749.663,2106.247,2482.961,2545.014,2788.191,2334.415,163.258
1575.545,2075.031,2420.635,2426.010,2667.210,2232.886,169.493
1683.045,2091.641,2459.156,2531.321,2773.204,2307.673,170.472
1627.674,1985.314,2380.018,2433.976,2639.840,2213.364,161.662
1589.169,1972.682,2462.969,2411.199,2697.389,2226.681,176.905
1651.489,1970.408,2433.049,2438.084,2624.049,2223.416,160.206
1651.674,2003.260,2460.424,2468.913,2675.130,2251.880,166.348
1610.798,2042.179,2474.862,2457.007,2726.105,2262.190,175.626
1570.140,2046.946,2461.487,2438.470,2713.852,2246.179,178.748
1561.472,1990.538,2416.784,2322.669,2626.765,2183.646,166.665
1660.337,1996.054,2506.099,2407.624,2661.938,2246.410,163.982
1626.124,2017.305,2472.299,2426.429,2813.302,2271.092,183.194
1565.742,1942.964,2427.336,2379.822,2729.364,2209.046,182.448
1527.893,2056.677,2446.424,2430.937,2621.469,2216.680,174.651
1515.798,2083.332,2482.375,2413.540,2660.185,2231.046,180.447
1579.978,1953.368,2442.805,2342.275,2692.358,2202.157,175.139
1515.764,1929.309,2350.115,2266.045,2542.778,2120.802,161.800
1460.292,1971.350,2413.885,2331.540,2609.901,2157.394,181.267
1589.365,2016.735,2494.247,2397.889,2676.636,2234.974,173.582
1531.876,2020.269,2450.138,2393.324,2627.784,2204.678,174.531
1561.691,2037.668,2510.883,2357.537,2693.580,2232.272,178.176
1512.674,1962.583,2372.521,2403.272,2602.654,2170.741,174.094
1472.584,2032.269,2469.190,2294.446,2546.704,2163.039,173.439
1533.506,1869.520,2394.599,2236.070,2600.741,2126.887,170.466
1512.736,1993.587,2423.690,2295.861,2567.821,2158.739,167.445
1557.191,1990.314,2446.102,2297.777,2583.525,2174.982,163.861
1482.854,2077.305,2468.708,2333.265,2688.216,2210.070,185.166
1515.371,2094.197,2465.917,2282.735,2569.833,2185.611,166.518
1492.022,2078.664,2447.070,2299.516,2641.815,2191.817,176.835
1556.096,1937.417,2462.534,2240.596,2608.136,2160.956,168.889
1505.876,1965.937,2427.385,2387.199,2549.549,2167.189,172.063
1524.837,2014.888,2421.227,2264.582,2611.278,2167.362,168.172
1494.444,1972.363,2425.893,2292.913,2647.068,2166.536,179.283
1551.494,1992.798,2467.503,2296.286,2608.988,2183.414,168.549
1475.573,2011.251,2440.250,2291.669,2640.315,2171.812,180.715
1451.365,1927.359,2381.237,2297.578,2626.988,2136.905,183.256
1481.410,1900.928,2410.159,2294.983,2617.667,2141.029,180.672
1488.056,1926.274,2438.594,2234.251,2591.543,2135.744,175.790
1441.770,1933.691,2426.680,2265.415,2617.031,2136.917,184.988
1472.135,1949.507,2481.453,2111.878,2569.451,2116.885,176.801
1486.860,1931.987,2389.049,2245.784,2716.006,2153.937,186.964
1393.539,1911.556,2361.188,2193.181,2482.358,2068.364,173.516
1421.764,1914.919,2379.294,2276.902,2616.691,2121.914,186.347
1480.562,1940.372,2363.716,2121.986,2542.407,2089.809,164.246
1393.326,1901.354,2323.799,2150.620,2592.154,2072.251,182.194
1446.247,1931.269,2390.195,2193.603,2619.722,2116.207,180.846
1453.730,1984.314,2389.992,2192.031,2565.870,2117.188,171.950
1448.062,1910.395,2323.930,2170.254,2569.309,2084.390,171.474
1414.438,1986.233,2337.846,2153.551,2644.840,2107.382,183.189
1399.421,1972.632,2311.122,2131.338,2556.296,2074.162,174.064
1452.112,1964.758,2340.333,2098.129,2490.691,2069.205,160.463
1421.140,1965.758,2305.451,2060.293,2626.432,2075.815,178.534
1401.326,1950.202,2292.565,2161.481,2492.037,2059.522,166.967
1367.596,1927.659,2316.576,2019.321,2506.784,2027.587,174.217
1341.787,1978.148,2364.174,2091.676,2545.975,2064.352,184.622
1376.281,1842.964,2272.055,2042.310,2572.414,2021.205,180.543
1382.090,1890.430,2249.448,2007.990,2560.290,2018.050,175.317
1347.792,1940.426,2281.349,1993.042,2549.957,2022.513,179.783
1298.000,1846.323,2283.656,1986.080,2529.963,1988.804,187.330
1237.017,1878.422,2289.299,1938.415,2406.673,1949.965,183.006
1288.242,1826.112,2265.055,1874.655,2454.284,1941.669,180.240
1217.489,1765.211,2226.510,1875.108,2475.525,1911.969,192.014
1245.792,1847.054,2246.276,1889.777,2355.031,1916.786,173.948
1289.573,1852.704,2233.174,1864.533,2379.975,1923.992,169.070
1214.978,1829.152,2249.591,1900.512,2431.512,1925.149,187.172
1155.213,1783.341,2224.268,1858.373,2342.136,1872.666,186.220
1151.612,1799.888,2244.151,1859.383,2372.710,1885.549,191.061
1205.652,1775.717,2154.302,1752.610,2264.938,1830.644,166.504
1180.781,1851.641,2206.354,1701.293,2363.574,1860.729,185.488
1128.163,1793.673,2207.948,1689.617,2297.883,1823.457,187.099
1079.612,1765.848,2198.938,1597.038,2350.691,1798.425,202.358
1149.354,1793.444,2189.987,1666.031,2365.025,1832.768,190.505
1065.775,1783.879,2111.565,1557.498,2398.747,1783.493,205.169
1120.803,1849.973,2163.388,1558.711,2414.043,1821.384,202.863
1154.910,1816.951,2199.112,1552.470,2320.093,1808.707,190.484
1135.376,1787.296,2158.935,1532.652,2299.969,1782.846,188.753
1052.652,1806.453,2126.633,1463.516,2301.204,1750.091,201.716
1010.191,1776.870,2101.021,1412.401,2320.228,1724.142,210.432
994.961,1728.108,2137.581,1404.213,2223.185,1697.609,204.991
955.511,1776.457,2095.120,1376.007,2272.500,1695.119,214.368
959.500,1750.426,2120.154,1326.732,2294.623,1690.287,220.893
938.579,1740.094,2120.607,1263.164,2154.815,1643.452,213.539
924.562,1680.475,2071.945,1283.220,2172.802,1626.601,210.745
948.225,1686.112,2099.555,1223.913,2192.753,1630.111,216.337
880.388,1680.722,2058.549,1307.718,2135.691,1612.614,210.354
904.011,1699.816,2084.552,1313.474,2124.790,1625.329,208.178
832.084,1661.058,2034.599,1259.146,2096.852,1576.748,213.789
841.124,1656.623,2072.622,1246.725,2051.580,1573.735,212.391
777.652,1564.682,1993.255,1219.854,1880.704,1487.229,199.186
809.258,1592.462,2093.503,1317.676,2004.889,1563.558,210.321
753.831,1603.924,1980.021,1196.965,1977.438,1502.436,211.446
761.994,1656.251,2032.995,1234.314,1957.617,1528.634,212.514
819.416,1602.816,2030.674,1200.944,1945.315,1519.833,204.074
815.646,1551.565,1984.781,1199.286,2003.148,1510.885,204.842
830.725,1516.166,2020.190,1239.059,1940.728,1509.374,198.059
812.787,1569.892,2042.125,1309.578,2065.142,1559.905,210.594
793.770,1550.404,1979.411,1210.551,1896.685,1486.164,197.111
740.163,1512.022,1965.677,1179.355,1913.611,1462.166,206.018
830.966,1498.592,1922.240,1198.429,1925.179,1475.081,189.157
755.371,1553.197,1936.797,1191.268,1907.605,1468.848,200.469
744.865,1597.090,1968.732,1185.261,1965.025,1492.195,211.127
747.028,1553.928,1959.956,1169.268,1993.821,1484.800,212.934
765.624,1517.085,1912.716,1148.122,1990.315,1466.772,206.750
706.657,1520.583,1915.617,1146.742,1918.352,1441.590,208.356
717.213,1538.013,1974.211,1120.422,1946.617,1459.295,216.734
742.438,1496.924,1961.448,1065.310,1904.444,1434.113,211.440
700.326,1525.090,1945.948,1059.456,1945.796,1435.323,220.080
692.764,1522.193,1980.424,1046.808,1862.722,1420.982,218.051
705.517,1567.000,1946.932,1045.683,1924.327,1437.892,219.327
716.500,1463.395,1984.589,1031.258,1898.451,1418.838,218.686
