0045-0077,0046-0094,0055-0100,0051-0053,0061-0037,0031-0058,0046-0041,0063-0061,0050-0021,Average,Err
650.557,1016.962,666.179,1794.278,1099.486,791.148,849.110,545.925,422.632,870.697,128.143
638.886,1033.557,654.747,1813.848,1041.329,808.938,867.497,552.051,434.858,871.746,128.661
639.477,1021.400,658.265,1799.172,1067.762,831.882,821.957,535.664,399.604,863.909,129.569
608.765,1000.736,688.000,1841.113,1047.376,808.540,871.791,534.766,424.066,869.462,131.843
642.570,1029.791,715.506,1865.026,1088.643,822.202,878.117,558.958,421.142,891.328,133.124
623.879,1037.357,670.883,1799.245,1064.119,801.226,867.380,540.350,451.594,872.893,127.551
656.201,993.353,674.364,1806.523,1110.843,815.129,824.650,545.178,401.868,869.790,129.767
655.007,1003.260,676.340,1886.980,1059.738,813.255,845.650,532.519,402.660,875.045,136.428
618.389,1019.285,672.537,1892.901,1042.595,817.589,843.969,535.584,418.443,873.477,136.976
667.872,1024.098,652.142,1896.523,1043.162,811.452,841.117,555.360,411.443,878.130,136.479
640.537,1019.115,646.389,1856.947,1074.333,809.419,863.595,552.949,407.689,874.553,134.186
642.591,1035.860,684.241,1825.649,1063.119,806.081,895.356,554.869,439.443,883.023,129.204
627.584,1007.174,671.914,1789.298,1041.167,801.247,833.485,537.500,411.179,857.839,127.513
630.148,1016.821,628.080,1831.132,1043.933,819.989,863.534,523.285,414.170,863.455,132.488
660.128,990.860,671.753,1839.921,1060.219,797.312,893.920,544.182,394.434,872.525,132.078
624.215,1047.932,664.488,1860.185,1057.300,796.731,868.393,540.911,398.208,873.151,135.447
608.577,1003.238,671.457,1863.291,1043.352,792.247,861.840,531.808,408.075,864.876,134.981
628.228,949.860,630.728,1859.775,1071.990,835.777,872.166,539.145,422.896,867.841,133.936
634.201,970.247,633.000,1829.536,1083.110,804.016,891.006,530.836,420.972,866.325,131.903
615.141,914.540,663.506,1728.113,1064.981,802.911,878.773,537.430,393.858,844.362,122.723
602.409,937.609,623.062,1702.477,1017.429,811.121,890.583,543.206,396.698,836.066,120.505
597.161,917.391,611.660,1735.325,1018.962,780.269,831.969,520.215,388.566,822.391,124.605
586.349,929.094,602.969,1828.881,1043.929,798.661,848.282,530.350,404.236,841.417,133.123
604.436,954.583,620.043,1830.576,1014.014,793.269,844.773,547.411,436.132,849.471,130.462
636.497,906.477,592.593,1796.139,1015.948,820.796,861.822,521.589,410.491,840.261,128.568
612.779,914.166,642.586,1730.132,1040.919,801.191,860.092,538.224,395.792,837.320,122.678
640.611,895.970,594.117,1751.351,1009.348,797.718,872.276,541.678,407.575,834.516,123.785
637.208,925.843,609.988,1843.841,1015.143,815.489,849.687,527.322,409.170,848.188,132.555
621.013,934.672,593.654,1775.556,1031.248,804.995,879.650,533.276,407.830,842.433,127.320
625.718,925.655,624.877,1798.848,1022.614,794.086,849.080,535.687,383.670,840.026,129.353
617.403,929.243,626.772,1734.338,1016.848,795.113,849.718,533.463,421.104,836.000,121.995
640.141,925.736,603.204,1777.907,1036.838,784.231,834.742,541.505,436.519,842.314,125.549
595.611,936.298,613.506,1785.702,1053.900,795.753,867.301,528.907,429.349,845.147,128.057
624.376,895.753,596.556,1813.788,1085.729,795.344,849.074,551.346,396.632,845.400,131.432
615.268,912.719,626.772,1749.795,1056.162,796.602,863.190,529.537,408.849,839.877,124.742
635.329,906.319,622.698,1783.987,1048.524,807.879,866.387,542.645,412.160,847.325,126.726
618.678,925.557,671.019,1831.927,1039.486,789.417,831.681,531.738,384.509,847.112,132.089
605.544,896.540,583.210,1805.742,998.971,812.933,850.117,538.453,413.981,833.943,129.337
634.490,936.694,606.568,1728.682,1025.910,795.444,840.417,523.953,403.349,832.834,122.850
613.752,941.349,609.370,1808.914,1042.448,823.914,853.693,531.411,406.415,847.918,130.409
614.906,915.949,605.228,1757.298,1069.824,802.390,834.025,534.285,400.896,837.200,126.367
614.490,944.281,625.463,1781.397,1019.471,804.817,868.988,500.397,421.877,842.354,127.579
617.074,923.877,617.765,1781.967,1038.019,809.207,825.761,554.603,403.085,841.262,126.984
630.188,909.451,649.241,1776.258,1042.900,802.306,908.785,525.285,408.943,850.373,126.346
592.517,924.166,583.204,1748.364,1041.919,776.637,832.503,541.234,402.264,826.979,125.884
638.678,930.970,621.938,1724.702,1077.981,793.941,845.583,537.995,407.453,842.138,122.530
653.993,954.094,590.951,1726.497,1026.314,814.462,901.221,543.005,409.179,846.635,122.124
629.054,939.940,631.111,1837.159,1077.852,829.556,847.699,552.435,419.396,862.689,131.663
614.564,923.970,629.895,1746.437,1035.376,816.075,836.853,565.360,422.415,843.438,122.328
632.638,931.698,611.204,1741.589,1030.343,772.489,869.810,533.000,416.915,837.743,123.303
618.698,964.319,619.772,1843.960,1066.348,796.059,880.055,574.051,431.236,866.055,131.813
629.228,958.609,573.716,1781.603,1046.205,803.024,825.890,537.855,414.075,841.134,128.274
624.765,964.255,619.802,1739.377,1045.981,808.522,860.607,540.182,392.632,844.014,124.368
638.007,983.617,668.944,1809.232,1048.671,801.449,844.472,549.542,405.160,861.011,128.842
616.027,978.140,658.302,1814.232,1031.171,811.323,847.006,553.005,403.311,856.946,129.543
642.329,992.485,630.648,1876.536,1040.167,824.237,840.282,525.089,403.557,863.925,136.326
634.067,977.945,661.358,1816.358,1019.324,799.903,860.939,537.350,393.104,855.594,130.050
626.946,1003.047,667.969,1841.040,1068.210,790.508,856.104,557.706,428.198,871.081,131.422
611.282,885.136,632.463,1768.000,1014.300,797.664,845.939,514.374,421.575,832.304,125.284
586.624,818.221,566.889,1668.298,941.757,742.043,819.540,504.327,395.745,782.605,117.909
556.866,776.634,494.247,1555.444,904.533,750.565,798.644,493.547,405.019,748.389,109.045
551.859,771.843,537.938,1475.026,882.757,735.250,804.595,496.238,382.764,737.586,101.170
569.349,800.298,541.383,1600.675,951.581,756.516,780.552,481.341,396.453,764.239,113.273
549.913,780.902,512.988,1537.980,950.229,728.371,825.264,510.009,397.953,754.845,108.048
580.483,799.383,535.580,1562.384,964.005,748.831,775.951,505.981,392.160,762.751,109.416
558.960,745.979,502.537,1541.450,920.905,740.156,794.258,482.603,388.726,741.730,108.685
565.389,774.030,532.451,1478.543,943.429,734.769,779.417,470.668,398.028,741.858,102.595
541.336,745.400,531.216,1534.470,912.862,726.734,797.896,477.103,386.047,739.229,107.845
555.852,764.489,547.796,1452.834,919.233,716.605,750.620,488.986,394.764,732.353,99.010
543.577,759.885,504.086,1475.742,907.876,734.543,783.902,479.238,398.660,731.946,102.440
540.993,756.506,519.358,1474.258,914.943,719.285,770.620,486.318,384.245,729.614,102.416
518.242,774.383,517.407,1526.053,912.957,734.667,799.092,472.061,387.057,737.991,108.158
534.396,782.166,512.957,1495.417,877.214,704.599,766.583,462.673,411.057,727.451,103.682
542.792,777.136,501.623,1522.834,901.933,724.430,793.718,477.664,421.000,740.348,105.985
550.309,791.443,524.099,1511.483,965.971,725.946,792.620,485.154,386.123,748.128,106.808
534.403,784.098,528.068,1545.212,924.752,742.710,807.239,494.967,407.858,752.145,108.023
556.094,784.702,540.821,1546.119,953.957,743.761,785.350,481.332,386.236,753.152,109.074
540.081,789.213,543.488,1542.556,932.386,743.401,805.834,487.528,398.113,753.622,108.036
579.134,811.885,547.364,1544.967,940.652,743.503,841.393,483.893,394.783,765.286,108.052
573.235,793.336,521.475,1575.424,936.381,767.204,830.172,498.425,388.981,764.959,111.097
554.913,811.966,541.191,1623.550,974.424,738.505,827.031,487.304,428.500,776.376,114.995
567.322,850.834,553.531,1595.649,1023.138,774.040,833.031,497.785,397.764,788.122,114.068
538.154,789.596,588.741,1480.066,837.743,738.073,790.761,477.271,339.660,731.118,102.710
491.423,722.200,524.160,1380.364,759.010,668.081,695.718,437.523,299.302,664.198,96.880
456.443,701.170,492.358,1375.397,686.129,630.384,700.687,406.650,284.245,637.051,98.563
429.718,645.962,452.056,1259.629,634.271,616.331,666.460,373.393,281.962,595.531,89.324
420.799,597.872,436.444,1195.775,621.671,585.976,635.914,362.136,278.623,570.579,83.728
387.638,613.698,409.988,1171.391,571.995,551.417,620.276,339.991,278.377,549.419,83.107
366.839,546.132,381.500,1118.033,546.819,513.524,573.436,316.589,272.585,515.051,79.112
360.040,532.855,376.179,1019.728,517.419,508.930,545.656,321.729,277.755,495.588,69.352
325.490,521.204,341.235,935.113,488.952,466.374,524.847,303.818,270.736,464.196,63.520
338.497,495.413,336.191,889.715,471.443,435.634,514.276,291.407,258.160,447.860,59.578
315.691,447.396,320.111,779.219,439.981,414.543,491.350,299.028,265.453,419.197,49.025
308.383,441.098,328.062,759.232,420.290,392.011,463.933,298.565,264.387,408.440,46.734
309.262,423.000,318.130,656.272,415.257,397.134,440.853,297.117,271.189,392.024,36.794
307.913,413.855,294.364,663.325,411.029,379.634,415.399,294.472,264.840,382.759,37.953
299.966,415.719,303.068,615.603,407.843,354.836,410.503,284.584,265.745,373.096,33.917
303.423,402.851,286.586,576.146,366.700,373.312,375.509,284.748,272.038,360.146,29.608
304.396,390.038,292.611,543.675,379.329,359.761,369.779,278.379,260.679,353.183,26.954
296.732,379.387,308.500,534.523,379.376,347.758,375.620,283.201,264.642,352.193,25.508
308.685,381.557,299.512,537.821,365.267,336.917,365.601,290.645,263.651,349.962,25.375
300.517,356.111,291.981,538.907,358.038,340.366,361.117,283.495,255.868,342.933,25.976
287.262,358.226,293.136,510.344,365.724,329.530,349.423,295.626,263.028,339.144,23.060
298.644,360.685,287.358,484.702,373.257,338.933,353.104,291.790,248.396,337.430,21.598
296.309,362.123,289.747,509.596,388.286,322.720,350.479,270.416,262.557,339.137,24.155
287.201,348.336,284.167,490.517,355.752,331.702,343.110,281.145,269.943,332.430,21.318
287.121,338.838,289.401,459.146,350.238,319.145,334.607,278.150,263.038,324.409,18.487
269.611,315.115,270.944,438.377,339.938,316.750,331.528,272.664,251.726,311.850,17.857
275.436,323.366,271.784,446.212,342.595,321.548,330.491,282.593,263.717,317.527,17.703
276.262,327.945,275.790,437.662,344.790,316.113,326.239,266.322,256.057,314.131,17.605
275.074,311.085,264.512,416.132,327.505,319.038,327.755,274.542,256.000,307.960,15.473
277.107,314.106,263.265,431.974,350.386,312.487,329.810,273.850,260.019,312.556,17.190
269.195,310.638,270.920,405.517,338.738,312.911,333.491,268.678,257.915,307.556,14.936
285.517,299.664,260.784,421.033,327.900,305.761,325.877,270.720,257.462,306.080,15.797
278.483,309.213,263.142,427.881,324.071,309.788,306.669,273.636,258.038,305.658,16.158
277.000,302.396,262.438,401.113,335.414,303.858,316.117,271.911,262.255,303.611,13.964
274.886,306.455,268.302,407.444,331.062,303.293,329.025,270.808,261.066,305.816,14.531
278.899,306.026,274.685,399.219,335.533,309.562,310.975,275.154,251.462,304.613,13.709
276.779,313.894,274.463,420.702,325.571,307.769,310.202,273.416,272.415,308.357,14.745
271.960,313.174,272.438,427.126,321.414,304.702,318.503,275.005,264.142,307.607,15.750
268.584,312.523,272.154,417.384,328.224,309.188,314.626,269.916,257.491,305.566,15.407
269.235,320.562,268.346,419.702,334.214,303.212,317.043,266.981,253.953,305.916,16.127
277.087,319.043,271.593,396.053,338.714,314.651,325.006,268.290,254.755,307.243,13.984
273.436,306.034,271.907,421.748,330.676,311.522,307.534,273.220,266.283,306.929,15.278
274.899,307.149,268.364,450.556,339.500,311.581,330.337,274.481,260.396,313.029,18.478
279.523,315.753,267.642,409.616,332.900,312.484,319.350,276.888,254.349,307.612,14.673
284.114,326.434,275.735,431.358,332.986,302.780,327.503,283.963,262.396,314.141,15.916
274.966,319.953,262.204,410.119,332.119,307.578,325.785,272.991,261.151,307.430,14.938
277.503,327.115,275.006,418.305,344.848,317.419,328.178,276.682,263.925,314.331,15.302
273.564,313.302,275.395,418.331,329.981,305.699,319.663,277.682,257.557,307.908,15.128
284.544,315.630,268.259,442.861,329.971,314.180,315.129,276.930,265.009,312.501,17.061
