0001-0104-0059,0001-0088-0076,0001-0046-0063,0001-0043-0048,0003-0018-0088,Average,Err
193.512,1425.692,1826.929,246.454,215.932,781.704,313.673
194.559,1382.634,1915.507,259.345,221.616,794.732,321.065
196.924,1440.017,1833.843,251.345,227.988,790.023,314.317
182.241,1431.180,1745.779,240.992,228.396,765.717,303.833
196.324,1422.599,1734.121,257.609,235.470,769.225,298.850
191.200,1345.076,1671.586,245.000,242.110,738.994,284.820
185.888,1383.965,1582.279,239.034,237.664,725.766,278.098
183.418,1398.203,1633.943,244.462,236.539,739.313,285.740
191.288,1368.128,1600.907,259.231,245.690,733.049,276.552
184.688,1374.977,1519.879,253.954,241.631,715.026,268.423
183.412,1348.424,1612.964,253.420,242.220,728.088,277.552
181.565,1315.366,1628.093,266.832,229.354,724.242,276.768
197.188,1383.523,1648.064,267.702,233.247,745.945,283.763
190.200,1421.384,1746.121,269.681,242.982,774.074,299.417
187.141,1355.994,1770.829,273.933,228.711,763.322,298.236
209.106,1415.488,1728.457,282.941,235.438,774.286,294.808
185.129,1386.541,1771.793,272.597,216.283,766.468,301.976
186.776,1409.134,1805.600,283.130,234.432,783.814,306.205
202.753,1419.035,1819.900,301.084,228.705,794.295,306.936
197.929,1413.913,1769.550,276.092,223.670,776.231,302.206
194.976,1398.988,1814.321,295.315,223.086,785.338,305.951
196.806,1378.215,1779.371,277.798,224.390,771.316,300.483
182.212,1372.797,1893.707,284.050,248.717,796.297,314.706
197.265,1446.552,1796.857,253.777,225.935,784.077,309.948
197.718,1460.058,1845.207,264.273,231.402,799.732,316.303
185.300,1398.413,1763.364,258.803,253.670,771.910,300.097
195.794,1382.081,1795.357,233.273,247.747,770.851,304.403
183.700,1438.814,1885.414,224.584,260.833,798.669,321.735
201.853,1360.413,1808.343,224.735,265.774,772.224,303.385
191.176,1380.483,1817.593,205.382,288.997,776.726,306.927
191.506,1340.058,1848.307,212.962,284.929,775.552,307.753
189.676,1332.436,1799.786,202.391,281.711,761.200,301.582
178.671,1334.640,1841.057,203.987,283.500,768.371,308.071
194.000,1252.453,1774.757,199.172,271.613,738.399,292.801
194.241,1295.959,1848.886,199.408,283.940,764.487,305.536
205.224,1279.233,1778.279,209.950,294.146,753.366,292.139
205.341,1257.599,1897.771,199.345,292.461,770.503,308.684
197.618,1295.308,1753.821,205.038,293.062,748.970,290.924
200.141,1247.645,1822.986,214.761,280.982,753.303,297.167
198.218,1263.029,1814.593,212.387,271.310,751.907,297.938
197.294,1279.826,1900.536,216.950,299.446,778.810,309.381
187.071,1315.198,1820.750,223.134,307.771,770.785,300.256
207.724,1343.570,1904.707,225.197,301.348,796.509,312.770
190.665,1324.035,1844.107,228.550,287.699,775.011,304.759
188.071,1307.023,1813.621,241.412,288.705,767.766,298.477
231.618,1331.936,1853.714,240.277,314.658,794.441,301.000
199.071,1362.587,1805.443,260.529,308.363,787.199,298.024
208.929,1341.953,1856.579,286.034,317.446,802.188,300.428
211.035,1390.930,1903.014,274.261,304.524,816.753,311.975
