0059-0047,0036-0041,0036-0055,0020-0009,0038-0115,0052-0095,0075-0096,0103-0061,0102-0035,0089-0037,0063-0028,0035-0012,0075-0069,0034-0017,Average,Err
1483.275,558.858,507.070,364.695,516.743,635.009,354.949,504.354,395.941,350.108,486.873,721.404,352.360,673.514,564.654,75.054
1490.747,573.929,520.762,395.419,530.066,628.434,376.333,461.915,405.082,392.422,486.482,749.375,336.375,740.771,577.722,75.447
1504.335,554.430,538.709,429.171,536.545,574.189,368.442,492.098,398.976,362.072,477.836,753.096,357.801,798.114,581.844,76.647
1516.555,583.049,541.201,399.867,524.377,594.028,357.538,453.402,381.953,393.205,481.555,698.221,321.426,732.286,569.904,77.140
1544.848,568.288,524.459,399.762,500.509,583.434,387.724,445.146,383.941,359.554,466.115,723.926,336.191,677.886,564.413,78.716
1519.791,585.220,504.430,404.514,467.946,582.491,361.410,445.939,380.482,392.807,498.348,738.566,349.000,674.486,564.674,77.054
1545.302,583.408,546.775,416.143,510.353,614.679,358.026,463.183,382.576,365.446,483.467,712.301,356.537,723.629,575.845,78.601
1494.414,562.971,511.484,385.381,485.557,568.472,349.026,476.085,412.941,377.590,493.688,750.316,329.441,696.657,563.859,75.939
1547.637,563.919,514.947,405.771,511.850,611.547,361.872,477.256,365.118,384.398,478.967,703.632,345.191,752.829,573.210,79.193
1532.861,548.460,514.307,398.267,504.796,575.745,359.897,483.756,398.612,406.566,494.645,693.007,332.154,625.000,562.005,76.653
1496.863,580.871,508.016,412.905,508.940,565.236,328.462,496.268,381.188,414.398,496.573,707.309,343.353,747.029,570.529,75.662
1453.088,602.311,530.725,415.410,528.587,566.132,368.051,476.512,384.918,407.446,482.442,764.772,349.140,728.543,575.577,72.750
1514.436,551.835,544.143,441.914,489.084,614.425,345.295,530.780,399.624,400.229,471.506,698.507,335.706,781.114,579.900,76.668
1531.405,587.424,558.025,419.610,529.305,602.009,363.173,503.695,379.659,390.470,464.479,752.309,342.324,637.971,575.847,77.131
1521.700,569.032,548.061,406.171,527.784,640.575,359.474,433.378,367.894,392.157,486.373,752.162,337.353,833.657,583.984,79.423
1563.452,576.159,527.357,391.371,529.401,611.585,347.885,467.951,398.706,388.398,491.421,777.816,345.088,779.771,585.454,81.026
1487.194,582.547,546.234,405.657,537.623,596.472,345.205,478.305,410.459,399.265,513.685,719.390,352.838,741.771,579.760,74.405
1521.167,555.592,520.172,405.467,510.844,605.755,367.090,500.756,390.447,406.928,484.470,730.426,338.875,734.029,576.573,76.826
1460.141,565.239,515.250,432.219,482.150,567.047,358.891,469.439,400.435,378.470,486.824,720.096,329.228,754.200,565.688,73.654
1525.544,554.906,543.984,408.095,523.910,542.953,364.282,469.146,376.976,378.229,504.373,720.816,328.610,737.571,569.957,77.689
1477.150,580.738,512.996,403.724,503.042,579.387,355.808,504.549,397.353,351.024,481.145,706.971,352.279,666.657,562.344,73.852
1502.932,551.764,530.832,427.629,515.335,586.481,364.224,528.305,387.082,353.627,473.088,726.985,350.529,662.171,568.642,75.281
1530.185,549.165,555.820,441.552,499.922,590.943,360.821,461.293,411.965,352.060,501.518,771.676,339.147,759.514,580.399,78.427
1547.207,576.408,523.820,420.981,546.593,652.142,356.917,474.634,371.894,410.819,465.585,756.294,346.441,716.257,583.285,78.902
1522.110,574.828,547.684,394.505,523.563,599.000,343.609,471.976,378.435,390.916,506.121,743.574,358.632,733.914,577.776,77.439
1560.870,590.583,529.934,397.857,500.988,583.745,377.590,452.232,375.635,379.277,481.103,759.316,349.735,806.143,581.786,81.113
1551.608,578.903,527.422,419.629,528.479,571.509,357.026,505.707,397.729,394.843,485.176,768.243,341.007,828.829,589.722,80.182
1553.099,589.055,583.107,387.057,506.503,601.330,372.269,491.988,408.118,393.301,489.582,767.397,364.699,744.800,589.450,78.926
1543.738,580.935,530.221,397.048,525.976,593.500,368.795,495.195,380.765,377.940,502.542,724.434,354.346,745.400,580.060,78.419
1528.101,581.087,531.906,409.067,542.952,579.528,348.378,486.866,387.282,391.325,498.791,725.331,351.596,739.886,578.721,77.337
1542.989,594.599,557.336,443.895,522.353,605.613,368.237,476.598,368.259,402.964,490.897,714.449,358.000,754.543,585.767,77.840
1512.923,570.579,513.270,418.086,550.383,598.585,349.449,480.720,374.800,381.880,476.655,720.176,352.963,793.371,578.131,77.395
1544.773,598.460,543.873,413.200,510.437,606.632,363.885,505.390,382.906,393.241,476.176,707.419,359.382,746.486,582.304,78.087
1544.000,569.414,524.209,398.152,501.545,618.019,364.449,491.768,385.071,390.325,476.058,735.537,336.699,700.486,573.981,78.559
1511.370,575.013,531.213,420.629,532.132,625.264,374.276,472.317,386.188,404.217,497.673,701.993,351.176,786.800,583.590,76.217
1518.705,554.395,530.275,374.829,501.695,605.858,349.032,444.756,367.894,364.988,508.230,746.471,331.478,690.600,563.515,78.217
1480.130,562.440,526.029,425.819,531.269,594.292,366.192,463.390,392.918,371.265,475.488,708.272,309.949,716.886,566.024,74.710
1567.207,574.129,558.406,429.467,543.150,634.443,378.942,454.085,384.847,379.145,485.115,703.640,340.853,748.486,584.422,79.743
1562.738,567.320,528.914,402.257,532.976,608.425,352.186,480.463,375.235,396.241,481.918,783.265,333.728,756.714,583.027,80.918
1548.132,594.994,530.725,385.419,526.790,582.094,359.942,480.366,401.529,357.602,497.188,749.662,340.551,714.314,576.379,79.255
1546.612,554.139,524.090,402.248,535.940,574.236,347.128,481.280,397.412,410.964,491.833,742.757,356.581,771.314,581.181,78.842
1557.064,543.042,536.820,405.571,498.814,620.038,355.500,479.598,388.435,424.084,487.648,788.801,349.868,689.429,580.337,79.381
1515.020,578.511,515.000,414.771,514.114,557.217,373.776,514.207,401.541,387.361,482.552,734.816,340.243,754.457,577.399,76.524
1524.859,565.783,544.000,405.752,530.617,582.953,364.224,492.866,397.353,386.566,485.030,737.250,360.213,754.200,580.833,77.076
1539.068,573.214,528.697,435.048,519.880,577.547,361.622,450.341,398.341,377.217,514.039,769.081,336.338,679.629,575.719,78.079
1581.716,575.430,534.020,449.124,517.251,580.208,359.353,495.695,374.424,391.494,495.376,759.368,355.912,800.429,590.700,81.340
1539.009,560.210,543.152,411.648,559.988,572.585,370.776,514.939,424.118,392.759,497.185,686.581,350.029,759.314,584.449,76.951
1525.070,583.712,533.357,409.752,506.072,619.075,357.468,464.256,384.718,409.976,474.224,711.750,366.949,759.114,578.964,77.172
1570.196,557.531,529.016,430.124,527.317,620.330,356.410,515.683,370.329,359.060,500.379,730.316,360.412,669.171,578.305,79.617
1545.192,558.644,544.238,411.276,485.952,619.519,365.308,506.439,423.212,384.747,497.815,734.801,351.243,766.800,585.370,78.375
1572.795,577.686,551.545,397.962,527.922,576.283,360.186,489.963,423.306,407.434,479.585,756.015,348.029,755.600,587.451,80.115
1484.698,558.858,558.701,413.752,526.575,574.642,377.154,462.293,393.082,399.554,501.048,752.588,353.250,764.943,580.081,74.712
