0007-0009,0022-0023,0037-0064,0001-0070-0060,0049-0080,0061-0081,0064-0093,0039-0090,0049-0096,0065-0111,0086-0112,0106-0122,0124-0109,0108-0046,0105-0025,0100-0012,0079-0020,0047-0003,0125-0015,Average,Err
349.077,578.630,445.531,600.142,446.483,427.091,371.937,369.734,335.064,445.906,416.619,513.070,267.105,347.058,361.435,1120.155,317.324,342.075,269.884,438.122,42.128
335.497,551.187,455.394,600.322,417.652,397.782,351.667,395.606,323.500,419.450,411.300,518.802,281.430,356.587,359.864,1072.225,313.530,338.025,260.744,429.503,39.978
339.038,595.319,445.081,609.343,414.157,469.618,362.297,430.681,330.200,446.663,419.781,518.086,297.289,368.885,355.435,1085.340,313.076,321.325,274.233,441.887,40.630
304.208,593.392,444.320,572.301,394.326,393.836,353.045,371.809,353.500,474.822,436.969,527.209,281.412,368.298,341.649,1021.600,296.292,360.575,249.023,428.347,38.363
334.361,568.505,441.837,577.503,432.034,443.691,365.910,367.245,348.493,460.500,415.656,514.941,296.614,359.087,381.387,1041.945,322.162,376.475,282.302,438.455,37.515
349.164,572.538,440.937,570.813,440.483,405.873,364.550,357.745,329.621,445.158,429.781,527.369,276.342,332.760,339.974,1033.925,302.211,344.050,305.814,429.953,38.019
311.377,593.780,460.302,564.343,422.708,448.782,389.486,379.617,334.436,446.926,429.544,497.139,280.658,366.471,331.508,1029.275,295.632,342.700,260.047,430.775,38.247
337.645,583.176,450.810,563.982,415.371,404.036,358.793,350.777,345.357,422.688,418.669,535.396,287.851,364.615,365.733,1083.285,307.497,358.775,282.930,433.547,40.011
339.087,587.612,438.283,540.955,392.921,394.236,370.568,390.968,332.314,455.673,440.163,527.283,280.825,367.635,344.764,1055.070,343.303,352.375,283.791,433.570,38.380
351.437,594.901,440.747,519.717,407.775,386.382,348.270,370.255,344.871,443.995,393.988,507.947,274.035,363.529,354.351,1056.790,309.957,375.600,268.488,427.002,38.662
328.525,622.037,443.021,547.163,439.079,447.855,389.838,380.872,314.771,422.173,415.712,505.898,267.421,353.923,357.932,998.385,309.114,357.400,270.860,430.104,36.860
321.350,615.846,461.733,530.599,415.124,395.145,369.631,399.032,339.379,459.703,405.825,494.642,273.886,360.375,366.827,1039.745,319.854,406.675,298.628,435.474,37.650
323.601,610.399,448.572,516.825,478.865,442.291,346.216,377.468,335.679,456.317,437.938,484.695,279.263,337.673,342.942,1018.760,315.427,361.425,257.116,430.078,37.582
340.585,639.436,446.907,516.063,485.213,428.055,360.324,379.543,365.471,472.079,423.056,546.947,282.640,359.106,379.152,1063.490,320.573,375.175,276.744,445.293,39.186
324.191,635.458,447.826,488.913,483.258,431.327,370.559,360.777,337.657,472.218,468.506,526.727,288.640,353.221,344.387,1016.915,315.573,362.575,287.256,437.683,37.368
352.322,627.048,454.501,465.913,632.966,433.600,388.162,371.064,342.571,476.644,409.006,502.198,284.035,347.529,353.848,1121.940,338.081,366.600,286.465,450.236,42.323
343.530,625.989,440.016,450.873,691.292,450.091,387.928,345.138,322.007,431.871,426.475,447.556,283.088,328.596,336.948,972.025,310.957,391.125,257.837,433.860,37.785
323.552,627.055,433.079,426.373,751.404,459.400,379.532,351.532,348.393,472.535,419.319,494.396,285.561,342.192,367.848,1093.240,324.751,384.900,278.930,450.736,43.269
331.612,607.081,443.875,409.699,844.292,466.345,373.207,361.979,352.421,451.693,422.219,521.642,271.412,357.019,348.058,1065.030,318.941,377.200,259.302,451.738,44.446
332.590,656.535,451.746,411.645,920.045,495.564,339.685,359.085,330.486,457.500,424.906,518.684,280.289,378.385,343.089,1068.830,326.768,359.225,254.698,458.408,47.357
325.284,633.696,450.294,395.241,926.236,519.745,367.757,375.160,334.186,418.812,426.094,489.332,266.965,352.087,352.052,1047.020,326.022,392.625,279.395,456.737,46.150
344.607,626.260,448.061,366.949,967.674,634.818,362.459,383.330,356.257,445.658,451.475,524.738,259.561,356.442,366.372,1031.400,317.141,383.275,276.256,468.565,47.471
335.601,625.516,438.349,344.783,920.562,656.345,365.279,411.160,347.571,461.248,425.981,503.353,271.219,346.298,369.094,1067.415,323.249,337.350,268.465,464.149,47.956
343.858,643.462,447.542,348.401,1006.787,747.200,370.378,376.862,364.857,441.401,424.262,492.888,269.316,356.923,336.764,993.750,307.476,353.475,279.558,468.693,49.393
347.497,666.209,442.917,348.762,959.955,809.055,385.072,363.745,320.614,446.604,412.212,516.503,276.781,345.769,337.843,1081.725,336.076,388.375,270.651,476.651,52.070
325.852,627.161,442.839,352.494,989.213,856.909,412.694,370.191,349.629,451.213,421.450,479.390,277.719,331.413,366.916,977.775,317.124,364.425,262.116,472.449,50.265
325.246,623.040,448.165,342.952,904.382,850.236,479.937,351.383,356.093,506.386,448.056,499.193,258.921,360.856,355.461,1066.995,317.876,368.400,251.349,479.733,50.743
352.432,654.388,449.982,339.804,914.090,875.109,583.090,364.734,345.229,444.663,427.481,494.957,278.342,344.000,356.995,1053.745,320.324,369.025,259.721,485.690,51.226
341.525,622.498,441.409,339.873,894.978,835.836,705.270,374.351,336.929,456.396,411.494,492.176,296.535,349.712,356.073,994.140,304.973,350.300,305.233,484.721,48.670
358.945,635.044,453.545,353.407,934.764,898.855,733.459,368.457,330.671,446.371,422.881,485.096,269.868,350.471,366.115,1038.875,311.557,311.075,266.535,491.368,53.346
348.240,607.560,457.863,331.771,871.416,965.891,729.847,389.000,339.207,435.401,437.775,527.289,270.482,376.106,347.791,1048.395,331.627,328.550,284.907,496.269,53.029
328.066,624.388,462.408,344.123,890.225,967.582,747.568,370.521,341.229,464.970,435.312,512.123,269.746,379.750,351.895,1045.845,322.962,424.325,279.140,503.273,53.246
328.842,605.073,449.442,345.551,852.281,1048.036,726.541,369.681,339.336,468.554,460.206,491.898,266.991,361.981,363.419,1057.475,325.432,341.125,236.349,496.748,55.594
342.055,624.264,442.261,348.630,848.157,1038.527,671.189,361.766,328.879,430.460,436.575,487.251,271.430,333.481,368.969,1041.460,343.773,397.250,286.442,494.885,53.544
