0001-0061-0035,0001-0091-0099,0001-0049-0095,0001-0065-0081,0001-0067-0105,0001-0061-0107,Average,Err
696.471,610.429,924.866,1018.737,1277.182,1945.956,1078.940,181.366
689.668,581.093,907.126,951.174,1206.172,1898.676,1038.985,176.683
671.609,570.676,850.661,920.311,1260.030,1798.971,1012.043,168.812
668.826,564.324,898.913,960.725,1202.253,1896.353,1031.899,178.691
642.805,535.526,872.449,893.539,1148.263,1732.588,970.862,160.252
640.471,539.478,818.898,860.084,1280.162,1785.221,987.385,173.831
634.145,502.045,829.646,840.665,1090.626,1654.221,925.224,152.651
629.660,501.680,817.772,856.737,1046.374,1680.485,922.118,155.280
648.603,484.992,844.835,862.635,1029.677,1677.441,924.697,154.330
631.057,488.547,811.772,781.228,1014.788,1560.912,881.384,140.576
628.316,493.988,824.827,785.826,999.394,1524.779,876.188,134.801
621.657,488.162,784.299,787.940,1004.323,1502.250,864.772,133.247
638.568,498.381,807.929,803.174,985.263,1574.338,884.609,140.246
625.958,481.623,806.039,741.042,961.535,1461.162,846.227,127.538
635.756,471.668,747.142,751.120,963.091,1423.779,832.093,123.545
650.113,482.117,783.394,778.928,979.081,1406.603,846.706,119.162
666.457,492.158,750.504,756.551,973.182,1461.059,849.985,125.713
639.389,476.615,766.992,727.132,892.828,1463.691,827.775,127.066
648.757,467.291,752.244,754.102,918.535,1360.985,816.986,113.649
641.367,487.628,736.685,767.305,932.899,1222.515,798.066,94.865
660.822,468.012,769.929,754.749,901.253,1363.221,819.664,112.754
641.622,455.640,750.827,770.018,892.434,1356.691,811.205,113.612
630.751,476.903,689.992,712.611,889.404,1292.176,781.973,105.548
652.179,467.761,770.496,747.671,900.030,1193.750,788.648,91.304
653.452,457.421,804.465,739.659,915.283,1240.809,801.848,98.613
656.616,477.733,768.937,767.743,917.182,1291.809,813.336,102.870
658.372,455.421,700.087,741.036,904.626,1226.691,781.039,97.626
657.563,480.992,744.016,762.970,877.091,1275.603,799.706,99.819
653.026,467.587,749.630,747.563,899.727,1184.794,783.721,90.340
665.812,455.676,802.756,739.629,909.444,1221.574,799.148,95.730
657.905,473.061,772.449,752.952,923.404,1279.397,809.861,101.997
646.350,479.935,744.071,729.515,874.778,1194.603,778.209,90.154
661.274,491.494,745.087,738.102,836.131,1205.059,779.524,88.840
669.667,479.826,813.756,772.695,899.909,1192.515,804.728,88.874
665.125,479.684,761.976,728.844,874.040,1152.132,776.967,83.931
657.357,470.445,802.504,707.653,790.101,1201.029,771.515,90.299
654.866,474.316,739.157,721.012,880.687,1198.868,778.151,91.259
655.316,460.587,707.417,736.994,830.354,1110.206,750.146,80.089
670.194,468.198,761.937,742.617,849.162,1137.926,771.672,82.239
652.720,479.996,770.409,746.743,828.768,1151.868,771.751,82.942
660.071,452.283,765.283,725.503,845.222,1128.515,762.813,83.152
667.198,473.332,768.575,733.922,818.212,1233.147,782.398,93.659
661.340,462.429,786.528,690.042,841.768,1141.250,763.893,84.299
653.694,461.348,744.047,727.868,842.323,1179.676,768.160,88.864
660.641,473.377,776.087,703.084,871.162,1216.191,783.423,93.199
673.920,455.445,777.299,695.407,875.899,1060.632,756.434,76.079
630.274,436.466,724.756,708.617,801.889,1095.059,732.843,80.791
649.942,449.320,748.220,702.527,827.848,1164.309,757.028,88.206
653.846,442.364,736.362,716.485,868.364,1178.235,765.943,91.449
