0001-0104-0059,0001-0088-0076,0001-0046-0063,0001-0043-0048,0003-0018-0088,Average,Err
2870.324,1689.256,3061.843,3326.466,1696.810,2528.940,312.031
2852.947,1655.500,3124.657,3397.899,1686.202,2543.441,327.842
2814.259,1655.779,2952.579,3431.168,1617.756,2494.308,326.286
2810.718,1601.587,2904.136,3505.155,1585.851,2481.489,341.251
2840.629,1517.285,2739.807,3504.063,1545.938,2429.544,348.300
2681.912,1416.500,2534.943,3480.008,1585.345,2339.742,339.227
2798.088,1419.401,2339.600,3511.824,1578.905,2329.564,346.943
2796.400,1366.407,2179.886,3547.155,1546.732,2287.316,360.801
2721.612,1342.663,1718.564,3450.840,1527.518,2152.239,360.240
2874.088,1388.645,1664.629,3505.466,1549.202,2196.406,375.608
2761.035,1345.570,1451.257,3428.458,1539.923,2105.249,374.452
2814.606,1304.413,1302.779,3380.092,1470.432,2054.464,390.067
2728.771,1322.587,1252.943,3378.937,1511.342,2038.916,383.707
2727.735,1282.378,1189.879,3318.349,1528.164,2009.301,382.681
2792.665,1305.395,1203.714,3247.655,1568.086,2023.503,373.379
2831.918,1302.180,1162.957,3244.597,1586.935,2025.717,379.263
2851.435,1278.593,1169.929,3191.235,1579.146,2014.068,375.742
2870.294,1297.895,1177.829,3207.630,1594.426,2029.615,376.553
2849.006,1373.977,1307.321,3076.924,1594.232,2040.292,341.105
2814.982,1385.884,1792.136,3090.609,1481.205,2112.963,314.917
2720.941,1410.901,2261.200,3022.399,1430.470,2169.182,294.046
2778.300,1537.087,2917.221,3047.874,1402.807,2336.658,319.332
2827.329,1582.791,3189.621,2924.891,1385.991,2382.125,333.231
2792.806,1711.994,3260.564,2910.282,1367.565,2408.642,328.278
2698.241,1754.616,3178.886,2785.950,1294.295,2342.397,314.139
2722.982,1738.622,3111.821,2782.109,1275.533,2326.214,311.874
2705.171,1726.058,3022.707,2591.324,1272.857,2263.623,293.200
2591.988,1734.012,2924.800,2476.092,1267.905,2198.959,271.379
2580.212,1676.140,2675.221,2388.349,1276.473,2119.279,245.000
2557.547,1673.192,2383.843,2326.269,1382.649,2064.700,203.139
2591.765,1658.419,2095.079,2264.803,1383.205,1998.654,192.505
2629.235,1595.983,1699.243,2164.340,1427.792,1903.319,195.685
2574.806,1468.727,1511.064,2114.731,1506.634,1835.192,197.228
2688.682,1465.773,1325.136,2002.441,1516.348,1799.676,223.464
2644.841,1406.442,1250.114,2019.303,1562.039,1776.548,225.654
2749.418,1337.198,1175.814,1975.878,1627.881,1773.238,249.973
2611.335,1224.733,1121.379,1998.294,1628.935,1716.935,243.623
2708.771,1145.151,1128.436,2095.021,1573.592,1730.194,269.787
2749.959,1052.581,1077.936,2194.870,1558.979,1726.865,294.598
2765.376,1003.576,1089.329,2336.282,1495.458,1738.004,311.925
2836.735,905.203,1050.150,2522.517,1391.003,1741.122,352.689
2781.218,862.919,1029.093,2651.508,1299.917,1724.931,367.814
2808.276,881.424,1099.293,2901.235,1245.583,1787.162,393.480
2767.088,962.762,1080.529,3017.920,1177.193,1801.098,401.252
2821.982,962.860,1053.579,3079.613,1116.702,1806.947,419.831
2793.871,1028.163,1060.900,3120.941,1052.896,1811.354,421.055
2731.706,1098.599,1000.571,3123.424,1046.188,1800.098,415.635
2722.118,1236.430,1093.307,3149.655,988.616,1838.025,406.940
2732.135,1366.395,1125.836,3151.143,988.479,1872.798,398.449
2645.641,1431.140,1115.864,3094.265,952.027,1847.787,384.810
2612.847,1476.913,1177.550,3119.256,978.244,1872.962,376.386
2575.429,1589.041,1083.136,3024.340,981.393,1850.668,364.197
2538.612,1535.244,1108.071,2980.769,964.110,1825.361,356.882
2512.453,1580.029,1134.107,2974.210,994.911,1839.142,347.486
2450.224,1483.913,1128.036,2851.660,989.018,1780.570,330.819
2448.271,1504.599,1066.129,2749.920,971.640,1748.112,323.799
2384.641,1453.064,1079.750,2742.324,994.628,1730.881,315.825
2298.324,1405.500,996.257,2589.021,996.524,1657.125,297.726
2361.812,1328.866,1059.943,2450.181,975.179,1635.196,286.534
2321.288,1230.506,1005.143,2367.391,974.235,1579.713,282.067
2353.688,1176.686,1030.636,2178.950,974.339,1542.860,266.963
2322.788,1087.506,989.500,2078.181,929.780,1481.551,265.743
2276.776,988.413,1030.007,1942.134,989.818,1445.430,247.134
2242.082,944.413,983.279,1751.298,904.128,1365.040,241.123
2352.506,867.186,996.557,1591.580,914.658,1344.497,253.833
2238.941,804.116,1002.093,1507.798,888.804,1288.350,238.985
2273.724,714.512,991.271,1417.496,898.179,1259.036,249.249
2278.071,664.517,960.629,1388.092,880.405,1234.343,255.961
2162.929,635.564,953.771,1351.937,845.714,1189.983,241.210
2243.853,585.663,926.536,1355.450,851.068,1192.514,259.805
2235.376,552.767,898.329,1306.231,843.051,1167.151,261.933
2230.341,576.849,985.521,1286.555,868.589,1189.571,253.984
2149.165,558.483,957.164,1318.500,795.994,1155.861,248.109
2225.135,542.238,956.164,1266.555,786.667,1155.352,261.405
2138.112,545.366,898.500,1248.017,796.574,1125.314,247.925
2160.865,546.640,910.229,1222.332,783.527,1124.718,251.374
2100.271,548.541,887.600,1267.441,778.095,1116.390,243.317
2122.976,536.459,900.129,1236.975,766.577,1112.623,247.640
2071.929,558.209,957.914,1240.929,764.167,1118.630,235.736
2144.682,568.744,947.250,1242.088,749.152,1130.383,247.838
2030.206,583.180,941.379,1245.815,732.753,1106.667,229.212
2041.453,553.762,889.500,1172.845,739.726,1079.457,233.411
2016.529,550.215,906.536,1193.185,713.077,1075.908,231.102
2009.535,560.041,888.779,1204.773,755.030,1083.631,227.338
1984.188,567.000,938.579,1161.933,703.801,1071.100,223.479
1882.447,518.860,877.736,1154.597,675.863,1021.901,214.637
1865.400,548.593,859.507,1210.319,725.390,1041.842,208.165
1809.612,538.535,880.779,1181.084,777.485,1037.499,195.746
1735.094,516.099,877.250,1168.676,697.985,999.021,190.709
1682.835,534.442,866.814,1194.143,681.720,991.991,183.240
1593.347,542.948,971.057,1221.811,723.095,1010.452,165.786
1505.812,533.552,837.879,1208.134,695.818,956.239,158.237
1577.382,583.052,916.336,1322.832,706.372,1021.195,167.619
1427.429,536.558,842.943,1397.261,685.440,977.926,164.495
1452.765,533.064,885.171,1474.773,688.312,1006.817,174.188
1357.724,523.965,859.879,1562.361,680.625,996.911,178.035
1358.688,590.680,861.250,1705.697,678.077,1038.879,190.739
1391.294,571.622,861.121,1812.723,698.863,1067.125,208.286
1377.259,567.244,858.143,1911.744,676.661,1078.210,224.051
1331.529,518.198,860.514,2004.966,648.842,1072.810,242.344
1304.688,542.977,856.014,2072.634,648.619,1084.987,249.827
1385.524,531.424,857.507,2228.534,646.914,1129.980,278.423
1297.712,526.535,852.314,2374.273,655.077,1141.182,299.503
1304.224,519.616,852.986,2490.454,636.610,1160.778,320.574
1312.459,504.901,852.914,2587.223,654.708,1182.441,336.836
1315.782,508.140,886.407,2713.105,646.562,1213.999,356.944
1321.112,542.250,946.979,2793.042,643.577,1249.392,365.870
1333.959,546.308,883.214,2846.651,618.131,1245.653,378.694
1321.418,521.378,933.129,2881.643,609.405,1253.394,385.173
1404.206,532.895,924.314,2917.088,615.467,1278.794,390.986
1414.882,530.564,883.250,2871.735,636.512,1267.389,383.883
1485.747,554.465,932.293,2883.609,610.095,1293.242,385.180
1591.706,527.953,923.914,2803.588,609.923,1291.417,377.317
1773.388,538.285,924.836,2758.252,599.312,1318.815,377.399
1894.812,538.198,908.036,2758.542,610.679,1342.053,383.742
2146.029,522.140,877.250,2666.118,592.155,1360.738,392.348
2410.012,509.017,901.907,2683.861,604.012,1421.762,416.730
2637.365,515.297,944.771,2621.714,587.705,1461.370,431.490
