0001-0034-0030,0045-0032,0079-0024,0074-0012,0123-0006,0118-0058,0115-0004,0106-0004,0110-0014,0094-0021,0085-0008,0064-0017,0025-0043,0020-0051,0013-0037,0010-0021,0102-0042,0110-0045,0104-0061,0092-0074,0096-0089,0122-0035,0090-0066,0090-0121,0080-0105,0070-0109,0079-0082,0071-0077,0061-0088,0054-0096,0044-0077,0062-0075,0054-0072,0043-0088,0026-0066,0046-0122,0038-0111,0026-0095,0023-0103,0019-0088,0006-0069,0010-0081,0010-0098,0026-0111,0017-0113,0005-0119,0003-0107,0009-0122,Average,Err
556.707,518.898,586.736,272.533,514.798,708.254,398.909,357.774,357.500,763.991,404.675,530.366,449.944,418.969,548.547,513.571,461.169,377.320,417.850,400.500,485.300,479.568,763.932,440.715,511.700,402.012,375.806,721.029,401.855,382.517,373.464,361.286,533.052,413.745,504.631,480.496,468.845,428.319,456.261,426.917,413.209,463.212,556.552,475.294,539.038,544.943,430.676,482.156,476.574,14.813
551.052,497.936,561.570,282.190,455.543,620.534,401.673,359.057,364.571,717.704,361.188,501.824,472.404,608.169,520.781,517.270,456.627,406.240,440.000,420.905,451.100,425.420,660.818,389.860,451.383,439.825,404.181,700.290,411.783,383.050,407.500,355.357,610.069,434.925,497.731,430.455,508.379,399.246,450.986,445.771,418.077,454.202,524.674,447.985,560.792,582.471,511.216,502.644,474.530,13.162
528.638,518.834,592.463,284.771,434.809,716.280,353.436,374.075,341.339,754.765,372.225,513.141,532.258,860.585,484.172,545.175,495.938,410.880,419.700,416.865,498.617,438.062,606.523,397.145,444.150,411.275,385.153,617.116,452.652,352.783,400.714,360.957,532.086,412.934,543.625,434.049,468.017,354.638,387.072,420.885,434.648,439.673,568.044,484.353,532.972,532.814,427.946,456.289,473.865,15.697
574.103,548.476,555.562,283.819,441.170,679.322,328.455,365.151,352.429,798.513,414.625,469.859,477.382,1001.062,560.750,582.365,456.124,350.380,456.925,451.676,458.633,470.741,567.682,387.555,443.217,416.750,396.861,655.580,407.826,365.967,392.911,344.729,555.586,415.962,539.388,453.081,478.414,375.913,386.493,445.698,452.648,454.260,566.779,453.691,600.443,565.629,478.703,515.067,483.216,17.866
593.138,525.663,589.289,305.648,446.904,698.610,326.000,412.491,308.750,764.774,439.462,519.796,499.843,1038.492,563.891,480.476,455.684,378.940,380.825,408.081,469.483,444.790,565.545,402.630,412.300,362.438,405.889,596.928,449.797,441.983,417.750,375.986,541.431,420.368,506.744,427.252,470.845,399.130,390.986,424.312,412.407,450.221,567.779,400.176,583.802,585.771,449.027,584.533,481.189,17.973
557.121,520.936,593.339,313.581,501.894,669.458,426.727,381.283,414.411,689.304,366.712,531.599,490.124,1005.031,528.328,534.175,496.571,350.880,410.275,421.162,464.825,452.321,511.932,361.650,475.800,384.425,381.431,631.232,405.667,377.500,405.589,317.057,532.621,392.019,487.400,441.016,460.897,414.362,408.058,435.885,387.912,470.404,581.525,527.000,504.717,479.371,431.946,478.889,475.132,16.400
505.845,516.952,568.620,281.257,430.798,666.661,378.091,356.660,375.214,737.287,367.750,499.958,508.303,959.354,494.156,518.746,470.763,399.620,401.725,420.432,479.108,458.877,436.568,389.135,446.700,407.137,421.208,640.261,372.957,409.233,377.768,345.443,566.379,394.651,547.175,448.081,417.552,377.783,389.304,408.792,442.560,393.490,511.155,452.529,526.906,578.157,530.243,456.644,468.416,16.259
577.621,549.807,556.661,273.990,471.032,674.229,403.327,346.585,409.036,707.922,389.425,495.437,496.607,938.646,508.781,500.444,451.305,382.500,451.900,448.324,483.892,524.938,489.045,399.430,421.717,386.450,433.583,699.957,450.275,367.200,368.071,344.229,586.500,405.726,515.013,455.585,382.345,378.246,448.246,432.021,437.330,467.240,569.486,418.368,522.462,512.471,442.054,490.889,476.382,15.988
568.828,538.091,569.934,272.219,427.968,689.025,368.545,387.906,340.143,694.513,418.462,507.754,497.427,802.815,503.000,510.968,429.452,393.700,415.975,446.703,442.075,456.901,479.205,385.870,430.567,412.512,412.014,712.681,398.739,433.133,386.054,374.771,516.172,391.538,502.950,457.756,442.914,383.348,426.029,428.573,438.626,377.606,531.580,456.588,556.934,577.871,506.757,428.667,469.414,14.460
555.362,553.802,541.132,304.695,455.085,732.314,389.473,393.396,382.857,731.948,384.663,528.331,472.112,907.985,523.891,465.127,457.893,384.540,430.375,434.054,464.992,468.235,446.023,391.475,422.733,397.238,430.194,734.014,413.420,431.750,373.143,302.214,564.966,406.123,519.275,411.846,473.690,378.188,439.145,454.094,410.912,464.058,497.221,476.118,478.208,618.186,505.081,493.200,476.974,16.166
589.983,522.401,589.777,274.676,444.553,719.907,377.945,414.849,348.607,711.826,379.700,489.577,468.022,735.169,542.531,451.635,465.260,385.660,534.525,462.230,444.167,409.580,374.500,398.590,405.267,370.863,435.486,750.928,470.754,379.150,379.125,329.886,547.397,416.830,515.069,420.545,450.466,404.522,441.841,436.635,416.099,429.837,544.558,499.191,505.453,531.429,486.622,461.600,470.109,14.706
524.759,526.668,567.645,283.971,490.160,709.941,356.964,388.472,378.411,773.113,418.312,475.697,512.483,557.646,514.500,535.238,473.090,448.540,445.500,408.811,478.558,465.284,369.727,395.390,508.083,421.188,433.556,767.638,406.435,452.350,357.500,362.400,503.810,407.208,506.994,423.049,392.500,374.130,440.348,469.156,401.242,437.010,504.541,439.926,486.217,546.386,516.081,458.689,469.069,13.666
554.879,537.936,569.992,301.057,459.787,667.398,295.618,395.811,419.411,714.696,396.475,527.183,477.472,541.323,529.578,533.841,455.333,419.220,447.425,448.865,538.933,438.148,511.886,383.640,472.117,428.425,395.250,753.130,393.812,410.567,398.768,307.571,569.810,410.632,535.750,391.618,410.431,408.014,466.159,458.792,414.648,448.471,556.541,451.118,517.481,487.143,435.919,533.289,471.278,13.286
504.034,497.508,538.711,340.676,500.500,682.941,341.327,374.792,353.000,720.374,369.875,523.831,470.921,532.277,504.422,519.825,459.740,417.860,560.075,442.811,494.700,458.716,396.227,395.885,532.067,400.175,450.667,724.971,443.899,456.700,393.161,336.643,596.776,428.104,532.606,446.260,473.983,360.377,426.623,468.823,423.989,450.500,558.845,405.162,519.038,567.257,471.946,466.711,473.673,12.777
