0045-0077,0046-0094,0055-0100,0051-0053,0061-0037,0031-0058,0046-0041,0063-0061,0050-0021,Average,Err
843.463,890.953,309.481,1474.907,1200.195,628.602,723.564,937.561,891.726,877.828,103.903
991.114,1164.609,659.815,1604.517,1312.495,1069.183,1152.061,1153.178,866.613,1108.176,83.875
1009.597,1215.621,783.667,1752.185,1402.633,1163.962,1219.736,1296.103,902.783,1194.032,89.907
997.463,1238.345,811.130,1633.338,1341.781,1162.712,1229.822,1195.724,891.000,1166.813,77.735
1044.020,1258.838,848.049,1709.987,1352.571,1212.457,1219.025,1224.551,829.160,1188.740,84.073
1033.268,1312.860,894.599,1707.642,1336.243,1211.215,1217.515,1258.206,797.283,1196.537,84.325
972.074,1251.923,832.809,1659.987,1260.390,1160.632,1175.472,1206.967,778.104,1144.262,82.921
953.611,1235.655,818.315,1607.881,1186.095,1083.476,1098.252,1186.164,730.802,1100.028,80.779
946.772,1265.740,823.185,1658.576,1244.438,1148.815,1186.258,1155.551,786.123,1135.051,83.209
931.530,1198.481,765.753,1566.437,1168.724,1106.605,1088.509,1087.178,715.698,1069.879,79.501
919.235,1236.226,792.222,1631.709,1162.681,1078.204,1070.638,1051.313,709.774,1072.445,84.748
876.114,1159.196,727.549,1572.146,1131.590,1056.180,1083.914,1109.327,730.377,1049.599,81.065
920.463,1144.970,768.580,1582.980,1129.776,1041.694,1067.012,1111.710,767.160,1059.372,76.884
964.940,1118.621,724.562,1534.411,1098.029,1043.575,1080.939,1093.986,717.123,1041.798,76.008
881.141,1143.043,713.130,1562.377,1109.757,1009.304,1040.325,1102.383,741.236,1033.633,79.673
939.134,1116.060,729.728,1515.629,1115.495,990.503,1019.975,1095.636,694.632,1024.088,75.938
903.765,1107.940,751.340,1543.325,1152.948,986.616,995.877,1101.617,689.585,1025.890,78.739
925.416,1059.111,682.716,1408.609,1010.867,962.562,959.663,1058.238,663.585,970.085,69.242
902.450,1119.766,763.636,1487.570,1085.157,1000.677,1006.055,1052.481,722.302,1015.566,70.486
958.107,1156.613,739.228,1529.523,1100.019,1039.438,981.454,1124.907,725.274,1039.396,75.661
930.537,1130.051,696.728,1496.848,1073.676,994.909,979.074,1084.902,674.934,1006.851,76.893
956.711,1098.260,709.926,1502.232,1053.005,964.263,998.712,1115.173,696.330,1010.512,75.071
937.000,1113.736,689.130,1536.371,1044.252,997.847,982.117,1158.000,718.481,1019.659,78.901
958.852,1185.872,764.944,1551.642,1127.343,1039.680,1029.577,1178.491,750.302,1065.189,76.209
856.007,955.757,624.556,1331.305,1009.881,936.099,915.288,956.336,683.783,918.779,63.567
750.081,825.183,545.401,1183.636,885.619,825.390,861.147,897.416,656.019,825.543,55.687
751.745,814.915,544.191,1172.901,898.924,808.858,843.233,865.458,627.953,814.242,55.648
