0050-0038,0075-0050,0075-0065,0038-0040,0036-0084,Average,Err
657.933,689.422,391.784,629.192,216.574,516.981,82.003
705.298,660.390,382.404,631.303,235.235,522.926,81.588
700.854,675.637,407.591,660.321,209.784,530.837,86.001
662.978,689.928,395.073,629.453,215.198,518.526,82.413
694.758,689.103,405.286,643.801,210.130,528.616,85.620
718.315,710.413,378.547,626.213,216.160,529.929,89.152
727.646,675.036,384.536,633.383,223.290,528.778,86.258
736.208,692.973,364.505,640.666,225.222,531.915,89.797
719.028,719.964,381.458,631.223,234.068,537.148,87.510
734.135,672.874,400.977,643.474,238.747,538.041,83.932
700.584,725.825,405.690,656.265,229.198,543.512,86.813
717.281,712.987,385.273,651.502,242.037,541.816,86.369
730.180,717.816,395.443,663.463,246.148,550.610,87.112
718.882,708.623,384.760,645.237,249.389,541.378,84.865
747.899,724.287,390.474,667.185,252.444,556.458,88.781
721.354,693.722,383.935,664.948,237.451,540.282,86.723
721.916,714.646,409.112,651.265,230.025,545.393,86.959
727.062,722.619,386.453,666.181,255.272,551.517,86.775
719.230,694.009,405.281,668.460,229.716,543.339,86.421
731.685,717.623,417.578,667.564,257.309,558.352,84.329
714.174,722.632,393.292,689.829,250.093,554.004,87.345
756.573,718.843,373.344,699.338,261.988,562.017,90.977
676.219,735.565,402.461,654.850,257.383,545.296,82.132
721.888,693.193,400.495,691.983,228.463,547.204,88.523
682.337,699.439,409.378,660.495,251.272,540.584,80.156
695.427,711.525,395.672,660.871,262.321,545.163,81.484
705.764,726.834,406.141,679.721,271.383,557.969,82.551
727.056,706.762,389.479,659.282,261.432,548.802,84.118
708.331,699.960,397.307,686.882,273.204,553.137,81.529
723.528,710.099,387.849,679.854,262.667,552.799,85.187
731.629,693.722,401.857,675.697,273.049,555.191,81.965
712.556,733.565,381.117,680.042,276.580,556.772,84.872
757.427,694.843,412.099,692.787,254.710,562.373,87.142
682.067,725.919,406.729,674.805,260.827,550.070,82.003
725.579,711.300,398.766,712.397,279.346,565.478,84.415
730.331,731.094,401.154,654.812,285.926,560.663,81.883
727.657,785.722,410.891,694.711,262.537,576.304,90.905
713.506,730.475,398.109,673.307,287.580,560.595,81.458
722.225,708.619,402.727,730.735,271.160,567.093,86.132
750.944,711.152,396.875,735.836,272.494,573.460,89.127
706.522,717.520,419.016,669.038,270.253,556.470,80.483
698.955,748.314,402.521,688.052,265.611,560.691,85.470
770.230,714.170,398.258,672.502,291.537,569.339,84.479
732.011,719.789,398.018,677.561,277.154,560.907,83.708
752.865,749.300,409.398,669.432,296.302,575.460,83.912
749.882,732.574,405.529,707.258,275.370,574.123,87.499
748.152,722.224,423.326,699.934,267.821,572.291,85.928
749.961,728.650,436.117,719.767,279.877,582.874,85.148
741.242,734.709,422.203,697.763,285.636,576.310,83.734
741.140,710.381,419.391,709.756,286.957,573.525,82.768
718.815,731.130,427.828,676.690,282.290,567.351,80.609
725.961,701.108,419.255,697.282,268.747,562.471,82.682
743.022,759.430,421.453,691.613,268.093,576.722,88.000
766.837,711.937,403.654,664.321,291.235,567.597,83.220
773.539,731.090,417.612,723.063,298.722,588.805,86.221
722.500,722.054,416.057,699.122,302.914,572.529,79.511
770.624,734.045,414.115,711.648,280.278,582.142,88.256
711.685,725.148,429.458,674.369,285.673,565.267,78.872
756.404,732.027,427.406,661.394,300.506,575.548,80.538
754.522,722.830,400.344,710.108,305.574,578.676,83.753
746.197,753.287,418.669,684.223,284.673,577.410,85.258
761.607,731.408,397.229,705.986,280.926,575.431,88.210
734.208,702.628,406.352,674.519,275.401,558.622,82.073
744.213,748.552,405.951,709.686,264.488,574.578,89.864
724.045,749.112,439.609,661.819,274.623,569.842,82.095
741.596,701.735,424.135,669.648,309.173,569.257,76.429
779.404,734.973,438.076,714.348,275.315,588.423,88.193
738.343,761.888,404.083,687.739,299.000,578.211,84.771
772.006,750.964,415.216,736.369,284.759,591.863,90.369
760.326,775.803,437.135,709.676,295.741,595.736,86.637
760.438,737.780,438.107,709.028,310.093,591.089,81.601
775.236,726.933,427.482,721.265,273.593,584.902,88.699
760.067,723.323,406.102,708.969,299.216,579.535,84.541
773.236,715.085,415.779,704.512,280.889,577.900,86.604
773.213,721.103,427.745,707.927,296.735,585.345,84.115
