0007-0009,0022-0023,0037-0064,0001-0070-0060,0049-0080,0061-0081,0064-0093,0039-0090,0049-0096,0065-0111,0086-0112,0106-0122,0124-0109,0108-0046,0105-0025,0100-0012,0079-0020,0047-0003,0125-0015,Average,Err
508.191,574.788,863.822,278.090,608.056,382.255,346.559,407.362,343.593,512.554,374.469,1225.070,469.667,785.962,723.225,289.415,452.595,364.375,417.047,522.479,52.785
523.197,572.956,854.262,274.569,579.775,387.636,338.441,381.064,377.800,515.193,369.000,1278.273,500.956,836.721,690.440,287.670,487.514,366.775,429.023,529.014,54.725
515.131,583.740,852.409,271.419,597.528,378.127,349.495,387.947,357.050,509.312,377.094,1244.396,475.246,831.596,705.262,293.035,492.254,375.525,436.977,528.081,53.495
531.650,599.597,847.502,270.663,553.652,350.036,359.135,391.457,361.671,515.985,350.312,1283.508,496.895,792.510,732.953,280.430,482.622,388.525,455.326,528.654,54.801
525.585,580.114,846.454,275.172,604.022,397.527,350.505,403.277,364.921,507.485,376.544,1183.674,506.465,784.202,689.843,292.235,485.222,416.725,425.209,527.115,49.664
546.377,608.802,828.052,272.840,563.798,386.764,363.514,380.809,350.650,523.688,352.663,1209.743,473.263,816.692,685.728,293.910,472.211,401.900,426.860,524.119,51.405
526.317,581.853,829.928,272.843,572.169,373.036,337.486,389.543,358.279,510.366,373.450,1199.118,460.991,782.837,670.084,288.195,441.589,369.075,403.488,512.666,50.889
504.590,605.022,837.867,282.620,535.899,399.745,354.234,397.447,338.421,502.431,377.738,1245.059,437.325,833.260,687.675,287.540,472.222,394.225,404.000,520.912,53.154
527.388,592.546,848.561,276.265,580.652,388.218,338.162,398.511,380.243,517.762,352.188,1196.599,435.404,751.356,722.126,285.535,467.600,384.700,447.419,520.591,50.752
525.607,591.352,845.781,277.298,609.843,412.727,324.730,398.617,352.500,524.658,350.406,1237.235,450.088,792.798,708.016,291.830,477.941,388.500,426.977,525.626,52.834
550.098,593.414,850.925,273.316,596.506,383.782,359.640,376.266,357.379,510.975,350.944,1240.460,490.237,825.029,696.691,288.780,445.049,369.475,404.442,524.390,53.712
522.803,613.048,849.361,274.497,572.798,367.564,331.126,392.777,357.229,520.500,363.619,1277.503,451.649,807.904,682.361,290.950,484.643,390.125,418.558,524.685,54.555
